TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
ods_a168_bet,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_bet,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_bet,bet001,varchar,source_type=int(11); sn
ods_a168_bet,bet002,varchar,"source_type=enum(''Y'',''N''); is_cancel"
ods_a168_bet,bet003,varchar,source_type=timestamp; bet_time
ods_a168_bet,bet004,varchar,source_type=int(11); org_site
ods_a168_bet,bet005,varchar,source_type=int(11); mid
ods_a168_bet,bet006,varchar,"source_type=enum(''Y'',''N''); is_test"
ods_a168_bet,bet007,varchar,source_type=int(11); lv1
ods_a168_bet,bet008,varchar,source_type=int(11); lv2
ods_a168_bet,bet009,varchar,source_type=int(11); lv3
ods_a168_bet,bet010,varchar,source_type=int(11); lv4
ods_a168_bet,bet011,varchar,source_type=int(11); lv5
ods_a168_bet,bet012,varchar,source_type=int(11); lv6
ods_a168_bet,bet013,varchar,source_type=char(15); ip
ods_a168_bet,bet014,varchar,source_type=char(30); chk_number
ods_a168_bet,bet015,varchar,source_type=int(11); seq_id
ods_a168_bet,bet016,varchar,source_type=varchar(15); seq_name
ods_a168_bet,bet017,varchar,source_type=int(11); play_type
ods_a168_bet,bet018,varchar,"source_type=double(10,2); rto1"
ods_a168_bet,bet019,varchar,"source_type=double(10,2); rto2"
ods_a168_bet,bet020,varchar,"source_type=double(10,2); rto3"
ods_a168_bet,bet021,varchar,source_type=varchar(30); bet_string
ods_a168_bet,bet022,varchar,source_type=int(11); bet_amt
ods_a168_bet,bet023,varchar,"source_type=double(5,2); rto_m1"
ods_a168_bet,bet024,varchar,"source_type=double(5,2); rto_m2"
ods_a168_bet,bet025,varchar,"source_type=double(5,2); rto_m3"
ods_a168_bet,bet026,varchar,"source_type=enum(''Y'',''N''); dual"
ods_a168_bet,bet027,varchar,"source_type=double(10,2); result"
ods_a168_bet,bet028,varchar,source_type=smallint(6); prt_lv1
ods_a168_bet,bet029,varchar,source_type=smallint(6); prt_lv2
ods_a168_bet,bet030,varchar,source_type=smallint(6); prt_lv3
ods_a168_bet,bet031,varchar,source_type=smallint(6); prt_lv4
ods_a168_bet,bet032,varchar,source_type=smallint(6); prt_lv5
ods_a168_bet,bet033,varchar,source_type=smallint(6); prt_lv6
ods_a168_bet,bet034,varchar,"source_type=double(10,2); prt_amt_0"
ods_a168_bet,bet035,varchar,"source_type=double(10,2); prt_amt_1"
ods_a168_bet,bet036,varchar,"source_type=double(10,2); prt_amt_2"
ods_a168_bet,bet037,varchar,"source_type=double(10,2); prt_amt_3"
ods_a168_bet,bet038,varchar,"source_type=double(10,2); prt_amt_4"
ods_a168_bet,bet039,varchar,"source_type=double(10,2); prt_amt_5"
ods_a168_bet,bet040,varchar,"source_type=double(10,2); prt_amt_6"
ods_a168_bet,bet041,varchar,"source_type=enum(''Y'',''N''); is_lottery"
ods_a168_bet,bet042,varchar,source_type=int(11); org_sn
ods_a168_bet,bet043,varchar,source_type=float; Base_Water
ods_a168_bet,bet044,varchar,source_type=float; LV1_Water_Mny
ods_a168_bet,bet045,varchar,source_type=float; LV2_Water_Mny
