表名,分类,行数,文件大小MB,是否空表,是否测试备份表
ods_a168_bet_partner.csv,三方合作类,100000,18.305,FALSE,FALSE
ods_a168_partner_transation.csv,三方合作类,100000,19.302,FALSE,FALSE
ods_a168_partner_transation_log.csv,三方合作类,100000,44.459,FALSE,FALSE
ods_a168_member_partner_account.csv,三方合作类,9109,1.507,FALSE,FALSE
ods_a168_partner_setting.csv,三方合作类,437,0.083,FALSE,FALSE
ods_a168_member_partner_gamelist.csv,三方合作类,184,0.026,FALSE,FALSE
ods_a168_partner_gamelist.csv,三方合作类,15,0.007,FALSE,FALSE
ods_a168_partner_bng_token.csv,三方合作类,0,0,TRUE,FALSE
ods_a168_partner_reportTime.csv,三方合作类,0,0,TRUE,FALSE
ods_a168_partner_type.csv,三方合作类,0,0,TRUE,FALSE
ods_a168_agent_dtl.csv,代理体系类,100000,14.989,FALSE,FALSE
ods_a168_agent.csv,代理体系类,46163,17.64,FALSE,FALSE
ods_a168_agent_bak20250610.csv,代理体系类,43244,17.532,FALSE,TRUE
ods_a168_age_login.csv,代理体系类,27339,4.454,FALSE,FALSE
ods_a168_agents_LoginPass.csv,代理体系类,16935,6.252,FALSE,FALSE
ods_a168_agent_sub.csv,代理体系类,12960,3.783,FALSE,FALSE
ods_a168_age_sub_login.csv,代理体系类,9019,1.65,FALSE,FALSE
ods_a168_agent_dtl_test.csv,代理体系类,57,0.01,FALSE,TRUE
ods_a168_agent_partner_gamelist.csv,代理体系类,45,0.006,FALSE,FALSE
ods_a168_agent_test.csv,代理体系类,30,0.012,FALSE,TRUE
ods_a168_agent_permissionrole.csv,代理体系类,28,0.005,FALSE,FALSE
ods_a168_subagent_permissionrole.csv,代理体系类,22,0.004,FALSE,FALSE
ods_a168_agent_elec.csv,代理体系类,0,0,TRUE,FALSE
ods_a168_member.csv,会员身份与账户类,100000,36.849,FALSE,FALSE
ods_a168_member_dtl.csv,会员身份与账户类,100000,15.585,FALSE,FALSE
ods_a168_member_click_counter.csv,会员身份与账户类,82473,12.438,FALSE,FALSE
ods_a168_member_explosion_setting.csv,会员身份与账户类,68,0.011,FALSE,FALSE
ods_a168_member_url.csv,会员身份与账户类,53,0.01,FALSE,FALSE
ods_a168_member_odds.csv,会员身份与账户类,0,0,TRUE,FALSE
ods_a168_bet01.csv,投注行为类,100000,36.1,FALSE,FALSE
ods_a168_bet02.csv,投注行为类,100000,42.748,FALSE,FALSE
ods_a168_betchange_log.csv,投注行为类,100000,22.709,FALSE,FALSE
ods_a168_ban_bet_area.csv,投注行为类,24123,3.038,FALSE,FALSE
ods_a168_log_realtimebet.csv,投注行为类,22736,3.631,FALSE,FALSE
ods_a168_realtimebet.csv,投注行为类,3847,1.193,FALSE,FALSE
ods_a168_bet_limit_default.csv,投注行为类,663,0.138,FALSE,FALSE
ods_a168_bet.csv,投注行为类,0,0,TRUE,FALSE
ods_a168_bet_No.csv,投注行为类,0,0,TRUE,FALSE
ods_a168_dailyreport_member.csv,报表汇总类,100000,27.078,FALSE,FALSE
ods_a168_dailyreport_table.csv,报表汇总类,100000,21.345,FALSE,FALSE
ods_a168_dailyreport_usercount.csv,报表汇总类,100000,13.52,FALSE,FALSE
ods_a168_func_counter.csv,报表汇总类,124,0.016,FALSE,FALSE
ods_a168_aggregate_setting.csv,报表汇总类,38,0.006,FALSE,FALSE
ods_a168_aggregate_token.csv,报表汇总类,6,0.003,FALSE,FALSE
ods_a168_dailyreport.csv,报表汇总类,0,0,TRUE,FALSE
ods_a168_dailyreport2.csv,报表汇总类,0,0,TRUE,FALSE
ods_a168_employee.csv,权限与员工管理类,1937,0.431,FALSE,FALSE
ods_a168_permissionrole.csv,权限与员工管理类,944,0.122,FALSE,FALSE
ods_a168_control_login.csv,权限与员工管理类,306,0.052,FALSE,FALSE
ods_a168_control.csv,权限与员工管理类,221,0.051,FALSE,FALSE
ods_a168_permissions.csv,权限与员工管理类,96,0.017,FALSE,FALSE
ods_a168_permissionsPageRoles.csv,权限与员工管理类,90,0.011,FALSE,FALSE
ods_a168_roles.csv,权限与员工管理类,30,0.004,FALSE,FALSE
ods_a168_emp_login.csv,权限与员工管理类,28,0.004,FALSE,FALSE
ods_a168_permissionsgroup.csv,权限与员工管理类,10,0.002,FALSE,FALSE
ods_a168_permissionsPage.csv,权限与员工管理类,3,0.001,FALSE,FALSE
ods_a168_game_info.csv,游戏系统配置类,100000,19.727,FALSE,FALSE
ods_a168_game_log.csv,游戏系统配置类,100000,40.491,FALSE,FALSE
ods_a168_game_No.csv,游戏系统配置类,100000,12.298,FALSE,FALSE
ods_a168_game_statistics.csv,游戏系统配置类,100000,11.404,FALSE,FALSE
ods_a168_game_callwebapi.csv,游戏系统配置类,12676,3.216,FALSE,FALSE
ods_a168_tablelimit.csv,游戏系统配置类,116,0.021,FALSE,FALSE
ods_a168_game_transfer.csv,游戏系统配置类,102,0.014,FALSE,FALSE
ods_a168_game_info_verify.csv,游戏系统配置类,100,0.016,FALSE,FALSE
ods_a168_tablelimit_third.csv,游戏系统配置类,43,0.012,FALSE,FALSE
ods_a168_game_tip.csv,游戏系统配置类,31,0.005,FALSE,FALSE
ods_a168_symbol.csv,游戏系统配置类,28,0.003,FALSE,FALSE
ods_a168_shuffle_gid.csv,游戏系统配置类,19,0.002,FALSE,FALSE
ods_a168_game_type.csv,游戏系统配置类,17,0.005,FALSE,FALSE
ods_a168_game_demoipsetting.csv,游戏系统配置类,16,0.002,FALSE,FALSE
ods_a168_play_set.csv,游戏系统配置类,16,0.002,FALSE,FALSE
ods_a168_odds_default.csv,游戏系统配置类,8,0.001,FALSE,FALSE
ods_a168_game_parame.csv,游戏系统配置类,6,0.001,FALSE,FALSE
ods_a168_category.csv,游戏系统配置类,0,0,TRUE,FALSE
ods_a168_categoryLevel.csv,游戏系统配置类,0,0,TRUE,FALSE
ods_a168_game_result.csv,游戏系统配置类,0,0,TRUE,FALSE
ods_a168_member_category.csv,游戏系统配置类,0,0,TRUE,FALSE
ods_a168_opengame_log.csv,游戏系统配置类,0,0,TRUE,FALSE
ods_a168_shuffle_info.csv,游戏系统配置类,0,0,TRUE,FALSE
ods_a168_alarmMessage.csv,系统技术日志类,100000,12.522,FALSE,FALSE
ods_a168_SMR_log.csv,系统技术日志类,100000,13.872,FALSE,FALSE
ods_a168_realtimelog.csv,系统技术日志类,57698,34.701,FALSE,FALSE
ods_a168_change_log.csv,系统技术日志类,33696,6.674,FALSE,FALSE
ods_a168_alertMessage.csv,系统技术日志类,174,0.056,FALSE,FALSE
sync_checkpoint.csv,系统技术日志类,76,0.009,FALSE,FALSE
ods_a168_keyserver_command.csv,系统技术日志类,6,0.001,FALSE,FALSE
ods_a168_stream.csv,系统技术日志类,0,0,TRUE,FALSE
ods_a168_log_mem_change.csv,系统配置/其它类,100000,40.282,FALSE,FALSE
ods_a168_mem_login.csv,系统配置/其它类,100000,13.507,FALSE,FALSE
ods_a168_realtimelobby.csv,系统配置/其它类,4452,1.246,FALSE,FALSE
ods_a168_conversion.csv,系统配置/其它类,2585,0.484,FALSE,FALSE
ods_a168_orderslist.csv,系统配置/其它类,145,0.019,FALSE,FALSE
ods_a168_urllist.csv,系统配置/其它类,120,0.253,FALSE,FALSE
ods_a168_currency.csv,系统配置/其它类,36,0.007,FALSE,FALSE
ods_a168_apiurl.csv,系统配置/其它类,19,0.002,FALSE,FALSE
ods_a168_tip.csv,系统配置/其它类,19,0.002,FALSE,FALSE
ods_a168_news.csv,系统配置/其它类,17,0.005,FALSE,FALSE
ods_a168_aisetting.csv,系统配置/其它类,10,0.001,FALSE,FALSE
ods_a168_ctl_rto.csv,系统配置/其它类,8,0.001,FALSE,FALSE
ods_a168_wechat_url.csv,系统配置/其它类,8,0.001,FALSE,FALSE
ods_a168_site.csv,系统配置/其它类,0,0,TRUE,FALSE
ods_a168_sms_setting.csv,系统配置/其它类,0,0,TRUE,FALSE
ods_a168_RedPacketSetup_setting.csv,红包活动类,93,0.014,FALSE,FALSE
ods_a168_RedPacket_No.csv,红包活动类,0,0,TRUE,FALSE
ods_a168_RedPacket_Order.csv,红包活动类,0,0,TRUE,FALSE
ods_a168_RedPacketSetup.csv,红包活动类,0,0,TRUE,FALSE
ods_a168_iphistory.csv,网络设备与风控名单类,100000,14.472,FALSE,FALSE
ods_a168_risklist.csv,网络设备与风控名单类,9958,1.263,FALSE,FALSE
ods_a168_white_list.csv,网络设备与风控名单类,6768,1.652,FALSE,FALSE
ods_a168_temp_id_list.csv,网络设备与风控名单类,845,0.089,FALSE,FALSE
ods_a168_close_tip_list.csv,网络设备与风控名单类,663,0.075,FALSE,FALSE
ods_a168_ipblacklist.csv,网络设备与风控名单类,366,0.053,FALSE,FALSE
ods_a168_alert_ip_setting.csv,网络设备与风控名单类,17,0.003,FALSE,FALSE
ods_a168_passiplist.csv,网络设备与风控名单类,11,0.001,FALSE,FALSE
ods_a168_wallet_dtl.csv,资金流水类,116363,67.054,FALSE,FALSE
ods_a168_in_out_m.csv,资金流水类,100000,16.076,FALSE,FALSE
ods_a168_in_out_m_chip.csv,资金流水类,100000,18.4,FALSE,FALSE
ods_a168_log_age_cash_change.csv,资金流水类,100000,15.974,FALSE,FALSE
ods_a168_wallet_feedbackerr.csv,资金流水类,100000,17.321,FALSE,FALSE
ods_a168_wallet_reporter.csv,资金流水类,100000,15.411,FALSE,FALSE
ods_a168_wallet_reporter_copy.csv,资金流水类,100000,18.795,FALSE,TRUE
ods_a168_payment_bank.csv,资金流水类,66,0.009,FALSE,FALSE
ods_a168_aggregate_transaction.csv,资金流水类,17,0.006,FALSE,FALSE
ods_a168_payment_setting.csv,资金流水类,14,0.008,FALSE,FALSE
ods_a168_payment_type.csv,资金流水类,7,0.002,FALSE,FALSE
ods_a168_payment_platform.csv,资金流水类,3,0.001,FALSE,FALSE
ods_a168_jackpot.csv,资金流水类,0,0,TRUE,FALSE
ods_a168_payment_method.csv,资金流水类,0,0,TRUE,FALSE
ods_a168_payment_order.csv,资金流水类,0,0,TRUE,FALSE
