"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=bigint(20); "
"mid","VARCHAR(65533)","source_type=int(11); "
"gameid","VARCHAR(65533)","source_type=int(11); 遊戲"
"currency","VARCHAR(65533)","source_type=int(11); "
"rate","VARCHAR(65533)","source_type=decimal(8,4); "
"money","VARCHAR(65533)","source_type=decimal(16,4); 中獎金額"
"status","VARCHAR(65533)","source_type=enum(''Y'',''N''); Y:已領取,N:未領取"
"lv1percent","VARCHAR(65533)","source_type=decimal(16,4); "
"lv2percent","VARCHAR(65533)","source_type=decimal(16,4); "
"lv3percent","VARCHAR(65533)","source_type=decimal(16,4); "
"lv4percent","VARCHAR(65533)","source_type=decimal(16,4); "
"lv5percent","VARCHAR(65533)","source_type=decimal(16,4); "
"addtime","VARCHAR(65533)","source_type=datetime; gs寫單時間"
"receivetime","VARCHAR(65533)","source_type=datetime; 領取時間"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
