"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(11); "
"code","VARCHAR(65533)","source_type=varchar(12); 廠商代碼"
"mid","VARCHAR(65533)","source_type=int(11); 會員 mid"
"gid","VARCHAR(65533)","source_type=int(6); 遊戲"
"game_no","VARCHAR(65533)","source_type=varchar(32); 遊戲_期数_局号"
"action","VARCHAR(65533)","source_type=enum(''PointInout'',''TimeoutBetReturn''); 動作"
"deal_id","VARCHAR(65533)","source_type=bigint(32); wm 交易单号"
"type","VARCHAR(65533)","source_type=tinyint(1);  0:电子游戏结算 1:加点 2:扣点 3:重对加点 4:重对扣点 5:重新派彩"
"trade_id","VARCHAR(65533)","source_type=varchar(128); 對方的交易id"
"money","VARCHAR(65533)","source_type=decimal(16,4); 處理金額 (有正負值)"
"balance","VARCHAR(65533)","source_type=decimal(16,4); 對方餘額"
"status","VARCHAR(65533)","source_type=tinyint(1); 呼叫狀態 0:未處理,1:成功,2:失敗,3:回滾,4:處理中"
"remark","VARCHAR(65533)","source_type=varchar(255); 備註"
"ops_token","VARCHAR(1048576)","source_type=text; 廠商ops當下使用的token"
"create_at","VARCHAR(65533)","source_type=datetime; 建立時間"
"update_at","VARCHAR(65533)","source_type=datetime; 更新時間"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
