"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"bet001","VARCHAR(65533)","source_type=int(11); sn"
"bet002","VARCHAR(65533)","source_type=enum(''Y'',''N''); is_cancel"
"bet003","VARCHAR(65533)","source_type=timestamp; bet_time"
"bet004","VARCHAR(65533)","source_type=int(11); org_site"
"bet005","VARCHAR(65533)","source_type=int(11); mid"
"bet006","VARCHAR(65533)","source_type=enum(''Y'',''N''); is_test"
"bet007","VARCHAR(65533)","source_type=int(11); lv1"
"bet008","VARCHAR(65533)","source_type=int(11); lv2"
"bet009","VARCHAR(65533)","source_type=int(11); lv3"
"bet010","VARCHAR(65533)","source_type=int(11); lv4"
"bet011","VARCHAR(65533)","source_type=int(11); lv5"
"bet012","VARCHAR(65533)","source_type=int(11); lv6"
"bet013","VARCHAR(65533)","source_type=char(15); ip"
"bet014","VARCHAR(65533)","source_type=char(30); chk_number"
"bet015","VARCHAR(65533)","source_type=int(11); seq_id"
"bet016","VARCHAR(65533)","source_type=varchar(15); seq_name"
"bet017","VARCHAR(65533)","source_type=int(11); play_type"
"bet018","VARCHAR(65533)","source_type=double(10,2); rto1"
"bet019","VARCHAR(65533)","source_type=double(10,2); rto2"
"bet020","VARCHAR(65533)","source_type=double(10,2); rto3"
"bet021","VARCHAR(65533)","source_type=varchar(30); bet_string"
"bet022","VARCHAR(65533)","source_type=int(11); bet_amt"
"bet023","VARCHAR(65533)","source_type=double(5,2); rto_m1"
"bet024","VARCHAR(65533)","source_type=double(5,2); rto_m2"
"bet025","VARCHAR(65533)","source_type=double(5,2); rto_m3"
"bet026","VARCHAR(65533)","source_type=enum(''Y'',''N''); dual"
"bet027","VARCHAR(65533)","source_type=double(10,2); result"
"bet028","VARCHAR(65533)","source_type=smallint(6); prt_lv1"
"bet029","VARCHAR(65533)","source_type=smallint(6); prt_lv2"
"bet030","VARCHAR(65533)","source_type=smallint(6); prt_lv3"
"bet031","VARCHAR(65533)","source_type=smallint(6); prt_lv4"
"bet032","VARCHAR(65533)","source_type=smallint(6); prt_lv5"
"bet033","VARCHAR(65533)","source_type=smallint(6); prt_lv6"
"bet034","VARCHAR(65533)","source_type=double(10,2); prt_amt_0"
"bet035","VARCHAR(65533)","source_type=double(10,2); prt_amt_1"
"bet036","VARCHAR(65533)","source_type=double(10,2); prt_amt_2"
"bet037","VARCHAR(65533)","source_type=double(10,2); prt_amt_3"
"bet038","VARCHAR(65533)","source_type=double(10,2); prt_amt_4"
"bet039","VARCHAR(65533)","source_type=double(10,2); prt_amt_5"
"bet040","VARCHAR(65533)","source_type=double(10,2); prt_amt_6"
"bet041","VARCHAR(65533)","source_type=enum(''Y'',''N''); is_lottery"
"bet042","VARCHAR(65533)","source_type=int(11); org_sn"
"bet043","VARCHAR(65533)","source_type=float; Base_Water"
"bet044","VARCHAR(65533)","source_type=float; LV1_Water_Mny"
"bet045","VARCHAR(65533)","source_type=float; LV2_Water_Mny"
"bet046","VARCHAR(65533)","source_type=float; LV3_Water_Mny"
"bet047","VARCHAR(65533)","source_type=float; LV4_Water_Mny"
"bet048","VARCHAR(65533)","source_type=float; LV5_Water_Mny"
"bet049","VARCHAR(65533)","source_type=float; LV6_Water_Mny"
"bet050","VARCHAR(65533)","source_type=float; "
"bet051","VARCHAR(65533)","source_type=double(10,2); rto4"
"bet052","VARCHAR(65533)","source_type=double(5,2); "
"bet053","VARCHAR(65533)","source_type=tinyint(4); "
"bet054","VARCHAR(65533)","source_type=timestamp; "
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
