"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"bet01","VARCHAR(65533)","source_type=bigint(11); 注單編號"
"gid","VARCHAR(65533)","source_type=int(11); 遊戲編號"
"mid","VARCHAR(65533)","source_type=int(11); 會員編號"
"betTime","VARCHAR(65533)","source_type=datetime; 下注時間"
"settleTime","VARCHAR(65533)","source_type=date; 帳務日期"
"partnerBetId","VARCHAR(65533)","source_type=varchar(100); "
"gameId","VARCHAR(65533)","source_type=varchar(64); "
"updateTime","VARCHAR(65533)","source_type=datetime; 更新時間"
"bet_result","VARCHAR(1048576)","source_type=text; 開獎結果"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
