"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"lv_id","VARCHAR(65533)","source_type=int(11); "
"level","VARCHAR(65533)","source_type=int(11); 層級等級"
"name","VARCHAR(65533)","source_type=varchar(20); 層級名稱"
"isDefalut","VARCHAR(65533)","source_type=enum(''Y'',''N''); 預設層級"
"status","VARCHAR(65533)","source_type=int(11); 狀態"
"depositLimitMin","VARCHAR(65533)","source_type=decimal(16,4); 最低存款限額, 0為不限制"
"depositLimitMax","VARCHAR(65533)","source_type=decimal(16,4); 最高存款限額, 0為不限制"
"withdrawLimitMin","VARCHAR(65533)","source_type=decimal(16,4); 最低提款限額, 0為不限制"
"withdrawLimitMax","VARCHAR(65533)","source_type=decimal(16,4); 最高提款限額, 0為不限制"
"upgradeCondition","VARCHAR(65533)","source_type=varchar(20); 晉級條件"
"keepCondition","VARCHAR(65533)","source_type=varchar(20); 保級條件"
"build_time","VARCHAR(65533)","source_type=timestamp; 建立時間"
"remark","VARCHAR(65533)","source_type=varchar(20); 備註"
"op_level","VARCHAR(65533)","source_type=int(11); 操作者層級"
"op_mid","VARCHAR(65533)","source_type=int(11); 操作者編號"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
