"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=bigint(20); "
"time","VARCHAR(65533)","source_type=date; 日期"
"bet02","VARCHAR(65533)","source_type=int(11); 遊戲編號"
"bet05","VARCHAR(65533)","source_type=int(11); 會員編號"
"bet13","VARCHAR(65533)","source_type=decimal(16,4); 下注金額"
"bet14","VARCHAR(65533)","source_type=decimal(16,4); 派彩金額"
"bet15","VARCHAR(65533)","source_type=decimal(16,4); 會員退水%數"
"bet41","VARCHAR(65533)","source_type=decimal(16,4); 有效投注"
"bet18","VARCHAR(65533)","source_type=int(11); LV1ID"
"bet19","VARCHAR(65533)","source_type=int(11); LV2ID"
"bet20","VARCHAR(65533)","source_type=int(11); LV3ID"
"bet21","VARCHAR(65533)","source_type=int(11); LV4ID"
"bet22","VARCHAR(65533)","source_type=int(11); LV5ID"
"bet23","VARCHAR(65533)","source_type=decimal(16,4); LV1佔成"
"bet24","VARCHAR(65533)","source_type=decimal(16,4); LV2佔成"
"bet25","VARCHAR(65533)","source_type=decimal(16,4); LV3佔成"
"bet26","VARCHAR(65533)","source_type=decimal(16,4); LV4佔成"
"bet27","VARCHAR(65533)","source_type=decimal(16,4); LV5佔成"
"bet28","VARCHAR(65533)","source_type=decimal(16,4); LV1退水"
"bet29","VARCHAR(65533)","source_type=decimal(16,4); LV2退水"
"bet30","VARCHAR(65533)","source_type=decimal(16,4); LV3退水"
"bet31","VARCHAR(65533)","source_type=decimal(16,4); LV4退水"
"bet32","VARCHAR(65533)","source_type=decimal(16,4); LV5退水"
"bet39","VARCHAR(65533)","source_type=int(11); "
"bet10","VARCHAR(65533)","source_type=int(11); 幣別"
"bet11","VARCHAR(65533)","source_type=decimal(16,4); 匯率"
"category","VARCHAR(65533)","source_type=int(11); "
"count","VARCHAR(65533)","source_type=int(11); 筆數"
"risk","VARCHAR(65533)","source_type=tinyint(1); 風險單1:是"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
