"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"mem001","VARCHAR(65533)","source_type=int(11); "
"mem002","VARCHAR(65533)","source_type=varchar(48); "
"mem003","VARCHAR(65533)","source_type=varchar(65); "
"mem004","VARCHAR(65533)","source_type=varchar(48); "
"mem005","VARCHAR(65533)","source_type=timestamp; "
"mem006","VARCHAR(65533)","source_type=int(11); "
"mem007","VARCHAR(65533)","source_type=int(11); "
"mem008","VARCHAR(65533)","source_type=int(11); "
"mem009","VARCHAR(65533)","source_type=int(11); "
"mem010","VARCHAR(65533)","source_type=int(11); "
"mem011","VARCHAR(65533)","source_type=int(11); "
"mem012","VARCHAR(65533)","source_type=int(11); "
"mem013","VARCHAR(65533)","source_type=timestamp; "
"mem014","VARCHAR(65533)","source_type=char(15); "
"mem015","VARCHAR(65533)","source_type=int(11); login_error"
"mem016","VARCHAR(65533)","source_type=enum(''Y'',''N''); enable"
"mem017","VARCHAR(65533)","source_type=enum(''Y'',''N''); canbet"
"mem018","VARCHAR(65533)","source_type=enum(''Y'',''N''); chg_pw"
"mem019","VARCHAR(65533)","source_type=enum(''Y'',''N''); is_test"
"mem020","VARCHAR(65533)","source_type=enum(''Y'',''N''); be_traded"
"mem021","VARCHAR(65533)","source_type=int(11); "
"mem022","VARCHAR(65533)","source_type=varchar(20); 電話"
"mem022a","VARCHAR(65533)","source_type=int(6); 電話簡碼"
"mem023","VARCHAR(65533)","source_type=tinyint(4); "
"mem024","VARCHAR(65533)","source_type=int(11); mem_risk"
"mem026","VARCHAR(65533)","source_type=int(11); "
"mem028","VARCHAR(65533)","source_type=varchar(20); 備註"
"type","VARCHAR(65533)","source_type=int(11); 0:現金;1:信用;2:電投"
"currency","VARCHAR(65533)","source_type=int(11); 幣別"
"cash","VARCHAR(65533)","source_type=decimal(15,4); 現金"
"money","VARCHAR(65533)","source_type=decimal(10,4); 己出碼額度"
"lockmoney","VARCHAR(65533)","source_type=decimal(10,4); 鎖定金額"
"head","VARCHAR(65533)","source_type=int(11); 頭像ID"
"chips","VARCHAR(65533)","source_type=varchar(500); 籌碼選擇"
"follow1","VARCHAR(65533)","source_type=varchar(1000); 注關會員"
"follow2","VARCHAR(65533)","source_type=varchar(3000); 關注荷官"
"tip","VARCHAR(65533)","source_type=enum(''Y'',''N''); "
"red","VARCHAR(65533)","source_type=enum(''N'',''Y''); 紅包開關"
"wallet","VARCHAR(65533)","source_type=enum(''Y'',''N''); "
"opengame","VARCHAR(65533)","source_type=varchar(255); 輸入要開啟的種類"
"site","VARCHAR(65533)","source_type=varchar(60); "
"kickperiod","VARCHAR(65533)","source_type=int(3); 踢出局數"
"identity","VARCHAR(65533)","source_type=int(11); 0:信用,1:api"
"singlebetprompt","VARCHAR(65533)","source_type=decimal(15,0); 單注金額告警"
"conwinprompt","VARCHAR(65533)","source_type=int(3); 連贏局數告警"
"winlossprompt","VARCHAR(65533)","source_type=enum(''0'',''1''); 最大可輸可贏提示"
"onlineprompt","VARCHAR(65533)","source_type=enum(''0'',''1''); 上線提示"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
