"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(11); "
"code","VARCHAR(65533)","source_type=int(11); 第三方遊戲商代號"
"cnname","VARCHAR(65533)","source_type=varchar(50); "
"twname","VARCHAR(65533)","source_type=varchar(20); "
"enname","VARCHAR(65533)","source_type=varchar(50); "
"inname","VARCHAR(65533)","source_type=varchar(50); "
"janame","VARCHAR(65533)","source_type=varchar(50); "
"koname","VARCHAR(65533)","source_type=varchar(50); "
"thname","VARCHAR(65533)","source_type=varchar(50); "
"viname","VARCHAR(65533)","source_type=varchar(50); "
"hiname","VARCHAR(65533)","source_type=varchar(50); "
"msname","VARCHAR(65533)","source_type=varchar(50); "
"gameid","VARCHAR(65533)","source_type=varchar(20); 開遊戲代碼or編號"
"reportCode","VARCHAR(65533)","source_type=varchar(20); 寫單代碼or編號"
"gameType","VARCHAR(65533)","source_type=varchar(10); 遊戲類型"
"gameGroup","VARCHAR(65533)","source_type=varchar(10); 遊戲群組,1.老虎機 2.捕魚機 3.棋牌 4. crash 5. 小遊戲 6. 賓果 99.其他遊戲"
"isFree","VARCHAR(65533)","source_type=enum(''Y'',''N''); 是否可試玩"
"isWeb","VARCHAR(65533)","source_type=enum(''Y'',''N''); 支援裝置-PC"
"isMobile","VARCHAR(65533)","source_type=enum(''Y'',''N''); 手機裝置"
"isMaintain","VARCHAR(65533)","source_type=enum(''N'',''Y''); 是否維護"
"tag","VARCHAR(65533)","source_type=varchar(50); 標籤 (熱門,推薦..etc)"
"status","VARCHAR(65533)","source_type=int(1); 狀態"
"status_mobile","VARCHAR(65533)","source_type=int(1); 手機版狀態"
"status_lock","VARCHAR(65533)","source_type=tinyint(1); 開關鎖"
"onlineTime","VARCHAR(65533)","source_type=datetime; 上架時間"
"offlineTime","VARCHAR(65533)","source_type=datetime; 下架時間"
"orders","VARCHAR(65533)","source_type=tinyint(3); 順序"
"demo_url","VARCHAR(1048576)","source_type=text; 試玩網址"
"series","VARCHAR(65533)","source_type=varchar(10); 系列"
"series_web","VARCHAR(65533)","source_type=varchar(12); 系列 (前端用)"
"remark","VARCHAR(65533)","source_type=varchar(32); 備註"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
