"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(11); "
"total","VARCHAR(65533)","source_type=int(11); "
"gameTotal","VARCHAR(1048576)","source_type=text; 遊戲總人數"
"currencyTotal","VARCHAR(1048576)","source_type=text; 幣別總人數"
"reset","VARCHAR(65533)","source_type=int(11); "
"cancel","VARCHAR(65533)","source_type=int(11); "
"betmember","VARCHAR(65533)","source_type=int(11); 本日累計投注人數"
"betamount","VARCHAR(65533)","source_type=decimal(11,2); 本日累計投注金額"
"time","VARCHAR(65533)","source_type=datetime; "
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
