__source_pk,dt,id,permissionid,status,lv1,lv2,lv3,lv4,lv5,lastmodifytime,source_db,source_table,ods_table_name,sync_time
70efdf2ec9b086079795c442636b55fb,2019-08-19,17,50,1,\\0,\\0,\\0,\\0,\\0,2019-08-19 14:10:06,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20 07:14:30
c9f0f895fb98ab9159f51fd0297e236d,2018-10-05,8,12,1,\\0,\\0,\\0,\\0,\\0,2018-10-05 17:00:52,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-19 18:52:56
e4da3b7fbbce2345d7772b0674a318d5,2018-10-05,5,20,1,\\0,\\0,\\0,\\0,\\0,2018-10-05 17:00:52,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-19 18:52:56
98f13708210194c475687be6106a3b84,2021-01-15,20,70,1,\\0,\\0,\\0,\\0,\\0,2021-01-15 16:53:57,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20 07:14:30
34173cb38f07f89ddbebc2ac9128303f,2025-03-24,30,135,1,\\0,\\0,\\0,\\0,\\0,2025-03-24 11:12:20,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20 07:14:30
6ea9ab1baa0efb9e19094440c317e21b,2025-03-24,29,134,1,\\0,\\0,\\0,\\0,\\0,2025-03-24 11:12:20,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20 07:14:30
6364d3f0f495b6ab9dcf8d3b5c6e0b01,2025-04-07,32,137,1,\\0,\\0,\\0,\\0,,2025-04-07 17:25:45,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20 07:14:30
8f14e45fceea167a5a36dedd4bea2543,2019-07-02,7,11,1,\\0,\\0,\\0,\\0,\\0,2019-07-02 23:54:40,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-19 18:52:56
4e732ced3463d06de0ca9a15b6153677,2024-11-20,26,133,0,\\0,\\0,\\0,\\0,\\0,2024-11-20 09:55:30,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20 07:14:30
3c59dc048e8850243be8079a5c74d079,2019-07-15,21,78,0,\\0,\\0,\\0,\\0,\\0,2019-07-15 14:45:27,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20 07:14:30
6f4922f45568161a8cdf4ad2299f6d23,2018-10-05,18,43,1,\\0,\\0,\\0,\\0,\\0,2018-10-05 17:00:52,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20 07:14:30
6512bd43d9caa6e02c990b0a82652dca,2018-10-05,11,39,1,\\0,\\0,\\0,\\0,\\0,2018-10-05 17:00:52,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20 07:14:30
c81e728d9d4c2f636f067f89cc14862c,2018-10-05,2,7,1,\\0,\\0,\\0,\\0,\\0,2018-10-05 17:00:52,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-19 18:52:56
02e74f10e0327ad868d138f2b4fdd6f0,2024-11-21,27,132,0,\\0,\\0,\\0,\\0,\\0,2024-11-21 08:56:43,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20 07:14:30
b6d767d2f8ed5d21a44b0e5886680cb9,2021-02-21,22,73,0,\\0,\\0,\\0,\\0,\\0,2021-02-21 12:23:12,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20 07:14:30
1ff1de774005f8da13f42943881c655f,2025-03-24,24,84,0,\\0,\\0,\\0,\\0,\\0,2025-03-24 11:13:51,a168,agent_permissionrole,ods_a168_agent_permissionrole,2026-05-20 07:14:30
