__source_pk,dt,tcpsocketport,websocketport,gid,tablelist,enable,comment,source_db,source_table,ods_table_name,sync_time
1fdb5a80a6808c569f04221ae4a680d2,2026-07-23,2121,4121,102,3,1,印度ig,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
22134663889f80964846f610ff1f7b52,2026-07-23,2141,4141,107,1,1,fb,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
2e25aa70376b81f2a4367c4391273583,2026-07-23,2152,4152,103,1,1,amb,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
3ee99794a16947e67fbb8dddbc0c6f8c,2026-07-23,2001,4001,104,1,1,zy,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
48b4fa9b3b5ace53e9766f4e5aee1ef5,2026-07-23,2139,4139,104,1,1,fb,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
8d7c7c9e228abf4e5df98a68deef0808,2026-07-23,2062,4062,101,,1,Rex line投,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
904097b438b123dfa69be0ff947c3af4,2026-07-23,2155,4155,107,1,1,amb,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
b0f943169fde2fc874143052647a29cc,2026-07-23,2161,4161,105,31,1,瓦力,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
b6ce10bc18a3b9516c0aa59d92fcb74f,2026-07-23,2065,4065,101,"1,2,3,5,6,7,8,31,32,33,35,36,37,101,102,103,105,106,108,109",1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
bd838906008d33c7590da74369ac2e24,2026-07-23,2179,4179,101,"112,113,115,116",1,Foxy,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
cdaa8880b611b107d3078da1819481d7,2026-07-23,2067,4067,103,1,1,bbin,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
ce87bbe04e604d8dc854b0b757cca91d,2026-07-23,2151,4151,102,"1,3,31",1,amb,a168,game_transfer,ods_a168_game_transfer,2026-07-23 04:10:58
