__source_pk,dt,iom001,iom002,iom003,iom004,iom005,iom006,iom007,iom008,iom009,iom010,source_db,source_table,ods_table_name,sync_time
4135585105,2026-03-30,4135585105,2026-03-30 00:00:01,114335809,2010.9600,121,5,43049,639103824011720006u53u4202251,0,2010.9600,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585111,2026-03-30,4135585111,2026-03-30 00:00:01,139859508,78.4000,501,7,139859508,108_114592472_117,0,1908.5200,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585126,2026-03-30,4135585126,2026-03-30 00:00:01,140013555,54.8800,501,7,140013555,108_114592472_117,0,54.8800,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585132,2026-03-30,4135585132,2026-03-30 00:00:01,119135552,980.0000,501,7,119135552,108_114592472_117,0,1978.2000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585139,2026-03-30,4135585139,2026-03-30 00:00:01,147947939,19.6000,501,7,147947939,108_114592472_117,0,206.6000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585147,2026-03-30,4135585147,2026-03-30 00:00:01,142639392,2940.0000,501,7,142639392,108_114592472_117,0,4947.1600,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585153,2026-03-30,4135585153,2026-03-30 00:00:01,146479618,-100.0000,502,7,146479618,101_114592554_18,0,2680.9500,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585158,2026-03-30,4135585158,2026-03-30 00:00:02,93873456,-20.0000,502,7,93873456,101_114592549_30,0,90.0000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585164,2026-03-30,4135585164,2026-03-30 00:00:03,147948334,-50.0000,502,7,147948334,101_114592555_12,0,50.5700,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585170,2026-03-30,4135585170,2026-03-30 00:00:04,82920297,-100.0000,502,7,82920297,101_114592550_30,0,399.4500,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585185,2026-03-30,4135585185,2026-03-30 00:00:05,145613563,-20.0000,502,7,145613563,101_124825_15,0,96.7700,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585191,2026-03-30,4135585191,2026-03-30 00:00:05,147268492,-20.0000,502,7,147268492,101_114592549_30,0,40.7500,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585201,2026-03-30,4135585201,2026-03-30 00:00:05,146877699,686.0000,501,7,146877699,108_114592560_1,0,2951.2700,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585215,2026-03-30,4135585215,2026-03-30 00:00:06,144059733,-90.0000,502,7,144059733,107_114592474_68,0,190.2450,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585222,2026-03-30,4135585222,2026-03-30 00:00:06,139618373,-2247.0000,122,5,25270,2026033000600021,0,0.0000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585229,2026-03-30,4135585229,2026-03-30 00:00:06,139954326,-10.0000,502,7,139954326,101_114592554_18,0,844.8600,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585236,2026-03-30,4135585236,2026-03-30 00:00:06,123097214,-700.0000,502,7,123097214,108_114592478_117,0,1288.8400,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585243,2026-03-30,4135585243,2026-03-30 00:00:07,93282155,-500.0000,502,7,93282155,101_114592555_12,0,11005.0800,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585248,2026-03-30,4135585248,2026-03-30 00:00:07,5802057,-10.0000,502,7,5802057,108_114592478_117,0,290.3100,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585257,2026-03-30,4135585257,2026-03-30 00:00:08,81445964,19.5000,501,7,81445964,101_114592538_42,0,697.5000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585260,2026-03-30,4135585260,2026-03-30 00:00:08,143729381,78.0000,501,7,143729381,101_114592538_42,0,1126.6500,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585274,2026-03-30,4135585274,2026-03-30 00:00:08,133412424,-50.0000,502,7,133412424,101_114592549_30,0,1319.6000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585281,2026-03-30,4135585281,2026-03-30 00:00:08,147454849,-15.0000,502,7,147454849,101_114592549_30,0,375.7200,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585295,2026-03-30,4135585295,2026-03-30 00:00:08,147537136,-100.0000,502,7,147537136,101_114592543_51,0,16511.7600,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585304,2026-03-30,4135585304,2026-03-30 00:00:09,130347636,-0.6600,122,5,51050,2026032912000936289205,0,0.0000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585310,2026-03-30,4135585310,2026-03-30 00:00:09,128781944,-10.0000,502,7,128781944,101_114592543_51,0,296.7600,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585327,2026-03-30,4135585327,2026-03-30 00:00:10,147700247,-10.0000,502,7,147700247,101_114592550_30,0,57.0000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585333,2026-03-30,4135585333,2026-03-30 00:00:10,123814629,-50.0000,502,7,123814629,101_124817_55,0,940.8000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585338,2026-03-30,4135585338,2026-03-30 00:00:10,99298915,-500.0000,502,7,99298915,101_114592541_40,0,7093.7800,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585346,2026-03-30,4135585346,2026-03-30 00:00:11,112603415,-20.0000,502,7,112603415,101_114592555_12,0,30.0600,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585352,2026-03-30,4135585352,2026-03-30 00:00:11,7724308,-40.0000,502,7,7724308,108_114592478_117,0,443.1400,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585359,2026-03-30,4135585359,2026-03-30 00:00:11,147905531,-30.0000,502,7,147905531,108_114592478_117,0,158.6700,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585365,2026-03-30,4135585365,2026-03-30 00:00:12,104023950,-60.0000,502,7,104023950,107_114592474_68,0,941.1600,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585371,2026-03-30,4135585371,2026-03-30 00:00:12,134296707,-1000.0000,502,7,134296707,101_124818_41,0,327.7000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585384,2026-03-30,4135585384,2026-03-30 00:00:13,108815419,-10.0000,502,7,108815419,108_114592478_117,0,50.8500,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585390,2026-03-30,4135585390,2026-03-30 00:00:13,147647914,-30.0000,502,7,147647914,108_114592478_117,0,77.2000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585402,2026-03-30,4135585402,2026-03-30 00:00:14,131509192,-100.0000,502,7,131509192,108_114592478_117,0,301.5000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585409,2026-03-30,4135585409,2026-03-30 00:00:14,147911603,-50.0000,502,7,147911603,108_114592478_117,0,11491.7500,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585416,2026-03-30,4135585416,2026-03-30 00:00:15,145199674,-300.0000,502,7,145199674,101_114592556_11,0,2881.1500,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585421,2026-03-30,4135585421,2026-03-30 00:00:15,135400949,-100.0000,502,7,135400949,107_114592474_68,0,218.1100,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585435,2026-03-30,4135585435,2026-03-30 00:00:17,146796421,-300.0000,502,7,146796421,101_114592551_28,0,500.7200,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585440,2026-03-30,4135585440,2026-03-30 00:00:17,116500316,-10.0000,502,7,116500316,101_114592551_28,0,169.0000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585454,2026-03-30,4135585454,2026-03-30 00:00:18,141279950,-0.7000,122,5,43049,639103824183173207z26z2272063,0,0.0000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585463,2026-03-30,4135585463,2026-03-30 00:00:19,133848671,2.0000,501,7,133848671,101_114592545_29,0,13.6000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585468,2026-03-30,4135585468,2026-03-30 00:00:19,145663969,1600.0000,501,7,145663969,104_114592473_135,0,1811.4000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585477,2026-03-30,4135585477,2026-03-30 00:00:19,123814629,-100.0000,502,7,123814629,101_124818_41,0,790.8000,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585482,2026-03-30,4135585482,2026-03-30 00:00:19,127954141,500.0000,121,5,42413,1774800020209,0,500.8500,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585489,2026-03-30,4135585489,2026-03-30 00:00:20,147901784,-50.0000,502,7,147901784,101_114592538_43,0,2869.2400,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585496,2026-03-30,4135585496,2026-03-30 00:00:21,142056158,80.0000,501,7,142056158,101_124820_35,0,250.9400,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585507,2026-03-30,4135585507,2026-03-30 00:00:21,133193564,-3000.0000,502,7,133193564,101_114592522_43,0,50818.4500,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
4135585513,2026-03-30,4135585513,2026-03-30 00:00:22,139938408,-20000.0000,502,7,139938408,101_124825_15,0,130114.8500,a168,in_out_m,ods_a168_in_out_m,2026-05-21 23:54:06
