源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,流水號,名稱,網址,參數,0:待處理 1:處理中 2:完成,"",_1,来源库,来源表,ODS表名,同步时间
1f925db31cf6e113652653ad1e99d90c,2026-06-28,186392848,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2684368522&category=1,2,2026-06-28T01:54:45Z,2026-06-28T01:55:20Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-06-28T07:09:53Z
28e217f00b0c1336ce0ea4876600ebd4,2026-06-28,186392864,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2684405035&category=1,2,2026-06-28T03:15:10Z,2026-06-28T03:15:11Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-06-28T07:09:53Z
7b880bce8fdf95442caf313c3b837278,2026-06-28,186392882,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2684514727&category=1,2,2026-06-28T09:00:39Z,2026-06-28T09:00:56Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-06-29T07:11:23Z
8ea3c4e8914f86c01b1e3f2e7bdd64ba,2026-06-28,186392910,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2684967563&category=1,2,2026-06-28T22:12:23Z,2026-06-28T22:12:34Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-06-29T07:11:23Z
941f5594591d1bf8e4f32458ccc11351,2026-06-28,186392890,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2684581413&category=1,2,2026-06-28T11:18:22Z,2026-06-28T11:18:54Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-06-29T07:11:23Z
b3f640cf7e467425aa6739c46994f17b,2026-06-28,186392849,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2684368582&category=1,2,2026-06-28T01:54:51Z,2026-06-28T01:55:20Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-06-28T07:09:53Z
fd7e1a29cf44649a24128b127db3e2aa,2026-06-28,186392885,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2684517243&category=1,2,2026-06-28T09:06:32Z,2026-06-28T09:07:10Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-06-29T07:11:23Z
01ffd686bbd79f5c3b0401f1c22492eb,2026-07-19,186395781,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701355709&category=1,2,2026-07-19T22:58:36Z,2026-07-19T22:58:42Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
021fb76d211b27312006522f1d1f7df3,2026-07-19,186395076,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701323845&category=1,2,2026-07-19T22:07:30Z,2026-07-19T22:08:07Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
02cd0aed9024831e2e561cfa0b8dd26d,2026-07-19,186395528,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701325276&category=1,2,2026-07-19T22:11:28Z,2026-07-19T22:12:51Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
03d9ae8b896332dc506d773a817fa752,2026-07-19,186395722,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701355637&category=1,2,2026-07-19T22:58:02Z,2026-07-19T22:58:59Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
03ec4d2052fce09c31775088600b8f14,2026-07-19,186395709,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701355625&category=1,2,2026-07-19T22:57:56Z,2026-07-19T22:58:53Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
06e7d78a9bee0243f131f898522fbfaa,2026-07-19,186395390,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701325142&category=1,2,2026-07-19T22:10:50Z,2026-07-19T22:12:50Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
0ae254d6405ea3f5b89d61f86b123438,2026-07-19,186395788,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701355716&category=1,2,2026-07-19T22:58:39Z,2026-07-19T22:58:45Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
0eed40ad19ac538957956c3b3fab999f,2026-07-19,186395381,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701325131&category=1,2,2026-07-19T22:10:49Z,2026-07-19T22:12:50Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
10602693637b663047430cad635cf40d,2026-07-19,186395770,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701355701&category=1,2,2026-07-19T22:58:30Z,2026-07-19T22:58:56Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
1136b2c8569af1ff9c4106ae700f8218,2026-07-19,186395086,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701323857&category=1,2,2026-07-19T22:07:32Z,2026-07-19T22:08:09Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
14c8068f8e4f48914323fde85924d630,2026-07-19,186395103,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701323879&category=1,2,2026-07-19T22:07:35Z,2026-07-19T22:08:06Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
15c04ebbd51c8d57912b57280d4e608a,2026-07-19,186395750,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701355679&category=1,2,2026-07-19T22:58:19Z,2026-07-19T22:58:46Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
166c434b0ac6cdc1665e996f1cba1ab8,2026-07-19,186395183,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701323954&category=1,2,2026-07-19T22:08:01Z,2026-07-19T22:08:08Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
181eb51a44be0e7ff978aaa715e54b6b,2026-07-19,186395127,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701323899&category=1,2,2026-07-19T22:07:37Z,2026-07-19T22:08:09Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
1fa6570d64fb39abaa6c655490fccabe,2026-07-19,186395354,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701325095&category=1,2,2026-07-19T22:10:44Z,2026-07-19T22:12:53Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
201ea097c90b85584f203787d2abbd56,2026-07-19,186395360,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701325108&category=1,2,2026-07-19T22:10:44Z,2026-07-19T22:12:53Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
21420a891c732d9fd01ef9b6f06da294,2026-07-19,186395473,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701325221&category=1,2,2026-07-19T22:11:16Z,2026-07-19T22:12:53Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
21a98bb9320cf99704802f469077e049,2026-07-19,186395101,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701323873&category=1,2,2026-07-19T22:07:35Z,2026-07-19T22:08:06Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
256712ed7ab671ab368194fd452163b6,2026-07-19,186395785,BetFeedback,https://api99.wm555.net/api/server/Gateway.php,cmd=BetFeedback&dealid=2701355731&category=1,2,2026-07-19T22:58:38Z,2026-07-19T22:58:44Z,a168,game_callwebapi,ods_a168_game_callwebapi,2026-07-20T07:15:24Z
