源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,注單編號,操作者(管理員),操作時間,来源库,来源表,ODS表名,同步时间
02239b313a61a538c7f3b0817e74dccc,2025-12-29,5209138014,273,2025-12-29T12:57:37Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
2e73c41da3b96f24023f8c6966b4c41f,2025-12-29,5211501224,273,2025-12-29T12:40:22Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
3f00afa1f9a8f03768a0c29369367002,2025-12-29,5205580406,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
410b90c038633874e2ed988b01194a38,2025-12-29,5211549234,273,2025-12-29T12:40:22Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
4ba3105ad841366d6739b1646c088712,2025-12-29,5211284434,273,2025-12-29T13:08:25Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
6d9c3f7ef267a91eb3973d067bc9892e,2025-12-29,5207072312,273,2025-12-29T13:03:34Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
76375e14258e5bc7aff7ee36cbd94fd8,2025-12-29,5207103106,273,2025-12-29T13:03:34Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
7796630034b3c72722fa8ac21c27924d,2025-12-29,5208467015,273,2025-12-29T12:46:28Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
79ac7ea8112ec566e67b06c4043902fd,2025-12-29,5205963724,273,2025-12-29T13:04:43Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
8cef3373592882bc9695cccd91526679,2025-12-29,5207813775,273,2025-12-29T13:09:44Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
8eb8e229f97a36e1e65b600fca02b475,2025-12-29,5205944680,273,2025-12-29T13:04:43Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
99338b87bcecb86f17ddb08924c1a5ff,2025-12-29,5211547784,273,2025-12-29T12:40:22Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
9c2893e34bdc682859abce1add020ca7,2025-12-29,5209001171,273,2025-12-29T13:08:25Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
a6ac1a555bcc69c95be640a0f6665683,2025-12-29,5209244842,273,2025-12-29T12:56:32Z,a168,orderslist,ods_a168_orderslist,2026-07-23T06:02:34Z
