源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,mid,gid,場次,子場次,桌號,IP,登入時間,下注金額,下注內容,目前額度,user_agent,連續未下注次數,来源库,来源表,ODS表名,同步时间
030d92b95b3ccb4aa9ca14ec22956216,2026-06-20,151776819,101,114682022,9,1,103.25.77.130,2026-06-20T07:11:48Z,2,Player: 2,0.5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) bill-acceptor-app/1.0.0 Chrome/124.0.6367.243 Electron/30.5.1 Safari/537.36",1,a168,realtimebet,ods_a168_realtimebet,2026-06-20T07:12:50Z
0ab7436d0a044762bcab6350a99e02ab,2026-06-20,151730565,101,1266646,9,907,184.22.180.51,2026-06-20T02:38:19Z,0,"",102,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",0,a168,realtimebet,ods_a168_realtimebet,2026-06-20T07:12:50Z
13c074d456f471f4c9f6527a880f4864,2026-06-20,151776817,105,114681972,30,31,120.235.65.168,2026-06-20T07:12:16Z,0,"",0,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",0,a168,realtimebet,ods_a168_realtimebet,2026-06-20T07:12:50Z
62c888c7134197cdd9228b62ab378f3e,2026-06-20,151776680,101,114682009,29,2,123.23.123.229,2026-06-20T07:05:22Z,0,"",2031.37,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,a168,realtimebet,ods_a168_realtimebet,2026-06-20T07:12:50Z
ae2be294bf5b59d7092162e7a8300493,2026-05-23,150422075,104,114651113,94,1,171.253.159.168,2026-05-23T07:28:47Z,0,"",478.94,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",1,a168,realtimebet,ods_a168_realtimebet,2026-05-23T07:29:45Z
ea2b52fb355f50745da14523b34d19c2,2026-05-26,150561092,101,114654297,7,112,49.237.73.249,2026-05-26T07:11:03Z,50,Player: 50,50.6,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Safari Line/26.7.1",0,a168,realtimebet,ods_a168_realtimebet,2026-05-26T07:11:50Z
ea7be1113a93da260f3292c1ecc9ec50,2026-05-26,150560997,101,114654284,33,116,113.176.91.249,2026-05-26T07:06:49Z,0,"",142.2,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/334.27 (KHTML, like Gecko) Chrome/605.0.0.0 Mobile Safari/778.622 OPR/656.621.824",1,a168,realtimebet,ods_a168_realtimebet,2026-05-26T07:11:50Z
976d39403c57c2e7f03623efabba758f,2026-05-25,150519026,101,114653354,33,33,182.8.225.97,2026-05-25T07:06:07Z,0,"",208696,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",1,a168,realtimebet,ods_a168_realtimebet,2026-05-25T07:18:57Z
54e01b1b5307afa16f4332cbed33c9ec,2026-06-04,150964761,101,114664532,8,5,171.225.199.3,2026-06-04T07:13:45Z,16,Banker: 16,0.4,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",1,a168,realtimebet,ods_a168_realtimebet,2026-06-04T07:15:07Z
5bc39886311cb2f11d7879099131dc49,2026-06-04,150964705,101,114664525,26,33,223.114.22.1,2026-06-04T07:02:59Z,0,"",906,"Mozilla/5.0 (Phone; OpenHarmony 6.0; Android 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36  ArkWeb/6.0.0.138 Mobile HuaweiBrowser/6.1.4.321",0,a168,realtimebet,ods_a168_realtimebet,2026-06-04T07:15:07Z
