表名,分类,文件大小_MB,行数,是否空表,是否测试_备份表
ods_a168_bet_partner.csv,三方合作类,18.305,100000,False,False
ods_a168_member_partner_account.csv,三方合作类,1.507,9109,False,False
ods_a168_member_partner_gamelist.csv,三方合作类,0.026,184,False,False
ods_a168_partner_bng_token.csv,三方合作类,0.0,0,True,False
ods_a168_partner_gamelist.csv,三方合作类,0.007,15,False,False
ods_a168_partner_reportTime.csv,三方合作类,0.0,1,False,False
ods_a168_partner_setting.csv,三方合作类,0.083,437,False,False
ods_a168_partner_transation.csv,三方合作类,19.302,100000,False,False
ods_a168_partner_transation_log.csv,三方合作类,44.459,100000,False,False
ods_a168_partner_type.csv,三方合作类,0.0,1,False,False
ods_a168_age_login.csv,代理体系类,4.454,27339,False,False
ods_a168_age_sub_login.csv,代理体系类,1.65,9019,False,False
ods_a168_agent.csv,代理体系类,17.64,46163,False,False
ods_a168_agent_bak20250610.csv,代理体系类,17.532,43244,False,True
ods_a168_agent_dtl.csv,代理体系类,14.989,100000,False,False
ods_a168_agent_dtl_test.csv,代理体系类,0.01,57,False,True
ods_a168_agent_elec.csv,代理体系类,0.0,0,True,False
ods_a168_agent_partner_gamelist.csv,代理体系类,0.006,45,False,False
ods_a168_agent_permissionrole.csv,代理体系类,0.005,28,False,False
ods_a168_agent_sub.csv,代理体系类,3.783,12960,False,False
ods_a168_agent_test.csv,代理体系类,0.012,30,False,True
ods_a168_agents_LoginPass.csv,代理体系类,6.252,16935,False,False
ods_a168_subagent_permissionrole.csv,代理体系类,0.004,22,False,False
ods_a168_member.csv,会员身份与账户类,36.849,100000,False,False
ods_a168_member_click_counter.csv,会员身份与账户类,12.438,82473,False,False
ods_a168_member_dtl.csv,会员身份与账户类,15.585,100000,False,False
ods_a168_member_explosion_setting.csv,会员身份与账户类,0.011,68,False,False
ods_a168_member_odds.csv,会员身份与账户类,0.0,0,True,False
ods_a168_member_url.csv,会员身份与账户类,0.01,53,False,False
ods_a168_ban_bet_area.csv,投注行为类,3.038,24123,False,False
ods_a168_bet.csv,投注行为类,0.0,0,True,False
ods_a168_bet01.csv,投注行为类,36.1,100000,False,False
ods_a168_bet02.csv,投注行为类,42.748,100000,False,False
ods_a168_bet_No.csv,投注行为类,0.0,0,True,False
ods_a168_bet_limit_default.csv,投注行为类,0.138,663,False,False
ods_a168_betchange_log.csv,投注行为类,22.709,100000,False,False
ods_a168_log_realtimebet.csv,投注行为类,3.631,22736,False,False
ods_a168_realtimebet.csv,投注行为类,1.193,3847,False,False
ods_a168_aggregate_setting.csv,报表汇总类,0.006,38,False,False
ods_a168_aggregate_token.csv,报表汇总类,0.003,6,False,False
ods_a168_dailyreport.csv,报表汇总类,0.0,0,True,False
ods_a168_dailyreport2.csv,报表汇总类,0.0,0,True,False
ods_a168_dailyreport_member.csv,报表汇总类,27.078,100000,False,False
ods_a168_dailyreport_table.csv,报表汇总类,21.345,100000,False,False
ods_a168_dailyreport_usercount.csv,报表汇总类,13.52,100000,False,False
ods_a168_func_counter.csv,报表汇总类,0.016,124,False,False
ods_a168_control.csv,权限与员工管理类,0.051,221,False,False
ods_a168_control_login.csv,权限与员工管理类,0.052,306,False,False
ods_a168_emp_login.csv,权限与员工管理类,0.004,28,False,False
ods_a168_employee.csv,权限与员工管理类,0.431,1937,False,False
ods_a168_permissionrole.csv,权限与员工管理类,0.122,944,False,False
ods_a168_permissions.csv,权限与员工管理类,0.017,96,False,False
ods_a168_permissionsPage.csv,权限与员工管理类,0.001,3,False,False
ods_a168_permissionsPageRoles.csv,权限与员工管理类,0.011,90,False,False
ods_a168_permissionsgroup.csv,权限与员工管理类,0.002,10,False,False
ods_a168_roles.csv,权限与员工管理类,0.004,30,False,False
ods_a168_category.csv,游戏系统配置类,0.0,0,True,False
ods_a168_categoryLevel.csv,游戏系统配置类,0.0,0,True,False
ods_a168_game_No.csv,游戏系统配置类,12.298,100000,False,False
ods_a168_game_callwebapi.csv,游戏系统配置类,3.216,12676,False,False
ods_a168_game_demoipsetting.csv,游戏系统配置类,0.002,16,False,False
ods_a168_game_info.csv,游戏系统配置类,19.727,100000,False,False
ods_a168_game_info_verify.csv,游戏系统配置类,0.016,100,False,False
ods_a168_game_log.csv,游戏系统配置类,40.491,100000,False,False
ods_a168_game_parame.csv,游戏系统配置类,0.001,6,False,False
ods_a168_game_result.csv,游戏系统配置类,0.0,0,True,False
ods_a168_game_statistics.csv,游戏系统配置类,11.404,100000,False,False
ods_a168_game_tip.csv,游戏系统配置类,0.005,31,False,False
ods_a168_game_transfer.csv,游戏系统配置类,0.014,102,False,False
ods_a168_game_type.csv,游戏系统配置类,0.005,17,False,False
ods_a168_member_category.csv,游戏系统配置类,0.0,0,True,False
ods_a168_odds_default.csv,游戏系统配置类,0.001,8,False,False
ods_a168_opengame_log.csv,游戏系统配置类,0.0,1,False,False
ods_a168_play_set.csv,游戏系统配置类,0.002,16,False,False
ods_a168_shuffle_gid.csv,游戏系统配置类,0.002,19,False,False
ods_a168_shuffle_info.csv,游戏系统配置类,0.0,0,True,False
ods_a168_symbol.csv,游戏系统配置类,0.003,28,False,False
ods_a168_tablelimit.csv,游戏系统配置类,0.021,116,False,False
ods_a168_tablelimit_third.csv,游戏系统配置类,0.012,43,False,False
ods_a168_SMR_log.csv,系统技术日志类,13.872,100000,False,False
ods_a168_alarmMessage.csv,系统技术日志类,12.522,100000,False,False
ods_a168_alertMessage.csv,系统技术日志类,0.056,174,False,False
ods_a168_change_log.csv,系统技术日志类,6.674,33696,False,False
ods_a168_keyserver_command.csv,系统技术日志类,0.001,6,False,False
ods_a168_realtimelog.csv,系统技术日志类,34.701,57698,False,False
ods_a168_stream.csv,系统技术日志类,0.0,1,False,False
sync_checkpoint.csv,系统技术日志类,0.009,76,False,False
ods_a168_aisetting.csv,系统配置/其它类,0.001,10,False,False
ods_a168_apiurl.csv,系统配置/其它类,0.002,19,False,False
ods_a168_conversion.csv,系统配置/其它类,0.484,2585,False,False
ods_a168_ctl_rto.csv,系统配置/其它类,0.001,8,False,False
ods_a168_currency.csv,系统配置/其它类,0.007,36,False,False
ods_a168_log_mem_change.csv,系统配置/其它类,40.282,100000,False,False
ods_a168_mem_login.csv,系统配置/其它类,13.507,100000,False,False
