"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"sn","VARCHAR(65533)","source_type=int(11); "
"level","VARCHAR(65533)","source_type=int(11); 層級等級，status為1時修改為sn"
"aid","VARCHAR(65533)","source_type=int(11); 代理編號"
"name","VARCHAR(65533)","source_type=varchar(30); 層級名稱"
"isdefault","VARCHAR(65533)","source_type=enum(''Y'',''N''); 預設層級 "
"isjoin","VARCHAR(65533)","source_type=enum(''Y'',''N''); 加入升降級"
"in_single_mix","VARCHAR(65533)","source_type=decimal(16,4); 單筆最低存款限額, 0為不限制"
"in_single_max","VARCHAR(65533)","source_type=decimal(16,4); 單筆最高存款限額, 0為不限制"
"singleday_in_times","VARCHAR(65533)","source_type=int(11); 單日最高存款次數, 0為不限制"
"out_single_mix","VARCHAR(65533)","source_type=decimal(16,4); 單筆最低提款限額, 0為不限制"
"out_single_max","VARCHAR(65533)","source_type=decimal(16,4); 單筆最高提款限額, 0為不限制"
"out_singleday_max","VARCHAR(65533)","source_type=decimal(16,4); 單日最高提款總額, 0為不限制"
"singleday_out_times","VARCHAR(65533)","source_type=decimal(16,4); 單日最高提款次數, 0為不限制"
"out_platform_fee_rate","VARCHAR(65533)","source_type=decimal(15,4); 提款平台處理費%"
"out_fee_times","VARCHAR(65533)","source_type=tinyint(1); 提款手續費免費次數"
"out_fee_rate","VARCHAR(65533)","source_type=decimal(15,4); 提款手續費%"
"feedback_type","VARCHAR(65533)","source_type=enum(''hall'',''game''); 返水範圍"
"feedback_rate","VARCHAR(1048576)","source_type=text; ""有效返水%  feedback_type:hall→{""""LIVE"""":[{""""gamecode"""":""""1,2"""",""""rate"""":""""0.3%""""}],""""SPORT"""":[{""""gamecode"""":""""5002,5006"""",""""rate"""":""""0.1%""""}],""""SLOT"""":[{""""gamecode"""":""""5003,5004,5005"""",""""rate"""":""""0.4%""""}]} feedback_type:game,→{""""LIVE"""":[{""""code"""":""""101,201(EX:AG百家)"""",""""rate"""":""""0.1%""""},{""""code"""":""""102,202(EX:AG龍虎)"""",""""rate"""":""""0.3%""""},{""""code"""":""""103"""",""""rate"""":""""0.4%""""},{""""code"""":""""104"""",""""rate"""":""""0.4%""""},{""""code"""":""""105"""",""""rate"""":""""0.2%""""},{""""code"""":""""107"""",""""rate"""":""""0.5%""""},{""""code"""":""""108"""",""""rate"""":""""0.3%""""},{""""code"""":""""110"""",""""rate"""":""""0.2%""""},{""""code"""":""""111"""",""""rate"""":""""0.5%""""},{""""code"""":""""112"""",""""rate"""":""""0.5%""""},{""""code"""":""""113"""",""""rate"""":""""0.5%""""},{""""code"""":""""117"""",""""rate"""":""""0.4%""""},{""""code"""":""""121"""",""""rate"""":""""0.3%""""}],""""SPORT"""":[{""""code"""":""""133,233(EX:IBC串關)"
"upgrade","VARCHAR(1048576)","source_type=text; 升級{""vaild"":""100000"",""deposit"":""100000""}"
"keep","VARCHAR(1048576)","source_type=text; 保級{""vaild"":""10000"",""deposit"":""10000""}"
"status","VARCHAR(65533)","source_type=tinyint(1); 軟刪除設定 1:軟刪除 ，因為level和aid是索引唯一，所以軟刪除也請把該筆level1更新成sn"
"remark","VARCHAR(1048576)","source_type=text; 備註"
"op_lv","VARCHAR(65533)","source_type=int(11); 操作者層級"
"op_id","VARCHAR(65533)","source_type=int(11); 操作者ID"
"op_ip","VARCHAR(65533)","source_type=varchar(50); 操作者IP"
"settingtime","VARCHAR(65533)","source_type=timestamp; 建立時間"
"updatetime","VARCHAR(65533)","source_type=timestamp; 最後操作時間"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
