"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"ip","VARCHAR(65533)","source_type=varchar(20); "
"allow","VARCHAR(65533)","source_type=tinyint(1); 0:黑名單,1:白名單"
"enable","VARCHAR(65533)","source_type=tinyint(1); 0:停用,1:啟用"
"comment","VARCHAR(1048576)","source_type=text; "
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
