"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"gi001","VARCHAR(65533)","source_type=int(11); 遊戲類別"
"gi002","VARCHAR(65533)","source_type=decimal(12,0); 場次編號"
"gi003","VARCHAR(65533)","source_type=int(11); 子場次編號"
"gi004","VARCHAR(65533)","source_type=datetime; 開局時間"
"gi005","VARCHAR(65533)","source_type=decimal(16,4); 總下注金額"
"gi006","VARCHAR(65533)","source_type=datetime; 開獎時間"
"gi007","VARCHAR(1048576)","source_type=text; 開獎內容"
"gi008","VARCHAR(65533)","source_type=decimal(16,4); 輸贏"
"gi009","VARCHAR(65533)","source_type=decimal(16,4); 總退水"
"gi010","VARCHAR(65533)","source_type=decimal(16,4); 結果：贏得＋退水－下注"
"gi011","VARCHAR(65533)","source_type=int(11); Table ID"
"gi012","VARCHAR(65533)","source_type=int(11); result"
"gi013","VARCHAR(65533)","source_type=int(11); 狀態：0:未開,1:己開,2:重對,9:取消"
"eid","VARCHAR(65533)","source_type=int(11); 荷官"
"serid","VARCHAR(65533)","source_type=int(11); 服務編號"
"3rdno","VARCHAR(65533)","source_type=varchar(30); "
"is_lock","VARCHAR(65533)","source_type=char(1); 鎖定"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
