"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=int(11); "
"mid","VARCHAR(65533)","source_type=int(11); "
"user_agent","VARCHAR(1048576)","source_type=text; "
"web_address","VARCHAR(1048576)","source_type=text; "
"web_url","VARCHAR(1048576)","source_type=text; 遊戲網址"
"website_delay_time","VARCHAR(65533)","source_type=int(11); "
"url_index","VARCHAR(65533)","source_type=int(11); "
"api_delay_time","VARCHAR(65533)","source_type=int(11); "
"load_html_id","VARCHAR(65533)","source_type=int(11); "
"load_html_time","VARCHAR(65533)","source_type=int(11); "
"server_id","VARCHAR(65533)","source_type=int(11); "
"server_delay_time","VARCHAR(65533)","source_type=int(11); "
"video_type","VARCHAR(65533)","source_type=varchar(5); "
"video_delay_time","VARCHAR(65533)","source_type=int(11); "
"addtime","VARCHAR(65533)","source_type=datetime; "
"ip","VARCHAR(65533)","source_type=varchar(100); 登入IP"
"country_code","VARCHAR(65533)","source_type=varchar(10); 國家代碼"
"region","VARCHAR(65533)","source_type=varchar(30); 國家"
"city","VARCHAR(65533)","source_type=varchar(30); 城市"
"ISP","VARCHAR(65533)","source_type=varchar(100); 電信商"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
