"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"iom001","VARCHAR(65533)","source_type=bigint(20); sn"
"iom002","VARCHAR(65533)","source_type=timestamp; time"
"iom003","VARCHAR(65533)","source_type=int(11); member"
"iom004","VARCHAR(65533)","source_type=double(20,4); money"
"iom005","VARCHAR(65533)","source_type=varchar(5); op_code"
"iom006","VARCHAR(65533)","source_type=int(11); op_lv"
"iom007","VARCHAR(65533)","source_type=int(11); op_aid"
"iom008","VARCHAR(65533)","source_type=varchar(64); memo"
"iom009","VARCHAR(65533)","source_type=int(11); site"
"iom010","VARCHAR(65533)","source_type=double(20,4); subtotal"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
