"column_name","column_type","comment"
"__source_pk","VARCHAR(64)","源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5"
"dt","DATE","StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天"
"id","VARCHAR(65533)","source_type=bigint(20); "
"user","VARCHAR(65533)","source_type=varchar(30); "
"requestDate","VARCHAR(65533)","source_type=datetime; 我方請求時間"
"responseDate","VARCHAR(65533)","source_type=timestamp; 對方回應時間"
"money","VARCHAR(65533)","source_type=decimal(15,4); 處理金錢"
"cash","VARCHAR(65533)","source_type=decimal(15,4); 當前金額"
"type","VARCHAR(65533)","source_type=tinyint(1); 0:取餘額 1:加點 2:扣點"
"game_detail","VARCHAR(65533)","source_type=varchar(200); 遊戲伺服器註解"
"bet_detail","VARCHAR(1048576)","source_type=text; "
"detail","VARCHAR(1048576)","source_type=text; "
"status","VARCHAR(65533)","source_type=tinyint(1); 0:未處理 1:成功 2:失敗  3.回滾"
"feedback_id","VARCHAR(65533)","source_type=int(11); "
"gtype","VARCHAR(65533)","source_type=int(3); "
"feedback_status","VARCHAR(65533)","source_type=tinyint(1); 0,未處理 1,成功 2,失敗"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"ods_table_name","VARCHAR(256)","ODS表名"
"sync_time","DATETIME","同步时间"
