"column_name","column_type","comment"
"task_name","VARCHAR(256)","同步任务名"
"source_db","VARCHAR(64)","来源库"
"source_table","VARCHAR(128)","来源表"
"target_table","VARCHAR(256)","目标表"
"sync_mode","VARCHAR(64)","同步模式"
"last_sync_time","DATETIME","时间增量断点"
"last_sync_id","VARCHAR(512)","ID/复合键断点"
"updated_at","DATETIME","更新时间"
"last_key1","VARCHAR(255)","断点字段1"
"last_key2","VARCHAR(255)","断点字段2"
"last_key3","VARCHAR(255)","断点字段3"
"last_key4","VARCHAR(255)","断点字段4"
"last_key5","VARCHAR(255)","断点字段5"
