表名,状态,最佳候选列,与2026活跃会员交集数,与老会员交集数
ods_a168_age_login.csv,已扫描,,0,3183
ods_a168_age_sub_login.csv,已扫描,,0,795
ods_a168_agent.csv,已扫描,,0,5255
ods_a168_agent_bak20250610.csv,已扫描,,0,5129
ods_a168_agent_dtl.csv,已扫描,,0,4223
ods_a168_agent_dtl_test.csv,已扫描,,0,16
ods_a168_agent_elec.csv,空表(0字节),,,
ods_a168_agent_partner_gamelist.csv,已扫描,,0,12
ods_a168_agent_permissionrole.csv,已扫描,,0,27
ods_a168_agent_sub.csv,已扫描,,0,882
ods_a168_agent_test.csv,已扫描,,0,16
ods_a168_agents_LoginPass.csv,已扫描,,0,1938
ods_a168_aggregate_setting.csv,已扫描,,0,35
ods_a168_aggregate_token.csv,已扫描,,0,0
ods_a168_aggregate_transaction.csv,已扫描,,0,15
ods_a168_aisetting.csv,已扫描,,0,10
ods_a168_alarmMessage.csv,已扫描,mid,1,5694
ods_a168_alert_ip_setting.csv,已扫描,,0,16
ods_a168_alertMessage.csv,已扫描,,0,170
ods_a168_apiurl.csv,已扫描,,0,17
ods_a168_ban_bet_area.csv,已扫描,id,1,343
ods_a168_bet.csv,空表(0字节),,,
ods_a168_bet_limit_default.csv,已扫描,,0,596
ods_a168_bet_No.csv,空表(0字节),,,
ods_a168_bet_partner.csv,已扫描,,0,2
ods_a168_bet01.csv,已扫描,bet05,14808,1397
ods_a168_bet02.csv,已扫描,bet05,7719,1367
ods_a168_betchange_log.csv,已扫描,old_bet05,1096,1110
ods_a168_category.csv,空表(0字节),,,
ods_a168_categoryLevel.csv,空表(0字节),,,
ods_a168_change_log.csv,已扫描,,0,1085
ods_a168_close_tip_list.csv,已扫描,,0,0
ods_a168_control.csv,已扫描,,0,105
ods_a168_control_login.csv,已扫描,,0,276
ods_a168_conversion.csv,已扫描,,0,709
ods_a168_ctl_rto.csv,已扫描,,0,5
ods_a168_currency.csv,已扫描,,0,34
ods_a168_dailyreport.csv,空表(0字节),,,
ods_a168_dailyreport_member.csv,已扫描,bet05,9921,1926
ods_a168_dailyreport_table.csv,已扫描,id,1,3166
ods_a168_dailyreport_usercount.csv,已扫描,bet05,6355,187
ods_a168_dailyreport2.csv,空表(0字节),,,
ods_a168_emp_login.csv,已扫描,,0,26
ods_a168_employee.csv,已扫描,,0,481
