表名,行数,列数,内存占用MB,列数与glimpse一致,语义覆盖率,最高缺失率列,最高缺失率,读取状态
ods_a168_agent.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_agent_bak20250610.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_agent_permissionrole.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_agent_sub.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_agent_test.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_agents_LoginPass.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_aggregate_setting.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_aggregate_token.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_aggregate_transaction.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_aisetting.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_alarmMessage.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_alert_ip_setting.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_alertMessage.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_ban_bet_area.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_bet_limit_default.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_bet_partner.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_betchange_log.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_close_tip_list.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_control.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_conversion.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_currency.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_dailyreport_member.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_dailyreport_table.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_dailyreport_usercount.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_emp_login.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_employee.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_func_counter.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_game_callwebapi.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_game_demoipsetting.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_game_info.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_game_info_verify.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_game_log.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_game_No.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_game_statistics.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_game_tip.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_game_transfer.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_game_type.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_ipblacklist.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_iphistory.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_jackpot.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_keyserver_command.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_log_age_cash_change.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_log_mem_change.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_log_realtimebet.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_member.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_member_click_counter.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_member_dtl.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_member_explosion_setting.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_news.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_odds_default.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_opengame_log.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_partner_gamelist.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_partner_reportTime.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_partner_setting.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_partner_transation.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_partner_transation_log.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_partner_type.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_passiplist.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_payment_bank.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_payment_platform.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_payment_setting.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_payment_type.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_permissions.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_permissionsgroup.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_permissionsPage.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_permissionsPageRoles.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_realtimelog.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_RedPacketSetup.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_RedPacketSetup_setting.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_roles.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_shuffle_gid.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_site.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_SMR_log.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_stream.csv,,,,,,,,失败: 不能用零长度变量名
ods_a168_subagent_permissionrole.csv,,,,,,,,失败: 不能用零长度变量名
