__source_pk,dt,id,gtype,set01,set02,set03,set04,set05,set06,set07,set08,set09,set10,set11,set12,set13,set14,status,sort,source_db,source_table,ods_table_name,sync_time
00411460f7c92d2124a67ea0f4cb5f85,2026-07-23,363,101,"100,300000","100,300000","100,5000","100,5000","100,300000","100,75000","100,5000","100,60000","100,5000","100,10000","0,0","1,3000","0,0","20,5000",1,61,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
01161aaa0b6d1345dd8fe4e481144d84,2026-07-23,236,108,"100000,10000000","100000,10000000","100000,3333333","100000,1000000",,,,,,,,,,,1,31,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
019d385eb67632a7e958e23f24bd07d7,2026-07-23,433,108,"200,100000","200,100000","200,33333","200,10000",,,,,,,,,,,1,43,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
0266e33d3f546cb5436a10798e657d97,2026-07-23,245,107,"500,50000","500,50000","500,12500","500,18500","500,50000","500,50000","500,50000",,,,,,,,1,17,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
0353ab4cbed5beae847a7ff6e220b5cf,2026-07-23,461,101,"10,50000","10,50000","10,6250","10,4550","10,50000","10,12500","10,4550","10,10000","10,4550","10,1666","0,0","1,500","0,0",,1,66,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
04025959b191f8f9de3f924f0940515f,2026-07-23,339,112,"100000,10000000","100000,10000000",,,,,,,,,,,,,1,17,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
0584ce565c824b7b7f50282d9a19945b,2026-07-23,384,107,"2,5000","2,5000","2,2000","2,2500","2,5000","2,5000","2,5000",,,,,,,,1,3,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
0777d5c17d4066b82ab86dff8a46af6f,2026-07-23,163,102,"200,10000","200,10000","200,1250","200,10000","200,10000",,,,,,,,,,1,21,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
084b6fbb10729ed4da8c3d3f5a3ae7c9,2026-07-23,196,105,"10,100000","10,100000","10,20000",,,,,,,,,,,,1,10,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
093f65e080a295f8076b1c5722a46aa2,2026-07-23,59,101,"5,500","5,500","5,100","5,50","5,500","5,125","5,50","5,100","5,50","5,17","0,0","1,5","0,0","1,50",1,4,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
094cc96136319f75f6a7be9c625752c4,2026-07-23,99102,102,"1,100","1,100","1,20","1,100","1,100",,,,,,,,,,0,67,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
0a09c8844ba8f0936c20bd791130d6b6,2026-07-23,144,104,"5,500","5,500","5,250","5,100","5,100","5,70","5,50","5,40","5,30","5,25","5,30","5,10","5,10","4,4",1,4,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
13f3cf8c531952d72e5847c4183e6910,2026-07-23,443,111,"100,20000","100,20000","100,10000","100,2800","100,2500","100,200","100,150",,,,,,,,1,29,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
140f6969d5213fd0ece03148e62e461e,2026-07-23,159,102,"30,1500","30,1500","30,200","30,1500","30,1500",,,,,,,,,,1,14,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
149e9677a5989fd342ae44213df68868,2026-07-23,170,104,"500,30000","500,30000","500,15000","500,6000","500,5000","500,3750","500,2500","500,2150","500,1700","500,1250","500,1000","500,600","500,500","200,200",1,24,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
14bfa6bb14875e45bba028a21ed38046,2026-07-23,69,101,"2000000,200000000","2000000,200000000","2000000,25000000","2000000,19000000","2000000,200000000","2000000,50000000","2000000,19000000","2000000,40000000","2000000,19000000","2000000,6666666","0,0","1,2000000","0,0","200000,19000000",1,56,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
158f3069a435b314a80bdcb024f8e422,2026-07-23,313,108,"700,70000","700,70000","700,25000","700,7000",,,,,,,,,,,1,17,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
1c9ac0159c94d8d0cbedc973445af2da,2026-07-23,156,104,"10,500","10,500","10,250","10,100","10,100","10,100","10,50","10,50","10,50","10,20","10,20","10,10","10,10","5,5",1,8,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
218a0aefd1d1a4be65601cc6ddc1520e,2026-07-23,485,102,"5,2000","5,2000","5,250","5,2000","5,2000",,,,,,,,,,1,6,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
28dd2c7955ce926456240b2ff0100bde,2026-07-23,77,102,"200000,20000000","200000,20000000","200000,2500000","200000,20000000","200000,20000000",,,,,,,,,,1,43,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
2a38a4a9316c49e5a833517c45d31070,2026-07-23,88,103,"100000,10000000","100000,10000000","100000,5000000","100000,2000000","100000,1250000","100000,950000","100000,600000","100000,300000",,,,,,,1,35,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
310dcbbf4cce62f762a2aaa148d556bd,2026-07-23,333,112,"1000,100000","1000,100000",,,,,,,,,,,,,1,12,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
33e8075e9970de0cfea955afd4644bb2,2026-07-23,535,110,"5,75000","5,75000","5,75000","5,7500","5,7500","5,7500","5,7500","5,7500","5,3750","5,2250","5,2250","5,2250","5,1500",,1,41,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
3416a75f4cea9109507cacd8e2f2aefc,2026-07-23,41,102,"50000,1000000","50000,1000000","50000,125000","50000,1000000","50000,1000000",,,,,,,,,,1,39,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
3644a684f98ea8fe223c713b77189a77,2026-07-23,200,101,"10,3000","10,3000","10,400","10,300","10,3000","10,750","10,300","10,600","10,300","10,100","0,0","10,30","0,0","1,300",1,10,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
3b8a614226a953a8cd9526fca6fe9ba5,2026-07-23,215,111,"50000,5000000","50000,5000000","50000,2500000","50000,375000","50000,300000","25000,25000","25000,25000",,,,,,,,1,23,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
3cec07e9ba5f5bb252d13f5f431e4bbb,2026-07-23,247,111,"500,50000","500,50000","500,2500","500,3750","500,3000","250,250","250,250",,,,,,,,1,12,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
3fc685cf33edf02c547abb4eb7dba00f,2026-07-23,99104,104,"1,100","1,100","1,50","1,20","1,20","1,15","1,10","1,10","1,10","1,5","1,5","1,3","1,3","1,2",0,61,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
443cb001c138b2561a0d90720d6ce111,2026-07-23,648,101,"20,200000","20,200000","20,200000","20,200000","20,200000","20,200000","20,200000","20,200000","20,200000","20,200000","0,0","20,2000",,,1,0,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
46ba9f2a6976570b0353203ec4474217,2026-07-23,284,104,"70000,7000000","70000,7000000","70000,3500000","70000,1400000","70000,1200000","70000,900000","70000,600000","70000,500000","70000,400000","70000,300000","70000,250000","70000,140000","70000,120000","50000,50000",1,39,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
49182f81e6a13cf5eaa496d51fea6406,2026-07-23,295,106,"1100,110000","1100,110000","1100,15000","1100,10000","1100,5000",,,,,,,,,,1,21,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
4e732ced3463d06de0ca9a15b6153677,2026-07-23,26,103,"300,30000","300,30000","300,15000","300,6000","300,3750","300,2750","300,1800","300,900",,,,,,,1,19,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
502e4a16930e414107ee22b6198c578f,2026-07-23,258,107,"1000,100000","1000,100000","1000,25000","1000,37000","1000,100000","1000,100000","1000,100000",,,,,,,,1,20,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
53fde96fcc4b4ce72d7739202324cd49,2026-07-23,522,104,"1,10000","1,10000","1,5000","1,2000","1,1700","1,1250","1,850","1,750","1,600","1,450","1,350","1,200","1,200","1,100",1,58,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
5737034557ef5b8c02c0e46513b98f90,2026-07-23,539,113,"5,75000","5,75000","5,12500","5,5000",,,,,,,,,,,1,29,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
577bcc914f9e55d5e4e4f82f9f00e7d4,2026-07-23,302,107,"1100,110000","1100,110000","1100,30000","1100,40000","1100,110000","1100,110000","1100,110000",,,,,,,,1,21,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
5ef0b4eba35ab2d6180b0bca7e46b6f9,2026-07-23,475,103,"5,1000","5,1000","5,500","5,200","5,150","5,100","5,100","5,30",,,,,,,1,6,a168,bet_limit_default,ods_a168_bet_limit_default,2026-07-23 04:05:14
