__source_pk,dt,id,gid,t_number,people,time,source_db,source_table,ods_table_name,sync_time
8547,2021-04-19,8547,101,6,25,2021-04-19 00:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8553,2021-04-19,8553,101,35,14,2021-04-19 00:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8558,2021-04-19,8558,101,103,19,2021-04-19 00:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8564,2021-04-19,8564,101,501,13,2021-04-19 00:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8570,2021-04-19,8570,102,31,31,2021-04-19 00:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8585,2021-04-19,8585,101,7,25,2021-04-19 01:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8591,2021-04-19,8591,101,36,14,2021-04-19 01:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8601,2021-04-19,8601,101,343,25,2021-04-19 01:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8615,2021-04-19,8615,110,1,19,2021-04-19 01:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8622,2021-04-19,8622,101,6,23,2021-04-19 02:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8629,2021-04-19,8629,101,36,20,2021-04-19 02:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8636,2021-04-19,8636,101,108,1,2021-04-19 02:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8643,2021-04-19,8643,101,505,10,2021-04-19 02:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8648,2021-04-19,8648,104,1,55,2021-04-19 02:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8657,2021-04-19,8657,101,2,6,2021-04-19 03:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8660,2021-04-19,8660,101,6,11,2021-04-19 03:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8674,2021-04-19,8674,101,108,4,2021-04-19 03:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8681,2021-04-19,8681,101,505,5,2021-04-19 03:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8695,2021-04-19,8695,101,3,17,2021-04-19 04:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8704,2021-04-19,8704,101,37,9,2021-04-19 04:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8710,2021-04-19,8710,101,108,5,2021-04-19 04:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8727,2021-04-19,8727,110,1,3,2021-04-19 04:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8733,2021-04-19,8733,101,6,12,2021-04-19 05:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8738,2021-04-19,8738,101,35,24,2021-04-19 05:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8746,2021-04-19,8746,101,108,8,2021-04-19 05:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8752,2021-04-19,8752,101,503,10,2021-04-19 05:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8759,2021-04-19,8759,107,1,13,2021-04-19 05:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8765,2021-04-19,8765,101,2,20,2021-04-19 06:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8771,2021-04-19,8771,101,31,7,2021-04-19 06:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8784,2021-04-19,8784,101,342,16,2021-04-19 06:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8790,2021-04-19,8790,101,506,4,2021-04-19 06:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8802,2021-04-19,8802,101,1,10,2021-04-19 07:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8809,2021-04-19,8809,101,31,13,2021-04-19 07:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8816,2021-04-19,8816,101,102,16,2021-04-19 07:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8821,2021-04-19,8821,101,341,20,2021-04-19 07:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8835,2021-04-19,8835,108,1,43,2021-04-19 07:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8840,2021-04-19,8840,101,1,69,2021-04-19 08:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8854,2021-04-19,8854,101,102,9,2021-04-19 08:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8863,2021-04-19,8863,101,502,20,2021-04-19 08:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8868,2021-04-19,8868,102,31,42,2021-04-19 08:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8877,2021-04-19,8877,128,1,1,2021-04-19 08:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8882,2021-04-19,8882,101,6,21,2021-04-19 09:59:02,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8889,2021-04-19,8889,101,36,15,2021-04-19 09:59:02,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8896,2021-04-19,8896,101,108,20,2021-04-19 09:59:02,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8907,2021-04-19,8907,103,1,37,2021-04-19 09:59:02,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8913,2021-04-19,8913,110,1,16,2021-04-19 09:59:02,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8918,2021-04-19,8918,101,3,24,2021-04-19 10:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8924,2021-04-19,8924,101,32,32,2021-04-19 10:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8930,2021-04-19,8930,101,102,28,2021-04-19 10:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8945,2021-04-19,8945,103,1,50,2021-04-19 10:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8951,2021-04-19,8951,110,1,20,2021-04-19 10:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8966,2021-04-19,8966,101,101,40,2021-04-19 14:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8972,2021-04-19,8972,101,341,38,2021-04-19 14:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8979,2021-04-19,8979,101,506,4,2021-04-19 14:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8987,2021-04-19,8987,108,2,96,2021-04-19 14:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8993,2021-04-19,8993,101,3,34,2021-04-19 15:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
8998,2021-04-19,8998,101,31,16,2021-04-19 15:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9004,2021-04-19,9004,101,102,29,2021-04-19 15:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9010,2021-04-19,9010,101,115,6,2021-04-19 15:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9027,2021-04-19,9027,110,1,26,2021-04-19 15:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9033,2021-04-19,9033,101,5,39,2021-04-19 16:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9038,2021-04-19,9038,101,32,35,2021-04-19 16:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9046,2021-04-19,9046,101,106,17,2021-04-19 16:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9052,2021-04-19,9052,101,343,56,2021-04-19 16:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9059,2021-04-19,9059,102,3,46,2021-04-19 16:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9065,2021-04-19,9065,108,1,131,2021-04-19 16:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9071,2021-04-19,9071,101,2,85,2021-04-19 17:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9084,2021-04-19,9084,101,103,28,2021-04-19 17:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9090,2021-04-19,9090,101,342,16,2021-04-19 17:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9101,2021-04-19,9101,105,31,9,2021-04-19 17:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9115,2021-04-19,9115,101,31,4,2021-04-19 18:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9122,2021-04-19,9122,101,103,4,2021-04-19 18:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9129,2021-04-19,9129,101,342,29,2021-04-19 18:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9136,2021-04-19,9136,102,1,39,2021-04-19 18:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9143,2021-04-19,9143,108,1,108,2021-04-19 18:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9148,2021-04-19,9148,101,1,89,2021-04-19 19:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9157,2021-04-19,9157,101,33,7,2021-04-19 19:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9160,2021-04-19,9160,101,37,24,2021-04-19 19:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9174,2021-04-19,9174,101,503,6,2021-04-19 19:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9181,2021-04-19,9181,104,1,115,2021-04-19 19:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9195,2021-04-19,9195,101,8,52,2021-04-19 20:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9205,2021-04-19,9205,101,105,27,2021-04-19 20:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9211,2021-04-19,9211,101,342,26,2021-04-19 20:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9226,2021-04-19,9226,108,2,107,2021-04-19 20:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9232,2021-04-19,9232,101,3,41,2021-04-19 21:59:02,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9239,2021-04-19,9239,101,33,31,2021-04-19 21:59:02,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9247,2021-04-19,9247,101,106,17,2021-04-19 21:59:02,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9253,2021-04-19,9253,101,343,43,2021-04-19 21:59:02,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9258,2021-04-19,9258,101,506,12,2021-04-19 21:59:02,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9264,2021-04-19,9264,105,31,5,2021-04-19 21:59:02,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9270,2021-04-19,9270,128,1,4,2021-04-19 21:59:02,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9285,2021-04-19,9285,101,102,19,2021-04-19 22:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
9291,2021-04-19,9291,101,115,145,2021-04-19 22:59:01,a168,game_statistics,ods_a168_game_statistics,2026-05-22 16:11:39
