__source_pk,dt,roleid,permissionid,status,lastmodifytime,source_db,source_table,ods_table_name,sync_time
512ed941ef5ab88414a782f2caa9748e,2019-11-26,2,30,0,2019-11-26 17:07:24,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
af15f9466037fd86804158571d696405,2019-11-26,2,22,0,2019-11-26 17:07:24,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
b6f5562a13e037ea709efae2f4f72011,2019-11-26,2,57,0,2019-11-26 17:07:24,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
e5cfb3061d5d9b4b39bdf22fa3fcc672,2019-11-26,2,47,0,2019-11-26 17:07:24,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
471c9ca9b26bd068e3b44a49283da61a,2019-07-08,20,44,1,2019-07-08 18:09:24,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
1a9407d4998b09c2943cce047b561b70,2025-03-26,21,71,0,2025-03-26 10:23:12,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
c4e5a74f68044f3d358028dc59372495,2018-05-15,11,20,0,2018-05-15 19:09:27,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
a89d83160de3fa1c6f5f541922171874,2019-01-10,19,30,0,2019-01-10 16:13:54,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
bc946aec42984011bbffb66ad1c331e5,2020-05-14,28,73,0,2020-05-14 18:48:15,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
8721a837a5e82b2f4b3f620b0feeab84,2025-03-12,24,50,1,2025-03-12 10:43:40,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
90eed55b9a68a80f631fb39010970d64,2025-03-12,27,125,1,2025-03-12 10:43:52,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
963f7b63f423220fdf6f24b5c270325c,2025-03-12,24,134,1,2025-03-12 10:43:40,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
99ed66f03a272570ee03daa28996cc83,2025-03-12,27,50,1,2025-03-12 10:43:52,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
bbe3805a85bcebf495e8823aae9fefae,2025-03-12,27,89,1,2025-03-12 10:43:52,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
bce3325380474ab12214f5c635736def,2025-03-12,24,89,1,2025-03-12 10:43:40,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
58c1e8ab3f343fb1c1ff398fef90cd43,2025-04-01,39,80,0,2025-04-01 17:58:59,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
230103459fb63f2824687537ed2a49cb,2016-12-14,4,9,0,2016-12-14 10:41:58,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
7776c4035e80442465e86dc51c8d9792,2017-09-15,1,41,0,2017-09-15 20:46:30,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
f9f6a1d3bcd8b4bbef5b77e5718542b8,2021-06-23,27,96,0,2021-06-23 15:17:35,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
776a01e13f1814b14962291e3b1644c7,2021-01-04,38,42,1,2021-01-04 14:43:59,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
7a8addc4020a0811e40cc9cf37d66278,2024-09-09,1,130,0,2024-09-09 18:01:13,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
166e64b052ca0b2f93e7f27c0f8e5a3a,2025-03-12,24,90,1,2025-03-12 10:43:40,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
379670aa68dc72536488810437767251,2025-03-12,27,43,1,2025-03-12 10:43:52,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
5225e6139dc58189dd720734f34482e3,2025-03-12,27,90,1,2025-03-12 10:43:52,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
7d7a319c3c101aaf3b4be5527f4366a8,2025-03-12,24,12,1,2025-03-12 10:43:40,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
856af36ba26d5188b243b7be4aef43dd,2025-03-12,24,11,1,2025-03-12 10:43:40,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
bc89306b80aa3b0517f0cfd423687df9,2025-03-12,27,80,1,2025-03-12 10:43:52,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
dd192fd3d02105c7fa256213d02974b7,2025-03-12,27,21,1,2025-03-12 10:43:52,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
c2013001274d39fee5c1a016918c743f,2021-03-27,3,11,1,2021-03-27 18:09:14,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
46eb0edac3c5702e02acef4b53f6f5ef,2017-08-28,3,19,0,2017-08-28 17:15:46,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
44d8b8a4335c9c688646e6f090bfeeda,2018-01-17,17,7,0,2018-01-17 18:25:10,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
2de9b66986ec6f708e664da84d964291,2021-01-04,38,34,0,2021-01-04 14:43:59,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
b16a6f39dfbcddfea1a08156576b90a9,2021-01-04,38,50,1,2021-01-04 14:43:59,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
9918dee0e551382f4c6fa6035b8e5b5b,2024-06-22,21,32,0,2024-06-22 15:56:08,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
0445b14f925ebf8aec8e9566f7a4075c,2025-07-31,22,60,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
1f99470374ed069dc3095c3f3051b522,2025-07-31,22,58,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
29f21e865ca0f99d5af3b00dd8bac0bb,2025-07-31,22,97,1,2025-07-31 19:03:21,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
97ad0f12b44c1b1b677dde1decbe48eb,2025-07-31,22,43,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
cc8943fac18615646649e9313cb1a3f2,2025-07-31,22,34,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
ce7866ecee26bda1bc230609c9389f30,2025-07-31,22,61,1,2025-07-31 19:03:21,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
dd96374386fb110c6e1ed70cf1a8cbf6,2025-07-31,22,53,1,2025-07-31 19:03:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
21def2451c000d054cee3489ecd110ff,2019-07-03,15,43,1,2019-07-03 00:13:56,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
44483cafb7cea759770cd39eaa0cc04c,2019-07-03,15,15,1,2019-07-03 00:13:56,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
5fb90d2a2cc677552b8e5ebdad44a9cc,2019-07-03,17,51,1,2019-07-03 00:06:59,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
e8f2b24647b73846168483f42b1c58f7,2019-07-03,14,18,1,2019-07-03 00:13:22,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
eff64c0ba527c1729550440619dcef6f,2019-07-03,16,20,1,2019-07-03 00:06:50,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
312010c3ee3e0ca042940ea79e4ace41,2021-07-30,21,81,0,2021-07-30 22:32:13,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
7e45f0060612f73a94e3e54f2e137238,2021-03-27,3,50,0,2021-03-27 18:09:14,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
da04211fd1f3823154a6959b25da5abd,2021-03-27,3,12,1,2021-03-27 18:09:14,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
0908815e32b5298dc6017bdfc588dbbc,2025-03-10,43,50,1,2025-03-10 19:57:36,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
39a4e957aad2c6cd8e881b3c1a18df5b,2026-05-12,21,61,1,2026-05-12 10:07:31,a168,permissionrole,ods_a168_permissionrole,2026-07-23 06:01:55
