__source_pk,dt,bet01,op,optime,source_db,source_table,ods_table_name,sync_time
2817118486|250|2022-07-19 10:31:23,2022-07-19,2817118486,250,2022-07-19 10:31:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2817124874|250|2022-07-19 10:31:23,2022-07-19,2817124874,250,2022-07-19 10:31:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2817131798|250|2022-07-19 10:31:23,2022-07-19,2817131798,250,2022-07-19 10:31:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2817132557|250|2022-07-19 10:31:23,2022-07-19,2817132557,250,2022-07-19 10:31:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2817148828|250|2022-07-19 10:31:23,2022-07-19,2817148828,250,2022-07-19 10:31:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2818809963|263|2022-07-19 01:03:18,2022-07-19,2818809963,263,2022-07-19 01:03:18,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972330562|249|2022-09-23 13:45:00,2022-09-23,2972330562,249,2022-09-23 13:45:00,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972338768|249|2022-09-23 13:45:00,2022-09-23,2972338768,249,2022-09-23 13:45:00,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972384674|249|2022-09-23 13:45:00,2022-09-23,2972384674,249,2022-09-23 13:45:00,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972419703|249|2022-09-23 13:45:00,2022-09-23,2972419703,249,2022-09-23 13:45:00,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972462387|249|2022-09-23 13:45:00,2022-09-23,2972462387,249,2022-09-23 13:45:00,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972490529|249|2022-09-23 13:45:00,2022-09-23,2972490529,249,2022-09-23 13:45:00,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972498104|249|2022-09-23 13:45:00,2022-09-23,2972498104,249,2022-09-23 13:45:00,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972511664|249|2022-09-23 13:45:00,2022-09-23,2972511664,249,2022-09-23 13:45:00,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972512960|249|2022-09-23 13:45:00,2022-09-23,2972512960,249,2022-09-23 13:45:00,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972543967|249|2022-09-23 13:45:00,2022-09-23,2972543967,249,2022-09-23 13:45:00,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972574056|249|2022-09-23 13:46:16,2022-09-23,2972574056,249,2022-09-23 13:46:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972580206|249|2022-09-23 13:46:16,2022-09-23,2972580206,249,2022-09-23 13:46:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972593056|249|2022-09-23 13:46:16,2022-09-23,2972593056,249,2022-09-23 13:46:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972594984|249|2022-09-23 13:46:16,2022-09-23,2972594984,249,2022-09-23 13:46:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972606148|249|2022-09-23 13:46:16,2022-09-23,2972606148,249,2022-09-23 13:46:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2972613089|249|2022-09-23 13:46:16,2022-09-23,2972613089,249,2022-09-23 13:46:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973029666|249|2022-09-23 13:40:17,2022-09-23,2973029666,249,2022-09-23 13:40:17,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973035747|249|2022-09-23 13:40:17,2022-09-23,2973035747,249,2022-09-23 13:40:17,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973059560|249|2022-09-23 13:40:17,2022-09-23,2973059560,249,2022-09-23 13:40:17,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973064701|249|2022-09-23 13:40:17,2022-09-23,2973064701,249,2022-09-23 13:40:17,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973124670|249|2022-09-23 13:40:17,2022-09-23,2973124670,249,2022-09-23 13:40:17,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973129178|249|2022-09-23 13:40:17,2022-09-23,2973129178,249,2022-09-23 13:40:17,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973163816|249|2022-09-23 13:40:17,2022-09-23,2973163816,249,2022-09-23 13:40:17,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973171306|249|2022-09-23 13:40:17,2022-09-23,2973171306,249,2022-09-23 13:40:17,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973180422|249|2022-09-23 13:40:17,2022-09-23,2973180422,249,2022-09-23 13:40:17,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973202454|249|2022-09-23 13:40:17,2022-09-23,2973202454,249,2022-09-23 13:40:17,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973204842|249|2022-09-23 13:40:17,2022-09-23,2973204842,249,2022-09-23 13:40:17,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973225195|249|2022-09-23 13:42:20,2022-09-23,2973225195,249,2022-09-23 13:42:20,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973273014|249|2022-09-23 13:42:20,2022-09-23,2973273014,249,2022-09-23 13:42:20,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973275674|249|2022-09-23 13:42:20,2022-09-23,2973275674,249,2022-09-23 13:42:20,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973278211|249|2022-09-23 13:42:20,2022-09-23,2973278211,249,2022-09-23 13:42:20,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973280317|249|2022-09-23 13:42:20,2022-09-23,2973280317,249,2022-09-23 13:42:20,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973286175|249|2022-09-23 13:42:20,2022-09-23,2973286175,249,2022-09-23 13:42:20,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973287998|249|2022-09-23 13:42:20,2022-09-23,2973287998,249,2022-09-23 13:42:20,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973296852|249|2022-09-23 13:42:20,2022-09-23,2973296852,249,2022-09-23 13:42:20,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973301495|249|2022-09-23 13:42:20,2022-09-23,2973301495,249,2022-09-23 13:42:20,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973307279|249|2022-09-23 13:42:20,2022-09-23,2973307279,249,2022-09-23 13:42:20,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973310592|249|2022-09-23 13:42:20,2022-09-23,2973310592,249,2022-09-23 13:42:20,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973314095|249|2022-09-23 13:42:20,2022-09-23,2973314095,249,2022-09-23 13:42:20,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2973322515|249|2022-09-23 13:43:19,2022-09-23,2973322515,249,2022-09-23 13:43:19,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3029304696|259|2022-10-19 21:18:14,2022-10-19,3029304696,259,2022-10-19 21:18:14,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3029311844|259|2022-10-19 21:18:14,2022-10-19,3029311844,259,2022-10-19 21:18:14,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3029351580|259|2022-10-19 21:20:04,2022-10-19,3029351580,259,2022-10-19 21:20:04,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3029361169|259|2022-10-19 21:21:38,2022-10-19,3029361169,259,2022-10-19 21:21:38,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3029393045|249|2022-10-19 21:31:36,2022-10-19,3029393045,249,2022-10-19 21:31:36,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3029393249|259|2022-10-19 21:23:13,2022-10-19,3029393249,259,2022-10-19 21:23:13,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3029401067|259|2022-10-19 21:23:13,2022-10-19,3029401067,259,2022-10-19 21:23:13,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3029424822|259|2022-10-19 21:23:13,2022-10-19,3029424822,259,2022-10-19 21:23:13,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3029455013|259|2022-10-19 21:35:24,2022-10-19,3029455013,259,2022-10-19 21:35:24,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3029532658|259|2022-10-19 21:33:23,2022-10-19,3029532658,259,2022-10-19 21:33:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3029540902|259|2022-10-19 21:33:23,2022-10-19,3029540902,259,2022-10-19 21:33:23,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3029551536|249|2022-10-19 21:31:36,2022-10-19,3029551536,249,2022-10-19 21:31:36,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3029590193|259|2022-10-19 21:37:53,2022-10-19,3029590193,259,2022-10-19 21:37:53,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
3029604495|249|2022-10-19 21:17:47,2022-10-19,3029604495,249,2022-10-19 21:17:47,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2829266793|263|2022-07-22 20:14:32,2022-07-22,2829266793,263,2022-07-22 20:14:32,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2829266987|263|2022-07-22 20:25:13,2022-07-22,2829266987,263,2022-07-22 20:25:13,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2829284077|263|2022-07-22 20:25:13,2022-07-22,2829284077,263,2022-07-22 20:25:13,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2829312072|263|2022-07-22 19:54:30,2022-07-22,2829312072,263,2022-07-22 19:54:30,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2829341024|263|2022-07-22 20:25:13,2022-07-22,2829341024,263,2022-07-22 20:25:13,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2829418450|263|2022-07-22 20:25:13,2022-07-22,2829418450,263,2022-07-22 20:25:13,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2830125259|263|2022-07-22 20:25:13,2022-07-22,2830125259,263,2022-07-22 20:25:13,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2830161106|263|2022-07-22 20:25:13,2022-07-22,2830161106,263,2022-07-22 20:25:13,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2830171673|263|2022-07-22 20:14:32,2022-07-22,2830171673,263,2022-07-22 20:14:32,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2830183394|263|2022-07-22 19:54:30,2022-07-22,2830183394,263,2022-07-22 19:54:30,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2830190560|263|2022-07-22 20:25:13,2022-07-22,2830190560,263,2022-07-22 20:25:13,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2830193780|263|2022-07-22 20:25:13,2022-07-22,2830193780,263,2022-07-22 20:25:13,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2830217098|263|2022-07-22 20:25:13,2022-07-22,2830217098,263,2022-07-22 20:25:13,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
