task_name,source_db,source_table,target_table,sync_mode,last_sync_time,last_sync_id,updated_at,last_key1,last_key2,last_key3,last_key4,last_key5
agent,a168,agent,ods_a168_agent,id_increment,1970-01-01 00:00:00,56976,2026-07-22 23:08:31,,,,,
agent_bak20250610,a168,agent_bak20250610,ods_a168_agent_bak20250610,id_increment,1970-01-01 00:00:00,53949,2026-05-19 10:38:18,,,,,
agent_dtl,a168,agent_dtl,ods_a168_agent_dtl,composite_increment,1970-01-01 00:00:00,56976|999,2026-07-22 21:00:36,,,,,
agent_permissionrole,a168,agent_permissionrole,ods_a168_agent_permissionrole,id_increment,1970-01-01 00:00:00,32,2026-05-19 23:14:31,,,,,
alarmMessage,a168,alarmMessage,ods_a168_alarmMessage,id_increment,1970-01-01 00:00:00,1201232,2026-07-23 06:03:10,,,,,
control_login,a168,control_login,ods_a168_control_login,id_increment,1970-01-01 00:00:00,1055,2026-05-21 05:37:36,,,,,
employee,a168,employee,ods_a168_employee,id_increment,1970-01-01 00:00:00,2290,2026-07-04 23:07:44,,,,,
log_age_cash_change,a168,log_age_cash_change,ods_a168_log_age_cash_change,id_increment,1970-01-01 00:00:00,312549939,2026-07-23 05:54:55,,,,,
log_mem_change,a168,log_mem_change,ods_a168_log_mem_change,id_increment,1970-01-01 00:00:00,782944,2026-07-22 23:01:14,,,,,
member_url,a168,member_url,ods_a168_member_url,id_increment,1970-01-01 00:00:00,151263327,2026-06-13 23:14:45,,,,,
partner_gamelist,a168,partner_gamelist,ods_a168_partner_gamelist,id_increment,1970-01-01 00:00:00,501,2026-05-19 10:53:23,,,,,
partner_transation,a168,partner_transation,ods_a168_partner_transation,id_increment,1970-01-01 00:00:00,3099601,2026-07-22 15:21:27,,,,,
permissionrole,a168,permissionrole,ods_a168_permissionrole,time_increment,,fe3bc333283dd77f34f851842f47c595,2026-07-22 22:02:27,,,,,
realtimelog,a168,realtimelog,ods_a168_realtimelog,id_increment,1970-01-01 00:00:00,65882,2026-07-22 23:07:55,,,,,
risklist,a168,risklist,ods_a168_risklist,full_sweep_no_index,2026-07-23 06:03:36,full_sweep_20260723060316,2026-07-23 06:03:36,,,,,
wallet_feedbackerr,a168,wallet_feedbackerr,ods_a168_wallet_feedbackerr,id_increment,1970-01-01 00:00:00,26602965,2026-07-22 23:01:52,,,,,
member_dtl_pk_sweep,a168,member_dtl,ods_a168_member_dtl,primary_key_sweep_no_new_index,1970-01-01 00:00:00,91787228|104,2026-07-23 08:27:07,,,,,
aggregate_token,a168,aggregate_token,ods_a168_aggregate_token,time_increment,2026-03-05 18:09:56,98fd6f256f245c7b0df74f4198748568,2026-05-19 10:41:09,,,,,
bet01,a168,bet01,ods_a168_bet01,id_increment,1970-01-01 00:00:00,5513540342,2026-07-23 05:55:42,,,,,
betchange_log,a168,betchange_log,ods_a168_betchange_log,id_increment,1970-01-01 00:00:00,424551,2026-07-16 23:02:28,,,,,
change_log,a168,change_log,ods_a168_change_log,id_increment,1970-01-01 00:00:00,131694,2026-07-22 23:06:41,,,,,
conversion,a168,conversion,ods_a168_conversion,id_increment,1970-01-01 00:00:00,1792,2026-05-19 23:09:39,,,,,
dailyreport_member,a168,dailyreport_member,ods_a168_dailyreport_member,id_increment,1970-01-01 00:00:00,393749315,2026-07-23 06:02:01,,,,,
func_counter,a168,func_counter,ods_a168_func_counter,time_increment,2026-01-25 00:00:00,7c872fc976ce9db2e7e351f4edea7e2a,2026-05-19 10:40:55,,,,,
game_No,a168,game_No,ods_a168_game_No,id_increment,1970-01-01 00:00:00,4718848,2026-07-22 23:07:18,,,,,
game_log,a168,game_log,ods_a168_game_log,id_increment,1970-01-01 00:00:00,401507699,2026-07-23 05:59:22,,,,,
iphistory,a168,iphistory,ods_a168_iphistory,id_increment,1970-01-01 00:00:00,58733246,2026-07-22 23:02:48,,,,,
jackpot,a168,jackpot,ods_a168_jackpot,id_increment,1970-01-01 00:00:00,1,2026-05-19 10:57:14,,,,,
keyserver_command,a168,keyserver_command,ods_a168_keyserver_command,id_increment,1970-01-01 00:00:00,19048,2026-06-01 23:15:30,,,,,
mem_login,a168,mem_login,ods_a168_mem_login,id_increment,1970-01-01 00:00:00,153357426,2026-07-23 05:58:19,,,,,
member,a168,member,ods_a168_member,id_increment,1970-01-01 00:00:00,153357420,2026-07-23 05:57:52,,,,,
