源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,sub_id,site,sid,this_login,last_login,ip,info,来源库,来源表,ODS表名,同步时间
055e31fa43e652cb4ab6c0ee845c8d36,2021-03-08,5880,0,0885510I2C3F80698A168S5,2021-03-08T10:12:11Z,__STARROCKS_NULL__,3.113.125.45,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
5300ef422e613b74fbf759d293aaab6a,2021-03-08,5886,0,688510I2F4A70714A168S44,2021-03-08T15:02:20Z,__STARROCKS_NULL__,211.23.76.7,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
7ecd070e606afbf07a07c32e7267051f,2021-03-08,5756,0,6510A6F6G60499A168S3572,2021-03-08T17:38:16Z,2021-03-08 10:14:01,27.53.138.21,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
0af854284f4ab0cfea8fcfd889cbb41a,2021-04-16,6113,0,3116310D2A4F90167A168S5,2021-04-16T20:39:56Z,__STARROCKS_NULL__,118.100.126.11,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
9bdb8b1faffa4b3d41779bb495d79fb9,2020-08-31,3529,0,92532S810C7G8D50411A167,2020-08-31T14:25:11Z,2020-08-24 14:44:36,2001:d08:d6:5d1b:48f7:9ca9:4a95:a512,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
0a49e3c3a03ebde64f85c0bacd8a08e2,2020-09-07,3813,0,31833S10G8A5D70143A1686,2020-09-07T11:35:39Z,2020-08-31 09:27:24,36.237.62.68,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
89a4779d3836ea432f7ea074e522a17e,2020-09-07,4049,0,94044S10F3D1H80330A1686,2020-09-07T04:29:28Z,2020-09-07 02:38:42,218.164.169.173,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
e366d105cfd734677897aaccf51e97a3,2020-09-07,4047,0,74045S10I5I1E10484A1686,2020-09-07T14:27:17Z,2020-09-07 11:48:11,182.16.2.42,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
4db0f8b0fc895da263fd77fc8aecabe4,2020-06-23,3095,0,59033S10G3A2A30388A1686,2020-06-23T11:41:02Z,2020-05-18 15:44:21,110.26.97.255,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
7ec3b3cf674f4f1d23e9d30c89426cce,2020-08-18,3731,0,13734S10H8C9B90067A1686,2020-08-18T10:58:44Z,2020-08-17 13:43:27,112.96.112.74,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
c4616f5a24a66668f11ca4fa80525dc4,2020-10-15,4842,0,24841S10H4H9D60388A1686,2020-10-15T14:34:16Z,2020-10-14 14:45:22,61.223.48.237,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
e6cc48e3a8db9b618592a86a57960164,2020-10-15,4844,0,448410F6B8F60060A168S14,2020-10-15T10:46:37Z,2020-10-14 11:00:30,117.20.112.64,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
a0160709701140704575d499c997b6ca,2021-01-01,1099,0,990110G1E4A90602A168S54,2021-01-01T02:12:52Z,2020-12-24 05:47:45,103.55.200.60,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
c7502c55f8db540625b59d9a42638520,2021-03-23,5041,0,14054S810H6G1I90260A167,2021-03-23T16:09:49Z,2021-03-10 23:26:00,27.53.184.96,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
154f596a0e4aec4cf23ee4b76ae3d34a,2021-05-03,6241,0,14265S810F8D9E50250A167,2021-05-03T17:02:45Z,2021-05-01 17:15:37,2401:e180:8832:97c0:3565:6fd9:8180:cb77,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
8f121ce07d74717e0b1f21d122e04521,2021-07-04,268,0,86259A5D7H20424A168S4,2021-07-04T19:49:14Z,2021-06-16 14:45:03,202.172.18.75,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
8fe0093bb30d6f8c31474bd0764e6ac0,2018-06-06,416,0,"",2018-06-06T17:34:45Z,2018-06-06 16:19:15,116.212.151.246,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
c5ab0bc60ac7929182aadd08703f1ec6,2018-09-27,636,0,"",2018-09-27T00:46:16Z,2018-09-26 07:52:58,183.171.68.110,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
299a23a2291e2126b91d54f3601ec162,2019-01-20,1060,0,"",2019-01-20T00:29:24Z,__STARROCKS_NULL__,45.112.46.31,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
fbd7939d674997cdb4692d34de8633c4,2019-06-05,76,0,"",2019-06-05T13:59:52Z,2019-06-05 13:56:38,211.75.195.55,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
1baff70e2669e8376347efd3a874a341,2019-11-06,1489,0,"",2019-11-06T16:49:25Z,__STARROCKS_NULL__,27.247.161.76,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
feab05aa91085b7a8012516bc3533958,2020-03-31,1145,0,54110E3D2C90214A168S513,2020-03-31T10:24:03Z,2020-03-20 14:06:02,103.120.66.92,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
b5b0db7f3a77ca4fcf9eca57aa7181ca,2020-05-14,3517,0,7153510B9I9C50702A168S5,2020-05-14T00:08:11Z,2020-05-14 00:06:06,36.37.140.51,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
dea9ddb25cbf2352cf4dec30222a02a5,2020-05-14,1906,0,609110E4A7A80033A168S24,2020-05-14T14:00:40Z,2020-05-11 13:59:28,1.64.87.45,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
e6af401c28c1790eaef7d55c92ab6ab6,2020-05-14,2874,0,4782410D2C7A10160A168S5,2020-05-14T07:14:50Z,2020-05-14 07:12:24,182.0.205.205,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
5bf8aaef51c6e0d363cbe554acaf3f20,2021-07-21,4125,0,52143S810I5C5A70374A167,2021-07-21T22:37:12Z,2021-02-15 15:44:59,203.67.137.90,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
3501672ebc68a5524629080e3ef60aef,2021-09-27,7113,0,31110I2H3G70750A168S473,2021-09-27T15:56:59Z,2021-09-27 15:55:29,103.138.192.41,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
4206e38996fae4028a26d43b24f68d32,2021-09-27,7134,0,43175S810H3G6F80508A167,2021-09-27T16:51:03Z,__STARROCKS_NULL__,103.138.192.41,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
82d0e1beec7c6f769b97b4420a384716,2021-12-14,7535,0,5357510D5H5E50070A168S5,2021-12-14T16:35:23Z,2021-12-13 19:28:03,103.119.128.7,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
a70145bf8b173e4496b554ce57969e24,2022-02-12,8164,0,46110E7I2G40127A168S383,2022-02-12T23:02:42Z,__STARROCKS_NULL__,113.163.157.75,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
aceacd5df18526f1d96ee1b9714e95eb,2022-03-18,8294,0,49284S10G9H1H40126A1686,2022-03-18T18:26:59Z,2022-03-05 21:11:37,61.56.111.160,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
16738419b15b05e74e1ecb164430bfa8,2022-05-04,3738,0,83710E4H2H60162A168S433,2022-05-04T13:31:02Z,2022-01-27 15:04:04,1.47.154.105,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
749b3dec12dee44c9594af615a9de86b,2022-06-19,8803,0,3010A3D5I90210A168S4882,2022-06-19T21:58:03Z,__STARROCKS_NULL__,223.255.158.194,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
74888d4e8f1b989420edfb5b19659c77,2022-09-17,8987,0,789810F9F9E20327A168S54,2022-09-17T18:16:23Z,__STARROCKS_NULL__,203.96.181.98,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
fa28c6cdf8dd6f41a657c3d7caa5c709,2022-11-04,9300,0,0010H6B3A20189A168S5932,2022-11-04T12:42:55Z,2022-10-17 10:53:41,3.114.20.62,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
499864301513d8852b624ca93a960bcc,2022-12-14,9273,0,37295S10E2H4H90339A1686,2022-12-14T22:16:20Z,2022-10-11 11:10:03,13.114.83.86,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
5747a0021eb349e9c8d3667cf1a5e9ec,2022-12-14,8891,0,19810C5D8C70244A168S383,2022-12-14T08:13:03Z,2022-12-06 10:58:17,107.115.41.89,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
c46489a2d5a9a9ecfc53b17610926ddd,2022-12-14,6682,0,28665S10D2H8H60202A1686,2022-12-14T13:33:56Z,2021-12-29 19:43:32,13.114.83.86,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
e3844e186e6eb8736e9f53c0c5889527,2022-12-14,9411,0,11495S10E5B8B30061A1686,2022-12-14T11:39:00Z,2022-11-14 17:58:20,13.114.83.86,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
79a9887268cef1276b3c9e33cc29580f,2023-04-14,9921,0,1299410H8F4I40025A168S5,2023-04-14T13:51:55Z,2023-03-07 11:08:49,202.186.225.83,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
ebd9629fc3ae5e9f6611e2ee05a31cef,2023-10-11,518,0,8159C7B8B20460A168S53,2023-10-11T18:12:14Z,2018-07-26 20:17:51,192.166.246.20,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
fba9d88164f3e2d9109ee770223212a0,2023-10-11,1002,0,200110H9C7E40139A168S34,2023-10-11T18:19:47Z,__STARROCKS_NULL__,192.166.246.20,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
