源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",第三方遊戲商代號,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,開遊戲代碼or編號,寫單代碼or編號,遊戲類型,"遊戲群組,1.老虎機 2.捕魚機 3.棋牌 4. crash 5. 小遊戲 6. 賓果 99.其他遊戲",是否可試玩,支援裝置-PC,手機裝置,是否維護,"標籤 (熱門,推薦..etc)",狀態,手機版狀態,開關鎖,上架時間,下架時間,順序,試玩網址,系列,系列 (前端用),備註,来源库,来源表,ODS表名,同步时间
854d9fca60b4bd07f9bb215d59ef5561,2026-05-19,489,5031,辛巴达冒险,辛巴達冒險,Adventure of Sinbad,Adventure of Sinbad,Adventure of Sinbad,Adventure of Sinbad,Adventure of Sinbad,Adventure of Sinbad,Adventure of Sinbad,Adventure of Sinbad,adventureofsinbad,adventureofsinbad,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,3,https://d29juml4m9n88c.cloudfront.net/games/slot/adventureofsinbad/?lang=en&curr=usd&hidefps=true&useIFrame=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19T18:53:23Z
cee631121c2ec9232f3a2f028ad5c89b,2026-05-19,500,5031,夏洛克小姐：悬案,夏洛克小姐：懸案,Miss Holmes: Cold Case,Miss Holmes: Cold Case,Miss Holmes: Cold Case,Miss Holmes: Cold Case,Miss Holmes: Cold Case,Miss Holmes: Cold Case,Miss Holmes: Cold Case,Miss Holmes: Cold Case,missholmescoldcase,missholmescoldcase,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,5,https://d29juml4m9n88c.cloudfront.net/games/slot/missholmescoldcase/?lang=en&curr=usd&hidefps=true&useIFrame=true&hideTxID=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19T18:53:23Z
7380ad8a673226ae47fce7bff88e9c33,2026-05-19,497,5031,Dice,Dice,Dice,Dice,Dice,Dice,Dice,Dice,Dice,Dice,dicep,dicep,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,10,https://d29juml4m9n88c.cloudfront.net/games/crash/dicep/?lang=en&curr=usd&useIFrame=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19T18:53:23Z
1be3bc32e6564055d5ca3e5a354acbef,2026-05-19,494,5031,Plinko,Plinko,Plinko,Plinko,Plinko,Plinko,Plinko,Plinko,Plinko,Plinko,plinkop,plinkop,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,7,https://d29juml4m9n88c.cloudfront.net/games/crash/plinkop/?lang=en&curr=usd&useIFrame=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19T18:53:23Z
3cf166c6b73f030b4f67eeaeba301103,2026-05-19,499,5031,足球宝贝,足球寶貝,Goal Line Baby,Goal Line Baby,Goal Line Baby,Goal Line Baby,Goal Line Baby,Goal Line Baby,Goal Line Baby,Goal Line Baby,goallinebaby,goallinebaby,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,5,https://d29juml4m9n88c.cloudfront.net/games/slot/goallinebaby/?lang=en&curr=usd&hidefps=true&useIFrame=true&hideTxID=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19T18:53:23Z
05f971b5ec196b8c65b75d2ef8267331,2026-05-19,498,5031,偶像少女,偶像少女,G-idol,G-idol,G-idol,G-idol,G-idol,G-idol,G-idol,G-idol,gidol,gidol,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,4,https://d29juml4m9n88c.cloudfront.net/games/slot/gidol/?lang=en&curr=usd&hidefps=true&useIFrame=true&hideTxID=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19T18:53:23Z
559cb990c9dffd8675f6bc2186971dc2,2026-05-19,491,5031,色碟黄金轮,色碟黃金輪,Xoc Dia Spin,Xoc Dia Spin,Xoc Dia Spin,Xoc Dia Spin,Xoc Dia Spin,Xoc Dia Spin,Xoc Dia Spin,Xoc Dia Spin,xocdiavideo,xocdiavideo,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,12,https://d29juml4m9n88c.cloudfront.net/games/sicbo/xocdiavideo/?lang=en&curr=usd&useIFrame=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19T18:53:23Z
b534ba68236ba543ae44b22bd110a1d6,2026-05-19,496,5031,Wheel,Wheel,Wheel,Wheel,Wheel,Wheel,Wheel,Wheel,Wheel,Wheel,wheelp,wheelp,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,9,https://d29juml4m9n88c.cloudfront.net/games/crash/wheelp/?lang=en&curr=usd&useIFrame=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19T18:53:23Z
c3c59e5f8b3e9753913f4d435b53c308,2026-05-19,488,5031,甜心女僕,甜心女僕,Neko Maid,Neko Maid,Neko Maid,Neko Maid,Neko Maid,Neko Maid,Neko Maid,Neko Maid,nekomaid,nekomaid,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,2,https://d29juml4m9n88c.cloudfront.net/games/slot/nekomaid/?lang=en&curr=usd&hidefps=true&useIFrame=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19T18:53:23Z
2f55707d4193dc27118a0f19a1985716,2026-05-19,493,5031,BlastX,BlastX,BlastX,BlastX,BlastX,BlastX,BlastX,BlastX,BlastX,BlastX,blastxp,blastxp,電子遊戲,1,Y,Y,Y,N,__STARROCKS_NULL__,1,1,0,__STARROCKS_NULL__,__STARROCKS_NULL__,6,https://d29juml4m9n88c.cloudfront.net/games/crash/blastxp/?lang=en&curr=usd&useIFrame=true,,,,a168,partner_gamelist,ods_a168_partner_gamelist,2026-05-19T18:53:23Z
