player_id,总流水,记录数,平均单笔流水
150048046,36385105325,30,13074058.6866691
148998707,18185978693,33,4951260.19411925
149228785,5685450000,42,2419340.42553191
147754045,4505763620,19,16875519.17603
151093430,3780570000,23,1332594.28974269
69064280,3336635041,34,649656.355334891
150478376,3177255084,30,4995684.09433962
149213200,3127549130,42,9593708.98773006
109001057,1912663090,38,432240.246327684
150314801,1847200000,10,11195151.5151515
112318407,1774131054,43,1018444.92192882
141232822,1745900000,29,4558485.63968668
149857328,1492408560,7,39273909.4736842
146710669,1443300000,29,6590410.95890411
152929840,1364802000,24,3822974.78991597
152631074,1236500000,25,908523.14474651
146660352,1161590000,38,2833146.34146341
152771123,1123524973,14,14044062.1625
136321677,1010400000,19,2830252.10084034
142367268,960224483,52,233347.383475091
148997934,955600000,15,2365346.53465347
152332228,945480000,38,439553.69595537
151568716,935124204,14,579742.221946683
112564592,879668478,38,342550.030373832
149945242,825750000,25,2464925.37313433
150853006,752950000,21,1061988.71650212
149213922,705424128,15,4077596.11560694
7026882,7.01e+08,21,1363813.22957198
69796682,695585205,19,458829.290897098
145509218,6.95e+08,9,9788732.3943662
97561852,693658439,10,453668.04381949
96833004,674716666,29,366096.943027672
131382204,668445412,46,381968.806857143
132423597,661404925,30,482425.182348651
150706598,639912500,21,1772610.8033241
149447377,631321916,14,2922786.64814815
145452422,628976797,31,397834.786211259
152055927,627637550,32,387669.888820259
132180245,615846406,34,848273.286501378
136206761,611628500,48,890288.937409025
139601884,577400000,6,7308860.75949367
105023440,562975180,15,2680834.19047619
133944868,558433823,17,1676978.44744745
150756610,557059900,7,8314326.86567164
145425581,530300000,5,4956074.76635514
125783090,502618919,41,176295.657313223
145672341,477200000,23,2397989.94974874
50661677,436887689,33,466760.351495727
151891031,4.24e+08,32,883333.333333333
119622273,420925991,5,584619.431944445
