module_id,csv_name,e_dedup,e_testline,q_dedup,q_testline,uses_bet02,need_fix_e,need_fix_q
001,?,N,N,N,N,Y,YES,YES
002,B01_bt_panel.csv,N,N,Y,Y,Y,YES,
003,B01_bt_panel_delta.csv,N,N,Y,Y,Y,YES,
004,B4_2b_funnel_and_mu0.csv,N,N,Y,Y,Y,YES,
005,B4_5b_tip_nature.csv,N,N,N,N,Y,YES,YES
006,B_online_base.csv,N,N,Y,Y,Y,YES,
007,C01_ip_chain.csv,N,N,Y,Y,Y,YES,
008,C06_hedge_pairs.csv,N,N,Y,Y,Y,YES,
009,C06d_hedge_pairs_dated.csv,N,N,Y,Y,Y,YES,
010,C08_subnet_all.csv,N,N,Y,Y,Y,YES,
011,C08_subnet_sparse.csv,N,N,Y,Y,Y,YES,
012,D03S_daily_roi_diff.csv,N,N,Y,Y,Y,YES,
013,DICT_01a_bet41_tri.csv,N,N,N,N,Y,YES,YES
014,DICT_01b_roundkey_card.csv,N,N,N,N,Y,YES,YES
015,DICT_01c_dimension.csv,N,N,N,N,Y,YES,YES
016,DICT_01d_bet_latency.csv,N,N,N,N,Y,YES,YES
017,DX04_bet09_profile.csv,N,N,Y,N,Y,YES,YES
018,DX05_product_panorama.csv,N,N,Y,Y,Y,YES,
019,E02_segment_econ.csv,N,N,N,N,Y,YES,YES
020,EV01_disposal_events.csv,N,N,N,N,Y,YES,YES
021,EV02_member_disposal.csv,N,N,N,N,Y,YES,YES
022,I_ip_agg.csv,N,N,Y,Y,Y,YES,
023,I_ip_player.csv,N,N,Y,Y,Y,YES,
024,K01_risk_feature_matrix.csv,N,N,Y,Y,Y,YES,
025,K01b_seed_goldip.csv,N,N,N,N,Y,YES,YES
026,K01b_seed_manual.csv,N,N,N,N,Y,YES,YES
027,K01c_seed_dated.csv,N,N,N,N,Y,YES,YES
028,L_label_dist.csv,N,N,N,N,Y,YES,YES
029,P01A_crosstab.csv,N,N,N,N,Y,YES,YES
030,P01B_diff_ratio.csv,N,N,N,N,Y,YES,YES
031,P01C_split_by_dim.csv,N,N,N,N,Y,YES,YES
032,P01D_vs_validbet.csv,N,N,N,N,Y,YES,YES
033,P01E_identity_test.csv,N,N,N,N,Y,YES,YES
034,P02A_lmc_samples.csv,N,N,N,N,Y,YES,YES
035,P02B_changestatus_patterns.csv,N,N,N,N,Y,YES,YES
036,P02C_key_check.csv,N,N,N,N,Y,YES,YES
037,P02D_events_in_window.csv,N,N,N,N,Y,YES,YES
038,P0C02_标签口径.csv,N,N,N,N,Y,YES,YES
039,P0C03_标记次数分布.csv,N,N,N,N,Y,YES,YES
040,P0C04_同日泄漏检验.csv,N,N,N,N,Y,YES,YES
041,P0C05_标记时点定位.csv,N,N,N,N,Y,YES,YES
042,P0C06_LabelB骨架.csv,N,N,N,N,Y,YES,YES
043,P0C09_安慰剂检验.csv,N,N,N,N,Y,YES,YES
044,P11_阿泽尾段投注总帐.csv,N,N,Y,Y,Y,YES,
045,P11_阿泽尾段投注模型会员名单.csv,N,N,Y,Y,Y,YES,
046,P11_雷欧尾段投注总帐.csv,N,N,Y,Y,Y,YES,
047,P12a_platform_daily.csv,N,N,Y,Y,Y,YES,
048,P12b_member_events.csv,N,N,Y,Y,Y,YES,
049,P12c_member_daily_pnl.csv,N,N,Y,Y,Y,YES,
050,P13_personal_entry.csv,N,N,Y,Y,Y,YES,
051,PH0_8r1_rg_case.csv,N,N,N,N,Y,YES,YES
052,PH0_8r2_rg_crosstable.csv,N,N,N,N,Y,YES,YES
053,PI01_treatment_delta_member.csv,N,N,Y,Y,Y,YES,
054,PI02_treatment_delta_platform.csv,N,N,Y,Y,Y,YES,
055,PI03_reinvest_loop.csv,N,N,Y,Y,Y,YES,
056,PI04_member_5d_profile.csv,N,N,Y,Y,Y,YES,
057,P_player_month.csv,N,N,Y,Y,Y,YES,
058,QSB_01a_category_census.csv,N,N,N,N,Y,YES,YES
059,QSB_01c_cat1_contamination.csv,N,N,N,N,Y,YES,YES
060,QSB_02a_lowcard_fields.csv,N,N,N,N,Y,YES,YES
061,QSB_02b2_lowcard_five_gates.csv,N,N,N,N,Y,YES,YES
062,QSB_02b_state_cross.csv,N,N,N,N,Y,YES,YES
063,QSB_02c_push_by_family.csv,N,N,N,N,Y,YES,YES
064,R01_late_shoe.csv,N,N,Y,Y,Y,YES,
065,R01_late_shoe_w2.csv,N,N,Y,Y,Y,YES,
066,R01anm_shoe_anomaly.csv,N,N,Y,Y,Y,YES,
067,R01chk_shoe_len_by_table.csv,N,N,Y,Y,Y,YES,
068,R01inv_shoe_len_census.csv,N,N,Y,Y,Y,YES,
069,R02_same_table.csv,N,N,N,N,Y,YES,YES
070,R03_player_dealer.csv,N,N,Y,N,Y,YES,YES
071,R03b_player_dealer_daily.csv,N,N,Y,N,Y,YES,YES
072,R03chk_settlement_form.csv,N,N,Y,N,Y,YES,YES
073,R03inv_pair_census.csv,N,N,Y,N,Y,YES,YES
074,R_rebate_dist.csv,N,N,N,N,Y,YES,YES
075,S01_player_score.csv,N,N,Y,Y,Y,YES,
076,S02_dealer_score.csv,N,N,Y,Y,Y,YES,
077,S02b_dealer_pace.csv,N,N,Y,Y,Y,YES,
078,S03_agent_score.csv,N,N,Y,Y,Y,YES,
079,S04_analyst_score.csv,N,N,N,N,Y,YES,YES
080,S05_member_month_panel.csv,N,N,Y,Y,Y,YES,
081,S_player_tail.csv,N,N,Y,Y,Y,YES,
082,S_second_dist.csv,N,N,Y,Y,Y,YES,
083,T02_daily_roi.csv,N,N,Y,Y,Y,YES,
084,T03_arbitrage.csv,N,N,Y,Y,Y,YES,
085,TL00_table_inventory.csv,N,N,N,N,Y,YES,YES
086,TL02_config_change.csv,N,N,N,N,Y,YES,YES
087,TL03_pseudo_treatment.csv,N,N,N,N,Y,YES,YES
088,TL03b_pseudo_treatment.csv,N,N,N,N,Y,YES,YES
089,TL04_log_schema.csv,N,N,N,N,Y,YES,YES
090,TL06_log_mem_change.csv,N,N,N,N,Y,YES,YES
091,TL07_mem_change_shape.csv,N,N,N,N,Y,YES,YES
092,TL08_treatment_events.csv,N,N,N,N,Y,YES,YES
093,TL09_member_schema.csv,N,N,N,N,Y,YES,YES
094,TL10_treatment_ledger.csv,N,N,N,N,Y,YES,YES
095,TL11_treatment_episode.csv,N,N,Y,N,Y,YES,YES
096,TL11c_population_reconcile.csv,N,N,N,N,Y,YES,YES
097,TL14_limit_treatment.csv,N,N,N,N,Y,YES,YES
098,T_table_span.csv,N,N,N,N,Y,YES,YES
099,VB_00_validbet_contract.csv,N,N,N,N,Y,YES,YES
100,VB_00b_zero_five_rates.csv,N,N,Y,Y,Y,YES,
101,VB_41_identity_global.csv,N,N,N,N,Y,YES,YES
102,VB_41b_identity_strata.csv,N,N,N,N,Y,YES,YES
103,VB_41b_identity_strata_v18b.csv,N,N,N,N,Y,YES,YES
104,VB_41c1_964_detail.csv,N,N,N,N,Y,YES,YES
105,VB_41c2_concentration.csv,N,N,N,N,Y,YES,YES
106,VB_41c2_concentration_v2.csv,N,N,N,N,Y,YES,YES
107,V_ipmatch.csv,N,N,N,N,Y,YES,YES
108,V_recon.csv,N,N,Y,Y,Y,YES,
109,V_table_counts.csv,N,N,N,N,Y,YES,YES
110,X_combo.csv,N,N,Y,Y,Y,YES,
111,Z01_table_inventory.csv,N,N,N,N,Y,YES,YES
112,Z02_excluded_tables.csv,N,N,N,N,Y,YES,YES
113,Z03_column_dictionary.csv,N,N,N,N,Y,YES,YES
114,Z04_name_collision.csv,N,N,N,N,Y,YES,YES
115,Z05_missing_typehint.csv,N,N,N,N,Y,YES,YES
116,Z06_generated_probe_sql.csv,N,N,N,N,Y,YES,YES
117,Z07_probe_bet02.csv,N,N,N,N,Y,YES,YES
118,Z08_roundkey_integrity.csv,N,N,N,N,Y,YES,YES
119,Z09_time_axis_recon.csv,N,N,N,N,Y,YES,YES
120,Z11_sentinel_impact.csv,N,N,N,N,Y,YES,YES
121,Z14_zero_month_diagnosis.csv,N,N,Y,Y,Y,YES,
122,_P12b-pre.csv,N,N,N,N,Y,YES,YES
123,_PH0_1b_table_inventory.csv,N,N,N,N,Y,YES,YES
124,_PH0_2b_column_inventory.csv,N,N,N,N,Y,YES,YES
125,_PH0_3_lmc_category.csv,N,N,N,N,Y,YES,YES
126,_PH0_4L1_member_columns.csv,N,N,N,N,Y,YES,YES
127,_PH0_4b_rg_keyword.csv,N,N,N,N,Y,YES,YES
128,_PH0_4w2_balance_points.csv,N,N,N,N,Y,YES,YES
129,_PH0_6b_member_daily.csv,N,N,N,N,Y,YES,YES
