件号,件名,测试线JOIN总数,e侧,q侧,bet18,bet19,bet20,bet21,bet22,q侧有剔除,q侧五级齐全
#001,A_anchor.csv,5,5,0,1,1,1,1,1,N,N/A
#002,B01_bt_panel.csv,10,5,5,2,2,2,2,2,Y,Y
#003,B01_bt_panel_delta.csv,10,5,5,2,2,2,2,2,Y,Y
#004,B4_2b_funnel_and_mu0.csv,10,5,5,2,2,2,2,2,Y,Y
#005,B4_5b_tip_nature.csv,5,5,0,1,1,1,1,1,N,N/A
#006,B_online_base.csv,10,5,5,2,2,2,2,2,Y,Y
#007,C01_ip_chain.csv,10,5,5,2,2,2,2,2,Y,Y
#008,C06_hedge_pairs.csv,10,5,5,2,2,2,2,2,Y,Y
#009,C06d_hedge_pairs_dated.csv,10,5,5,2,2,2,2,2,Y,Y
#010,C08_subnet_all.csv,10,5,5,2,2,2,2,2,Y,Y
#011,C08_subnet_sparse.csv,10,5,5,2,2,2,2,2,Y,Y
#012,D03S_daily_roi_diff.csv,10,5,5,2,2,2,2,2,Y,Y
#013,DICT_01a_bet41_tri.csv,5,5,0,1,1,1,1,1,N,N/A
#014,DICT_01b_roundkey_card.csv,5,5,0,1,1,1,1,1,N,N/A
#015,DICT_01c_dimension.csv,5,5,0,1,1,1,1,1,N,N/A
#016,DICT_01d_bet_latency.csv,5,5,0,1,1,1,1,1,N,N/A
#017,DX04_bet09_profile.csv,5,5,0,1,1,1,1,1,N,N/A
#018,DX05_product_panorama.csv,10,5,5,2,2,2,2,2,Y,Y
#019,E02_segment_econ.csv,5,5,0,1,1,1,1,1,N,N/A
#020,EV01_disposal_events.csv,5,5,0,1,1,1,1,1,N,N/A
#021,EV02_member_disposal.csv,5,5,0,1,1,1,1,1,N,N/A
#022,I_ip_agg.csv,10,5,5,2,2,2,2,2,Y,Y
#023,I_ip_player.csv,10,5,5,2,2,2,2,2,Y,Y
#024,K01_risk_feature_matrix.csv,10,5,5,2,2,2,2,2,Y,Y
#025,K01b_seed_goldip.csv,5,5,0,1,1,1,1,1,N,N/A
#026,K01b_seed_manual.csv,5,5,0,1,1,1,1,1,N,N/A
#027,K01c_seed_dated.csv,5,5,0,1,1,1,1,1,N,N/A
#028,L_label_dist.csv,5,5,0,1,1,1,1,1,N,N/A
#029,P01A_crosstab.csv,5,5,0,1,1,1,1,1,N,N/A
#030,P01B_diff_ratio.csv,5,5,0,1,1,1,1,1,N,N/A
#031,P01C_split_by_dim.csv,5,5,0,1,1,1,1,1,N,N/A
#032,P01D_vs_validbet.csv,5,5,0,1,1,1,1,1,N,N/A
#033,P01E_identity_test.csv,5,5,0,1,1,1,1,1,N,N/A
#034,P02A_lmc_samples.csv,5,5,0,1,1,1,1,1,N,N/A
#035,P02B_changestatus_patterns.csv,5,5,0,1,1,1,1,1,N,N/A
#036,P02C_key_check.csv,5,5,0,1,1,1,1,1,N,N/A
#037,P02D_events_in_window.csv,5,5,0,1,1,1,1,1,N,N/A
#038,P0C02_标签口径.csv,5,5,0,1,1,1,1,1,N,N/A
#039,P0C03_标记次数分布.csv,5,5,0,1,1,1,1,1,N,N/A
#040,P0C04_同日泄漏检验.csv,5,5,0,1,1,1,1,1,N,N/A
#041,P0C05_标记时点定位.csv,5,5,0,1,1,1,1,1,N,N/A
#042,P0C06_LabelB骨架.csv,5,5,0,1,1,1,1,1,N,N/A
#043,P0C09_安慰剂检验.csv,5,5,0,1,1,1,1,1,N,N/A
#044,P11_阿泽尾段投注总帐.csv,10,5,5,2,2,2,2,2,Y,Y
#045,P11_阿泽尾段投注模型会员名单.csv,10,5,5,2,2,2,2,2,Y,Y
#046,P11_雷欧尾段投注总帐.csv,10,5,5,2,2,2,2,2,Y,Y
#047,P12a_platform_daily.csv,10,5,5,2,2,2,2,2,Y,Y
#048,P12b_member_events.csv,10,5,5,2,2,2,2,2,Y,Y
#049,P12c_member_daily_pnl.csv,10,5,5,2,2,2,2,2,Y,Y
#050,P13_personal_entry.csv,10,5,5,2,2,2,2,2,Y,Y
#051,PH0_8r1_rg_case.csv,5,5,0,1,1,1,1,1,N,N/A
#052,PH0_8r2_rg_crosstable.csv,5,5,0,1,1,1,1,1,N,N/A
#053,PI01_treatment_delta_member.csv,10,5,5,2,2,2,2,2,Y,Y
#054,PI02_treatment_delta_platform.csv,10,5,5,2,2,2,2,2,Y,Y
#055,PI03_reinvest_loop.csv,10,5,5,2,2,2,2,2,Y,Y
#056,PI04_member_5d_profile.csv,10,5,5,2,2,2,2,2,Y,Y
#057,P_player_month.csv,10,5,5,2,2,2,2,2,Y,Y
#058,QSB_01a_category_census.csv,5,5,0,1,1,1,1,1,N,N/A
#059,QSB_01c_cat1_contamination.csv,5,5,0,1,1,1,1,1,N,N/A
#060,QSB_02a_lowcard_fields.csv,5,5,0,1,1,1,1,1,N,N/A
#061,QSB_02b2_lowcard_five_gates.csv,5,5,0,1,1,1,1,1,N,N/A
#062,QSB_02b_state_cross.csv,5,5,0,1,1,1,1,1,N,N/A
#063,QSB_02c_push_by_family.csv,5,5,0,1,1,1,1,1,N,N/A
#064,R01_late_shoe.csv,10,5,5,2,2,2,2,2,Y,Y
#065,R01_late_shoe_w2.csv,10,5,5,2,2,2,2,2,Y,Y
#066,R01anm_shoe_anomaly.csv,10,5,5,2,2,2,2,2,Y,Y
#067,R01chk_shoe_len_by_table.csv,10,5,5,2,2,2,2,2,Y,Y
#068,R01inv_shoe_len_census.csv,10,5,5,2,2,2,2,2,Y,Y
#069,R02_same_table.csv,5,5,0,1,1,1,1,1,N,N/A
#070,R03_player_dealer.csv,5,5,0,1,1,1,1,1,N,N/A
#071,R03b_player_dealer_daily.csv,5,5,0,1,1,1,1,1,N,N/A
#072,R03chk_settlement_form.csv,5,5,0,1,1,1,1,1,N,N/A
#073,R03inv_pair_census.csv,5,5,0,1,1,1,1,1,N,N/A
#074,R_rebate_dist.csv,5,5,0,1,1,1,1,1,N,N/A
#075,S01_player_score.csv,10,5,5,2,2,2,2,2,Y,Y
#076,S02_dealer_score.csv,10,5,5,2,2,2,2,2,Y,Y
#077,S02b_dealer_pace.csv,10,5,5,2,2,2,2,2,Y,Y
#078,S03_agent_score.csv,5,0,5,1,1,1,1,1,Y,N
#079,S04_analyst_score.csv,5,5,0,1,1,1,1,1,N,N/A
#080,S05_member_month_panel.csv,10,5,5,2,2,2,2,2,Y,Y
#081,S_player_tail.csv,10,5,5,2,2,2,2,2,Y,Y
#082,S_second_dist.csv,10,5,5,2,2,2,2,2,Y,Y
#083,T02_daily_roi.csv,10,5,5,2,2,2,2,2,Y,Y
#084,T03_arbitrage.csv,10,5,5,2,2,2,2,2,Y,Y
#085,TL00_table_inventory.csv,5,5,0,1,1,1,1,1,N,N/A
#086,TL02_config_change.csv,5,5,0,1,1,1,1,1,N,N/A
#087,TL03_pseudo_treatment.csv,5,5,0,1,1,1,1,1,N,N/A
#088,TL03b_pseudo_treatment.csv,5,5,0,1,1,1,1,1,N,N/A
#089,TL04_log_schema.csv,5,5,0,1,1,1,1,1,N,N/A
#090,TL06_log_mem_change.csv,5,5,0,1,1,1,1,1,N,N/A
