件号,CSV文件名,旧行数(有则为对账锚),旧批数,旧CSV_MD5,备注
001,A_anchor.csv,,,,
002,B01_bt_panel.csv,,,,★封锁·最后议·BE事故根因
003,B01_bt_panel_delta.csv,,,,
004,B4_2b_funnel_and_mu0.csv,,,,
005,B4_5b_tip_nature.csv,,,,
006,B_online_base.csv,,,,
007,C01_ip_chain.csv,6752,1,40af3ccd25666e0564f26827f31f390f,"旧行数 6,752"
008,C06_hedge_pairs.csv,,,,
009,C06d_hedge_pairs_dated.csv,,,,
010,C08_subnet_all.csv,45907,1,12d65bf711ee5b7fb1b41b7b9ce3bf7d,"旧行数 45,907"
011,C08_subnet_sparse.csv,38733,1,7d28c07eea43e8d1ab95852bb48a2e1c,"旧行数 38,733"
012,D03S_daily_roi_diff.csv,,,,
013,DICT_01a_bet41_tri.csv,,,,
014,DICT_01b_roundkey_card.csv,,,,
015,DICT_01c_dimension.csv,,,,
016,DICT_01d_bet_latency.csv,,,,
017,DX04_bet09_profile.csv,,,,
018,DX05_product_panorama.csv,,,,
019,E02_segment_econ.csv,,,,
020,EV01_disposal_events.csv,,,,
021,EV02_member_disposal.csv,,,,
022,I_ip_agg.csv,,,,
023,I_ip_player.csv,696403,7,9496bfbe9f4c4346ff478eda6bc8854e,"旧行数 696,403"
024,K01_risk_feature_matrix.csv,,,,
025,K01b_seed_goldip.csv,,,,
026,K01b_seed_manual.csv,,,,
027,K01c_seed_dated.csv,,,,
028,L_label_dist.csv,,,,
029,P01A_crosstab.csv,,,,
030,P01B_diff_ratio.csv,,,,
031,P01C_split_by_dim.csv,,,,
032,P01D_vs_validbet.csv,,,,
033,P01E_identity_test.csv,,,,
034,P02A_lmc_samples.csv,,,,
035,P02B_changestatus_patterns.csv,,,,
036,P02C_key_check.csv,,,,
037,P02D_events_in_window.csv,,,,
038,P0C02_标签口径.csv,,,,
039,P0C03_标记次数分布.csv,,,,
040,P0C04_同日泄漏检验.csv,,,,
041,P0C05_标记时点定位.csv,,,,
042,P0C06_LabelB骨架.csv,,,,
043,P0C09_安慰剂检验.csv,,,,
044,P11_阿泽尾段投注总帐.csv,,,,
045,P11_阿泽尾段投注模型会员名单.csv,,,,
046,P11_雷欧尾段投注总帐.csv,,,,
047,P12a_platform_daily.csv,,,,
048,P12b_member_events.csv,,,,
049,P12c_member_daily_pnl.csv,,,,
050,P13_personal_entry.csv,,,,
051,PH0_8r1_rg_case.csv,,,,
052,PH0_8r2_rg_crosstable.csv,,,,
053,PI01_treatment_delta_member.csv,,,,
054,PI02_treatment_delta_platform.csv,,,,
055,PI03_reinvest_loop.csv,,,,
056,PI04_member_5d_profile.csv,,,,
057,P_player_month.csv,,,,
058,QSB_01a_category_census.csv,,,,
059,QSB_01c_cat1_contamination.csv,,,,
060,QSB_02a_lowcard_fields.csv,,,,
061,QSB_02b2_lowcard_five_gates.csv,,,,
062,QSB_02b_state_cross.csv,,,,
063,QSB_02c_push_by_family.csv,,,,
064,R01_late_shoe.csv,,,,
065,R01_late_shoe_w2.csv,,,,
066,R01anm_shoe_anomaly.csv,,,,
067,R01chk_shoe_len_by_table.csv,,,,
068,R01inv_shoe_len_census.csv,,,,
069,R02_same_table.csv,,,,
070,R03_player_dealer.csv,,,,
071,R03b_player_dealer_daily.csv,,,,
072,R03chk_settlement_form.csv,,,,
073,R03inv_pair_census.csv,,,,
074,R_rebate_dist.csv,,,,
075,S01_player_score.csv,161156,2,fa0ac8affc40a9261d5a7c87dd709345,"旧行数 161,156"
076,S02_dealer_score.csv,,,,
077,S02b_dealer_pace.csv,,,,
078,S03_agent_score.csv,,,,代理台账·已五级·无六层块
079,S04_analyst_score.csv,,,,
080,S05_member_month_panel.csv,278729,3,a5503c620b0f500bd0c7cc942b3b5437,"旧行数 278,729"
081,S_player_tail.csv,,,,
082,S_second_dist.csv,,,,
083,T02_daily_roi.csv,,,,
084,T03_arbitrage.csv,,,,
085,TL00_table_inventory.csv,,,,
086,TL02_config_change.csv,,,,
087,TL03_pseudo_treatment.csv,,,,
088,TL03b_pseudo_treatment.csv,,,,
089,TL04_log_schema.csv,,,,
090,TL06_log_mem_change.csv,,,,
091,TL07_mem_change_shape.csv,,,,
092,TL08_treatment_events.csv,,,,
093,TL09_member_schema.csv,,,,
094,TL10_treatment_ledger.csv,,,,
095,TL11_treatment_episode.csv,,,,
096,TL11c_population_reconcile.csv,,,,
097,TL14_limit_treatment.csv,,,,
098,T_table_span.csv,,,,
099,VB_00_validbet_contract.csv,,,,
100,VB_00b_zero_five_rates.csv,,,,
101,VB_41_identity_global.csv,,,,
102,VB_41b_identity_strata.csv,,,,
103,VB_41b_identity_strata_v18b.csv,,,,
104,VB_41c1_964_detail.csv,,,,
105,VB_41c2_concentration.csv,,,,
106,VB_41c2_concentration_v2.csv,,,,
107,V_ipmatch.csv,,,,
108,V_recon.csv,,,,
109,V_table_counts.csv,,,,
110,X_combo.csv,,,,
111,Z01_table_inventory.csv,,,,
112,Z02_excluded_tables.csv,,,,
113,Z03_column_dictionary.csv,,,,
114,Z04_name_collision.csv,,,,
115,Z05_missing_typehint.csv,,,,
116,Z06_generated_probe_sql.csv,,,,LIMIT 20 样本件·非全量
117,Z07_probe_bet02.csv,,,,
118,Z08_roundkey_integrity.csv,,,,
119,Z09_time_axis_recon.csv,,,,
120,Z11_sentinel_impact.csv,,,,
121,Z14_zero_month_diagnosis.csv,,,,
122,_P12b-pre.csv,,,,LIMIT 20 样本件·非全量
123,_PH0_1b_table_inventory.csv,,,,
124,_PH0_2b_column_inventory.csv,,,,
125,_PH0_3_lmc_category.csv,,,,
126,_PH0_4L1_member_columns.csv,,,,
127,_PH0_4b_rg_keyword.csv,,,,
128,_PH0_4w2_balance_points.csv,,,,
129,_PH0_6b_member_daily.csv,,,,
