IP,承载会员数,订单数,活跃天数,投注金额,游戏盈利,净盈利,订单占全量比,投注额占全量比,入选门槛_承载会员数P999
138.84.109.251,2132,4520,8,20035.34356847398,-695.3596235965709,-695.3596235965708,3.4860471080188945e-05,1.441130592623656e-06,44
14.166.116.151,892,1919,11,98631.73245784148,191.18532485919854,191.18532485919798,1.480027522187668e-05,7.0945230643376166e-06,44
14.165.175.200,428,582,6,22287.26273341381,-468.71548557778715,-468.7154855777875,4.488671276254418e-06,1.6031098264520621e-06,44
104.28.166.51,382,8033,131,2566014.4250242207,-40271.96504731481,-40271.13746110791,6.19544611033535e-05,0.000184571922930976,44
104.28.166.50,379,6153,130,2437781.561139731,-84855.88025261971,-84834.86016842313,4.745497313194748e-05,0.00017534820772528966,44
104.28.166.48,342,7231,129,1051371.4863136036,-56498.64995799917,-56497.71202696469,5.57690412347005e-05,7.562453860401366e-05,44
120.29.76.12,337,710,15,41593.871509367265,-1054.9774655355245,-1054.9774655355243,5.475870457286317e-06,2.991822949925696e-06,44
104.28.166.47,331,6284,135,2159881.435264826,144724.23775013903,144725.22420348198,4.8465309793784814e-05,0.0001553590135433406,44
104.28.166.49,309,6011,135,2143742.498396489,-87206.01903409653,-87200.83491762973,4.6359799040490215e-05,0.00015419814921506525,44
104.28.157.198,304,6580,135,696065.6702489336,-36582.05793405175,-36557.365082740784,5.074820789992108e-05,5.006759821425074e-05,44
123.25.95.146,287,806,3,577198.6493207341,-3121.966861241266,-3121.966861241266,6.216269843060242e-06,4.151756263696155e-05,44
42.112.175.81,272,605,2,53307.3011260443,-2165.741269264698,-2165.741269264698,4.666058629096087e-06,3.834363119374011e-06,44
104.28.157.199,264,5039,126,3042578.72680629,83556.13223371578,83559.26138307885,3.886325525952923e-05,0.0002188509155673265,44
104.28.157.197,258,3947,122,827186.406302689,-100389.26793635049,-100369.01966048841,3.0441212246350834e-05,5.9499036382934514e-05,44
112.199.97.106,248,3276,119,30059.52682944513,-454.4121767599585,-454.4121767599585,2.5266129039535176e-05,2.1621642556641444e-06,44
14.249.176.117,233,3322,15,69295.86681674219,-923.1866607334508,-923.1866607334496,2.5620903745218515e-05,4.984411336430499e-06,44
14.166.33.241,206,972,10,13681.718629382458,278.9128725148157,278.91287251481583,7.496543780960986e-06,9.841180516363782e-07,44
104.28.158.134,203,3986,110,1568875.2661458002,-16208.234764059907,-16208.234764059922,3.074199949682149e-05,0.00011284828404994013,44
58.186.68.234,197,1872,16,80167.55738001189,-3489.1823509668748,-3489.1823509668757,1.4437788022591529e-05,5.766405706066318e-06,44
115.76.55.25,196,574,9,19512.997128593972,-1392.9315514375428,-1392.9315514375423,4.4269713274399235e-06,1.4035585174612598e-06,44
104.28.158.51,194,3678,111,1795416.946180926,19580.51085877962,19580.56603119341,2.8366551467463484e-05,0.0001291432951380802,44
104.28.158.53,189,4277,113,278338.7201974588,26917.990638248608,26918.652707214125,3.29863351349487e-05,2.00207420160964e-05,44
104.28.157.194,186,4860,105,985626.6203077077,-27274.22834426861,-27273.069723578956,3.748271890480493e-05,7.089554868750803e-05,44
138.84.104.108,181,340,3,1654.5695777725748,214.24111672297116,214.24111672297116,2.6222478246159826e-06,1.1901222596973304e-07,44
104.28.158.176,178,2909,103,933018.0814339304,-3868.714334155896,-3868.001028257405,2.2435643887670278e-05,6.711144712992212e-05,44
104.28.160.186,177,4064,111,509515.97132265026,-60019.4690336039,-60014.28706491743,3.134357399776281e-05,3.664918703260131e-05,44
104.28.158.177,173,4097,110,2084612.166374792,-173360.52665805118,-173355.97247423776,3.159808628662259e-05,0.00014994493887518628,44
14.175.183.67,172,264,3,9613.952174248067,-59.204274009195245,-59.204274009195416,2.0360983108782926e-06,6.915259799253287e-07,44
104.28.158.52,169,4040,104,1192976.493864303,-35228.43141672518,-35208.51372125193,3.1158474151319324e-05,8.581010431455766e-05,44
104.28.158.133,169,3070,108,614269.2374707621,-50631.64625611817,-50614.98777074651,2.3677355357561963e-05,4.4184028449587815e-05,44
104.28.157.200,168,3108,101,665372.3243862924,11984.412410604953,11984.412410604953,2.3970430114430806e-05,4.7859843724717917e-05,44
171.225.199.183,166,2696,33,20937.253447854782,-121.3939260503092,-121.3939260503092,2.079288275048438e-05,1.5060044448999103e-06,44
