日期,有效订单数,活跃会员数,投注金额,游戏盈利,返水,净盈利,恒等残差_净减游戏加返水,游戏盈利率,返水率,净盈利率
2026-03-22,694513,16311,66494974.21341486,-1084822.7570669295,28113.720798455164,-1056709.0362684687,5.587935447692871e-09,-0.016314357136002537,0.00042279467179315685,-0.015891562464209297
2026-03-23,737780,18385,76128028.30373085,-1928434.4099494682,46924.91475680923,-1881509.4951926577,1.3969838619232178e-09,-0.025331464020787734,0.0006163947208719388,-0.02471506929991578
2026-03-24,926643,19504,95125341.56335825,-1716279.0474617356,71691.64850018983,-1644587.3989615482,-2.561137080192566e-09,-0.018042290511184212,0.0007536545711369625,-0.017288635940047276
2026-03-25,921152,20669,89191884.32928522,-1698534.077590689,37354.731011348485,-1661179.3465793428,-2.3283064365386963e-09,-0.019043594497005073,0.0004188131161512354,-0.018624781380853862
2026-03-26,933889,19995,95258623.43858923,-1140190.0223622925,49480.84052038503,-1090709.1818419069,6.984919309616089e-10,-0.011969415273960404,0.0005194368628713604,-0.011449978411089037
2026-03-27,951028,20305,96864334.99933104,-2386293.402523643,34119.86877778008,-2352173.5337458537,9.313225746154785e-09,-0.024635418211874607,0.0003522438757052915,-0.024283174336169222
2026-03-28,908228,20189,96811381.60437524,-1280058.3052242217,42828.82400494413,-1237229.4812192756,1.862645149230957e-09,-0.013222188176750195,0.0004423945128679844,-0.012779793663882192
2026-03-29,920678,18586,102319977.49547958,-1507243.4406487043,35651.70557032618,-1471591.7350783767,1.3969838619232178e-09,-0.014730685810747888,0.00034843347743993827,-0.014382252333307935
2026-03-30,759312,17277,75676688.96864948,-1530089.3344060858,37035.089049541064,-1493054.2453565425,2.0954757928848267e-09,-0.020218766905089555,0.0004893856953081491,-0.019729381209781377
2026-03-31,1029407,20002,112170001.7826274,-2617362.601157231,54622.27366326784,-2562740.327493969,-6.05359673500061e-09,-0.02333389105430683,0.00048695972894000257,-0.02284693132536688
2026-04-01,1039709,24834,107597670.00069068,-2489909.772771408,36661.26366536734,-2453248.5091060423,-1.862645149230957e-09,-0.023140926497343527,0.00034072544196479354,-0.022800201055378753
