日期,有效订单数,本金,洗码量,游戏输赢,退水,下注退水,净输赢,残差式一,残差式二,残差式三,游戏输赢率洗码量为分母,游戏输赢率本金为分母,免佣订单数,佣金标脏值订单数
2026-03-21,117343,9515288.7126945466,8496832.5933941693,-159749.4759813317,3580.1172649786,8496832.5933941693,-156169.3587163476,5.5E-9,-8496832.5933941638,-8493252.4761291852,-0.018801061952,-0.016788715593,8764,0
2026-03-22,820225,89092835.5624144750,80247612.9474322752,-2171815.5168765827,33849.5471106191,80247612.9474322752,-2137965.9697659251,3.85E-8,-80247612.9474322367,-80213763.4003216176,-0.027063926728,-0.024376993988,58500,0
2026-03-23,849221,82930594.9127058389,74885771.5170395047,-1494226.7105347342,70445.4417874694,74885771.5170395047,-1423781.2687473403,-7.55E-8,-74885771.5170395802,-74815326.0752521108,-0.019953412781,-0.018017798041,63267,0
2026-03-24,915631,93351700.2361685353,84074578.7317308534,-1904373.2021424532,57973.1349799437,84074578.7317308534,-1846400.0671626315,-1.220E-7,-84074578.7317309754,-84016605.5967510317,-0.022650999040,-0.020399984117,67949,0
2026-03-25,937716,91624416.4546581877,82704087.8236449151,-1632255.4700182752,40395.1940769365,82704087.8236449151,-1591860.2759415062,-1.675E-7,-82704087.8236450826,-82663692.6295681461,-0.019736091806,-0.017814634277,72129,0
2026-03-26,946076,97129050.7930552088,87327067.0999120096,-1268005.4169120047,45250.6257687596,87327067.0999120096,-1222754.7911432294,1.57E-8,-87327067.0999119939,-87281816.4741432343,-0.014520187830,-0.013054852349,79228,0
2026-03-27,929806,95747062.4357521679,86278537.2470250891,-1873617.2338442272,37369.4395411441,86258911.6821753105,-1836247.7943030294,5.37E-8,-86258911.6821752568,-86221542.2426341127,-0.021715913292,-0.019568404358,72931,0
2026-03-28,915426,108145502.0655697972,96480481.8342991695,-1777072.2841384848,34938.8289067617,96480481.8342991695,-1742133.4552317272,-4.1E-9,-96480481.8342991736,-96445543.0053924119,-0.018418982268,-0.016432234815,70056,0
2026-03-29,809268,80048618.4593139148,72077658.4419316356,-910078.0835108017,37280.7503057452,72077658.4419316356,-872797.3332050805,-2.40E-8,-72077658.4419316596,-72040377.6916259144,-0.012626354729,-0.011369066713,61109,0
2026-03-30,917402,99084546.3933277156,89400650.7297325642,-2619502.3410212400,43480.1846499224,89400650.7297325642,-2576022.1563713429,-2.53E-8,-89400650.7297325895,-89357170.5450826671,-0.029300707765,-0.026437042267,67836,0
2026-03-31,1021875,103881467.3879668019,93757111.3421810437,-1965789.3376039767,50466.2606758854,93757111.3421810437,-1915323.0769280878,3.5E-9,-93757111.3421810402,-93706645.0815051548,-0.020966829177,-0.018923388233,69765,0
2026-04-01,1042025,103798357.4823520734,93996910.0336785964,-2555212.3761318815,54319.6965355614,93996910.0336785964,-2500892.6795963495,-2.94E-8,-93996910.0336786258,-93942590.3371430644,-0.027184003976,-0.024617079096,84461,0
2026-04-02,1035810,98210490.2830966897,88945564.4849091964,-998131.3807334658,44084.2322777137,88945339.4583273402,-954047.1484557935,-4.14E-8,-88945339.4583273816,-88901255.2260496679,-0.011221822994,-0.010163184990,84407,0
2026-04-03,1007946,103427201.2518636588,93177862.4122059750,-2735519.6735538792,73929.1819813385,93177862.4122059750,-2661590.4915725486,-7.9E-9,-93177862.4122059829,-93103933.2302246444,-0.029358042809,-0.026448745015,69121,0
2026-04-04,978343,95021307.3479326350,85675640.9803233279,-1606410.3073402586,46265.9219288770,85675640.9803233279,-1560144.3854114176,-3.60E-8,-85675640.9803233639,-85629375.0583944869,-0.018749907079,-0.016905790419,69781,0
2026-04-05,848104,76621720.9655488454,69103689.1558145808,-1620587.5377947793,35164.7228043567,69103689.1558145808,-1585422.8149904838,-6.12E-8,-69103689.1558146420,-69068524.4330102853,-0.023451534319,-0.021150497762,66392,0
2026-04-06,954823,93112698.7202990616,83811942.4963290004,-2015647.6690205194,47369.2310670489,83811942.4963290004,-1968278.4379534899,-1.94E-8,-83811942.4963290198,-83764573.2652619709,-0.024049647449,-0.021647398225,79220,0
