def_lock,桌台窗口秒,相位段,注单数,会员数,局数,段内注单占比,洗码量,游戏输赢,游戏输赢率,下注进度P50
K1_20260813,13,A_时序异常,1,1,1,0E-7,2.6175954768,-2.6175954768,-1.000000000000,-0.07692310214042664
K1_20260813,13,B_逾制,71,55,37,0.0000015,6328.9150745026,-3624.6135235569,-0.572706930159,1.076923131942749
K1_20260813,13,C_封盘前1秒内,8899069,260085,1857428,0.1896205,1008744631.8281466951,-18516933.2908057302,-0.018356413216,0.9230769276618958
K1_20260813,13,D_封盘前1至2秒,6100412,239583,1697733,0.1299870,625932061.1095239123,-9611929.6664629619,-0.015356186819,0.8461537957191467
K1_20260813,13,E_封盘前2至3秒,5428118,234554,1635731,0.1156618,504046706.2371268222,-13177988.9310374199,-0.026144380606,0.7692307829856873
K1_20260813,13,F_封盘前3至5秒,8778797,276382,1856508,0.1870578,749351773.4899139054,-14550425.1036474207,-0.019417349259,0.692307710647583
K1_20260813,13,G_常规时段,17724476,298943,2070219,0.3776714,1456089731.7216930518,-26966793.8946669116,-0.018520008285,0.38461539149284363
K1_20260813,25,A_时序异常,2,1,2,0E-7,5.2351909536,0E-10,0E-12,-0.03999999910593033
K1_20260813,25,B_逾制,2780,1066,764,0.0000418,330711.7731068889,-22989.6827824335,-0.069515767662,1.2400000095367432
K1_20260813,25,C_封盘前1秒内,5764657,229344,1756584,0.0867650,818573964.6489882423,-14182239.3370587950,-0.017325544116,0.9599999785423279
K1_20260813,25,D_封盘前1至2秒,4036456,213329,1527499,0.0607535,527918530.6108969008,-10090794.1112434952,-0.019114301784,0.9200000166893005
K1_20260813,25,E_封盘前2至3秒,3643102,218233,1452296,0.0548331,431998905.0818362743,-7420297.5627479313,-0.017176658263,0.8799999952316284
K1_20260813,25,F_封盘前3至5秒,6258707,286654,1798849,0.0942011,661149425.8547508282,-10004361.2856313440,-0.015131770360,0.8399999737739563
K1_20260813,25,G_常规时段,46734176,561172,2458057,0.7034055,4040215217.9780651544,-81960041.3201412310,-0.020286058266,0.4399999976158142
K1_20260813,28,B_逾制,4792,1804,1641,0.0033521,639670.6509551240,41974.4893305569,0.065618907586,1.1428570747375488
K1_20260813,28,C_封盘前1秒内,1093,628,707,0.0007646,129017.5886199290,12492.9101051616,0.096831061864,1.0
K1_20260813,28,D_封盘前1至2秒,568,364,409,0.0003973,55481.2055630841,-1348.7121376719,-0.024309351680,0.9285714030265808
K1_20260813,28,E_封盘前2至3秒,36546,12306,26424,0.0255643,4907747.0902545067,-132146.8899259804,-0.026926181707,0.8928570747375488
K1_20260813,28,F_封盘前3至5秒,170709,30846,87079,0.1194129,23216919.5040165211,-495911.7395594438,-0.021359928455,0.8571429252624512
K1_20260813,28,G_常规时段,1215861,69353,166470,0.8505088,112600285.1703884330,-2562515.1199938007,-0.022757625490,0.4642857015132904
K1_20260813,29,B_逾制,9388,2730,3237,0.0031430,1288976.7693847200,54730.4534840088,0.042460387793,1.137930989265442
K1_20260813,29,C_封盘前1秒内,2616,1232,1582,0.0008758,298106.4579488577,4520.4892470153,0.015164009791,1.0
K1_20260813,29,D_封盘前1至2秒,1221,711,851,0.0004088,106908.7010340856,26767.5430957444,0.250377591691,0.931034505367279
K1_20260813,29,E_封盘前2至3秒,1202,692,846,0.0004024,123841.8065711060,-11692.8652034996,-0.094417753804,0.8965517282485962
K1_20260813,29,F_封盘前3至5秒,255659,38215,144000,0.0855909,36617160.5795019500,-96320.1338243625,-0.002630464304,0.8275861740112305
K1_20260813,29,G_常规时段,2716903,101776,337237,0.9095792,272974089.2961966231,-2691260.4765830866,-0.009859032715,0.4482758939266205
K1_20260813,30,B_逾制,17370,4048,6671,0.0026995,2410448.9562025178,41699.7345831561,0.017299571715,1.100000023841858
K1_20260813,30,C_封盘前1秒内,5771,2313,3548,0.0008969,561121.2511486027,-16048.2649797062,-0.028600351434,1.0
K1_20260813,30,D_封盘前1至2秒,2729,1424,1967,0.0004241,343149.9532040818,-108030.3466665912,-0.314819645633,0.9333332777023315
K1_20260813,30,E_封盘前2至3秒,2548,1317,1821,0.0003960,319905.1189001591,43668.3892537991,0.136504190380,0.8999999761581421
K1_20260813,30,F_封盘前3至5秒,167330,31675,118053,0.0260053,24453203.3978030507,-761222.5276309771,-0.031129767141,0.8333333134651184
K1_20260813,30,G_常规时段,6238713,151946,687062,0.9695782,646762539.9901923035,-15471863.0646378367,-0.023922014817,0.46666669845581055
K1_20260813,31,B_逾制,8965,2866,3385,0.0023452,1225493.0117290691,-150154.2970585110,-0.122525624888,1.0645160675048828
K1_20260813,31,C_封盘前1秒内,4112,1856,2279,0.0010757,484872.8334918573,-64569.7145180401,-0.133168348602,1.0
K1_20260813,31,D_封盘前1至2秒,1848,1104,1290,0.0004834,222821.8270103130,15444.7201732149,0.069314215669,0.9354838728904724
K1_20260813,31,E_封盘前2至3秒,1658,1025,1171,0.0004337,198941.6363111360,16061.7176524792,0.080735827604,0.9032257795333862
K1_20260813,31,F_封盘前3至5秒,3386,1659,1950,0.0008858,380137.3856667453,-15437.6050491185,-0.040610594041,0.8709676861763
K1_20260813,31,G_常规时段,3802723,127018,347906,0.9947762,391343899.8271239879,-6016546.1338201110,-0.015374063928,0.4838710129261017
K1_20260813,32,B_逾制,3692,1589,1617,0.0017466,433493.9935988301,-54593.6150725560,-0.125938573264,1.0625
K1_20260813,32,C_封盘前1秒内,2707,1296,1332,0.0012806,325068.1034458047,60095.1851412442,0.184869522738,1.0
K1_20260813,32,D_封盘前1至2秒,1115,683,736,0.0005275,178828.5299591438,42166.8253351294,0.235794732221,0.9375
K1_20260813,32,E_封盘前2至3秒,1015,672,687,0.0004802,87697.3618842072,-1494.2141354169,-0.017038301989,0.90625
K1_20260813,32,F_封盘前3至5秒,1995,1066,1086,0.0009438,202816.4721156656,-25341.3131563210,-0.124947016837,0.875
K1_20260813,32,G_常规时段,2103247,99033,175242,0.9950212,216945696.2363227270,-3988736.1195431667,-0.018385873464,0.46875
