blk,n,rn_min,rn_max,key_min,key_max,s_orders,s_rounds,s_stake,s_netpnl
0,10,1,10,103.130.214.118|123591261,223.16.178.130|141556233,1138786,1138532,13280669.5803,-160486.4411
1,10,11,20,103.130.215.32|121732938,71.146.126.94|140288014,424436,349269,16296192.8035,-324286.7602
2,10,21,30,103.130.214.118|113375267,76.30.217.21|148128773,320087,251772,15980686.1301,-366949.6818
3,10,31,40,103.130.215.32|115295631,76.30.217.21|149125963,284896,225959,15392843.5478,-343827.7664
4,10,41,50,103.130.215.32|145846574,73.155.77.109|143808976,252555,178775,108593936.0067,-2100531.1982
5,10,51,60,115.164.37.84|38559714,73.155.77.109|148308620,221284,167505,114493740.8893,-2000153.1091
6,10,61,70,103.130.214.118|129533265,73.155.77.109|148308622,199365,162891,19531070.8565,-445478.3854
7,10,71,80,113.189.90.143|66228851,76.30.217.21|148135316,181376,154796,21649535.9048,-175430.8609
8,10,81,90,101.8.54.177|124403027,95.85.94.16|139990304,161988,110311,5465328.3486,-114237.8565
9,10,91,100,101.74.109.189|142713611,49.228.238.128|135010526,150653,130386,13314207.0612,-198621.8527
10,10,101,110,113.10.188.240|101054871,61.92.1.50|51792700,144123,108828,94209781.4153,-965140.6528
11,10,111,120,103.200.134.215|68940888,73.155.77.109|148308624,136911,101435,34465929.7781,-433523.3547
12,10,121,130,110.74.206.5|132989436,71.146.126.94|140288790,131536,94056,16743254.2540,-68911.5495
13,10,131,140,116.206.193.43|124432705,76.30.217.21|147395014,126510,76567,17582819.9014,-272400.1569
14,10,141,150,103.162.30.236|147705663,76.30.217.21|147395046,120728,74528,34313024.2272,-666378.0623
15,10,151,160,113.188.151.181|153355435,27.2.25.100|59665310,117963,85254,27434007.5916,-256724.8674
16,10,161,170,106.1.226.117|139634377,71.146.126.94|140288799,114402,89399,38501401.2646,-463520.2362
17,10,171,180,1.46.2.14|142242619,76.30.217.21|147395047,109377,71865,18196033.6220,-208855.5142
18,10,181,190,1.32.101.217|151392932,49.130.162.1|146554769,105968,60462,23723706.0656,-470277.2641
19,10,191,200,1.4.200.63|123903499,211.76.59.141|80385852,102455,85350,14598839.7043,-84609.4618
20,10,201,210,115.76.26.63|135843743,73.6.45.211|142923350,99640,48593,15661026.6518,-38934.1230
21,10,211,220,103.163.119.52|140445138,61.239.165.171|69369558,96362,69060,7076378.8710,-37114.6336
