table_id,n_rows,n_members,n_b06_null,n_b08_null,n_negative,lat_min,lat_avg,lat_max,lat_p01,lat_p50,lat_p99,lat_sd,verdict_latency
112,10078874,285453,0,0,1,-1.0000,14.4029,26.0000,1.0,15.0,25.0,6.7973,★ 该桌有时序倒挂（bet08 < bet06）—— 须查 ETL，禁直接用
113,9882943,266553,0,0,1,-1.0000,14.4305,26.0000,1.0,15.0,25.0,6.7869,★ 该桌有时序倒挂（bet08 < bet06）—— 须查 ETL，禁直接用
115,9457325,249381,0,0,0,0.0000,14.3862,26.0000,1.0,15.0,25.0,6.8053,✅ 该桌延迟可算（★ 只出分布，不判机器人）
116,8632441,233892,0,0,0,0.0000,14.3256,26.0000,1.0,15.0,25.0,6.8088,✅ 该桌延迟可算（★ 只出分布，不判机器人）
1,8497872,207217,0,0,0,0.0000,8.2897,25.0000,1.0,9.0,13.0,3.2756,✅ 该桌延迟可算（★ 只出分布，不判机器人）
2,7729888,190056,0,0,0,0.0000,8.2286,25.0000,1.0,9.0,13.0,3.3079,✅ 该桌延迟可算（★ 只出分布，不判机器人）
3,6880912,175261,0,0,0,0.0000,8.2981,14.0000,1.0,9.0,13.0,3.2793,✅ 该桌延迟可算（★ 只出分布，不判机器人）
5,6360122,165875,0,0,0,0.0000,8.2666,14.0000,1.0,9.0,13.0,3.2906,✅ 该桌延迟可算（★ 只出分布，不判机器人）
6,5677413,156715,0,0,0,0.0000,8.2726,14.0000,1.0,9.0,13.0,3.2925,✅ 该桌延迟可算（★ 只出分布，不判机器人）
7,5386493,150205,0,0,0,0.0000,8.2453,14.0000,0.994,9.0,13.0,3.3067,✅ 该桌延迟可算（★ 只出分布，不判机器人）
8,4786315,143344,0,0,1,-1.0000,8.3036,14.0000,0.0,9.0,13.0,3.2904,★ 该桌有时序倒挂（bet08 < bet06）—— 须查 ETL，禁直接用
31,4522103,151468,0,0,0,0.0000,14.1685,26.0000,1.0,14.0,25.0,6.8454,✅ 该桌延迟可算（★ 只出分布，不判机器人）
32,4168755,142633,0,0,0,0.0000,14.2021,25.0000,1.0,14.0,25.0,6.8633,✅ 该桌延迟可算（★ 只出分布，不判机器人）
33,3860407,136723,0,0,0,0.0000,14.189,26.0000,1.0,14.0,25.0,6.884,✅ 该桌延迟可算（★ 只出分布，不判机器人）
37,3677603,103123,0,0,0,0.0000,14.791,26.0000,1.0,15.0,25.0,6.7376,✅ 该桌延迟可算（★ 只出分布，不判机器人）
35,3570325,130810,0,0,0,0.0000,14.2104,25.0000,1.0,14.0,25.0,6.8489,✅ 该桌延迟可算（★ 只出分布，不判机器人）
36,3402142,125898,0,0,0,0.0000,14.2531,25.0000,0.0,15.0,25.0,6.857,✅ 该桌延迟可算（★ 只出分布，不判机器人）
901,2037961,96096,0,0,0,0.0000,14.4814,35.0000,2.0,15.0,25.0,6.8458,✅ 该桌延迟可算（★ 只出分布，不判机器人）
902,1901412,91377,0,0,0,0.0000,14.4811,35.0000,2.0,15.0,25.0,6.8686,✅ 该桌延迟可算（★ 只出分布，不判机器人）
903,1787564,87983,0,0,0,0.0000,14.4326,35.0000,2.0,15.0,25.0,6.8713,✅ 该桌延迟可算（★ 只出分布，不判机器人）
905,1655384,83974,0,0,0,0.0000,14.4693,35.0000,2.0,15.0,25.0,6.8852,✅ 该桌延迟可算（★ 只出分布，不判机器人）
906,1610340,81675,0,0,0,0.0000,14.3897,35.0000,2.0,15.0,25.0,6.8947,✅ 该桌延迟可算（★ 只出分布，不判机器人）
908,1503238,77107,0,0,0,0.0000,14.3698,35.0000,2.0,15.0,25.0,6.9029,✅ 该桌延迟可算（★ 只出分布，不判机器人）
909,1483351,76010,0,0,0,0.0000,14.3489,35.0000,2.0,15.0,25.0,6.9126,✅ 该桌延迟可算（★ 只出分布，不判机器人）
907,1474127,77210,0,0,0,0.0000,14.3633,35.0000,2.0,15.0,25.0,6.8495,✅ 该桌延迟可算（★ 只出分布，不判机器人）
910,1431874,73867,0,0,0,0.0000,14.3301,35.0000,2.0,15.0,25.0,6.9055,✅ 该桌延迟可算（★ 只出分布，不判机器人）
911,1395396,72622,0,0,0,0.0000,14.3263,35.0000,2.0,15.0,25.0,6.9156,✅ 该桌延迟可算（★ 只出分布，不判机器人）
912,1380059,72466,0,0,0,0.0000,14.3492,35.0000,2.0,15.0,25.0,6.8957,✅ 该桌延迟可算（★ 只出分布，不判机器人）
913,1369462,71752,0,0,0,0.0000,14.3905,28.0000,2.0,15.0,25.0,6.7778,✅ 该桌延迟可算（★ 只出分布，不判机器人）
900,46032,5665,0,0,0,0.0000,14.1626,25.0000,2.0,14.0,25.0,6.7819,✅ 该桌延迟可算（★ 只出分布，不判机器人）
