bet_type_raw,commission_flag,n_bets,stake_sum,ggr_sum,rebate_sum,ngr_sum,hold_ggr_pct,hold_ngr_pct,mu0_ggr_pct,mu0_ngr_pct,rebate_pct,verdict_mu0
Banker,0,42341050,6079187254.06,74538802.82,3977832.36,70560970.47,1.226131,1.160697,-1.226131,-1.160697,0.065434,✅ 可登记
Player,0,40494717,5211657147.25,66286892.43,2301478.88,63985413.54,1.271897,1.227736,-1.271897,-1.227736,0.044160,✅ 可登记
Banker,1,4134815,957028004.67,12441267.14,931514.48,11509752.66,1.299990,1.202656,-1.299990,-1.202656,0.097334,✅ 可登记
Player,1,3390730,697764301.19,8414431.49,647503.10,7766928.40,1.205913,1.113116,-1.205913,-1.113116,0.092797,✅ 可登记
Tie,0,9110333,134206935.70,20318347.18,117038.10,20201309.07,15.139566,15.052358,-15.139566,-15.052358,0.087207,✅ 可登记
Super6,0,4266727,67159054.76,13785736.47,40565.16,13745171.31,20.526996,20.466594,-20.526996,-20.466594,0.060402,✅ 可登记
BPair,0,5534664,64966155.06,6897817.03,27394.59,6870422.43,10.617555,10.575387,-10.617555,-10.575387,0.042167,✅ 可登记
PPair,0,5405548,63453441.34,6461887.63,26923.42,6434964.21,10.183668,10.141238,-10.183668,-10.141238,0.042430,✅ 可登记
Lucky7,0,4050621,53544214.73,9796862.61,33633.08,9763229.53,18.296771,18.233958,-18.296771,-18.233958,0.062814,✅ 可登记
SuperLucky7,0,2899180,19906962.98,3355861.95,9611.56,3346250.38,16.857729,16.809447,-16.857729,-16.809447,0.048282,✅ 可登记
Tie,1,460679,15911972.54,2436943.99,29657.35,2407286.64,15.315160,15.128776,-15.315160,-15.128776,0.186384,✅ 可登记
Super6,1,343981,10261021.40,2200257.62,17788.60,2182469.02,21.442871,21.269510,-21.442871,-21.269510,0.173361,✅ 可登记
Big,0,66969,10044281.25,689613.31,427.52,689185.79,6.865731,6.861474,-6.865731,-6.861474,0.004256,✅ 可登记
Lucky7,1,297409,8544276.08,1653795.44,14588.95,1639206.50,19.355595,19.184849,-19.355595,-19.184849,0.170745,✅ 可登记
BPair,1,329952,7577186.85,818209.89,7674.88,810535.01,10.798333,10.697044,-10.798333,-10.697044,0.101289,✅ 可登记
PPair,1,315917,7185048.87,1049369.05,7807.57,1041561.48,14.604898,14.496234,-14.604898,-14.496234,0.108664,✅ 可登记
PerfectPair,0,319782,5006096.79,298939.86,756.84,298183.02,5.971516,5.956397,-5.971516,-5.956397,0.015118,✅ 可登记
BankerDragonBonus,0,160004,3833304.88,448354.77,1777.04,446577.73,11.696298,11.649940,-11.696298,-11.649940,0.046358,✅ 可登记
PlayerDragonBonus,0,135717,3375675.40,310729.07,1173.11,309555.96,9.204945,9.170193,-9.204945,-9.170193,0.034752,✅ 可登记
SuperLucky7,1,230102,3102080.10,491133.34,4239.10,486894.24,15.832388,15.695734,-15.832388,-15.695734,0.136654,✅ 可登记
Small,0,21293,2268644.36,112889.24,18853.96,94035.28,4.976066,4.144999,-4.976066,-4.144999,0.831067,✅ 可登记
