table_name,col_pos,column_name,data_type,column_comment,col_family,scope_db,scope_pattern,scope_scanned_at
ods_a168_wallet_dtl,6,responseDate,varchar,source_type=timestamp; 對方回應時間,★ RG 责任博彩,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_RedPacketSetup,21,uid,varchar,source_type=int(11); 操作者id,★ UID 候选键,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_employee,4,account,varchar,source_type=varchar(20); ,★ UID 候选键,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_iphistory,5,uid,varchar,source_type=varchar(20); ,★ UID 候选键,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_member_partner_account,5,username,varchar,source_type=varchar(30); 第三方遊戲帳號,★ UID 候选键,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_member_url,4,account,varchar,source_type=varchar(48); 會員帳號,★ UID 候选键,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_passiplist,6,account,varchar,source_type=varchar(30); ,★ UID 候选键,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_sms_setting,6,username,varchar,source_type=varchar(20); 帳號,★ UID 候选键,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_RedPacketSetup,15,duration,varchar,source_type=int(10); 持續時間,会话,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_emp_login,5,logintime,varchar,source_type=datetime; ,会话,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_emp_login,6,loginip,varchar,source_type=varchar(20); ,会话,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_member,49,onlineprompt,varchar,"source_type=enum(''0'',''1''); 上線提示",会话,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_partner_gamelist,27,onlineTime,varchar,source_type=datetime; 上架時間,会话,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
ods_a168_payment_method,8,device,varchar,"source_type=enum(''web'',''mobile'',''all''); 裝置",会话,ods_mariadb_2b,列名正则 ＋ COLUMN_COMMENT 中文正则（见本条 CASE）,2026-08-23 08:56:29
