dt_day,n_rows,n_mem001,rows_per_key,n_enable_N,n_canbet_N
2026-03-21,44338,44338,1.0000,24,28
2026-03-22,42965,42965,1.0000,18,17
2026-03-23,38784,38784,1.0000,20,21
2026-03-24,41331,41331,1.0000,22,25
2026-03-25,44166,44166,1.0000,23,24
2026-03-26,33369,33369,1.0000,10,20
2026-03-27,48873,48873,1.0000,22,23
2026-03-28,43198,43198,1.0000,15,15
2026-03-29,43291,43291,1.0000,14,13
2026-03-30,37484,37484,1.0000,20,20
2026-03-31,47077,47077,1.0000,25,26
2026-04-01,47065,47065,1.0000,12,14
2026-04-02,46567,46567,1.0000,12,12
2026-04-03,45612,45612,1.0000,6,7
2026-04-04,44236,44236,1.0000,12,12
2026-04-05,38745,38745,1.0000,8,9
2026-04-06,39401,39401,1.0000,7,8
2026-04-07,43925,43925,1.0000,14,13
2026-04-08,46092,46092,1.0000,4,4
2026-04-09,46226,46226,1.0000,7,9
2026-04-10,52716,52716,1.0000,3,3
2026-04-11,48051,48051,1.0000,7,9
2026-04-12,46120,46120,1.0000,10,13
2026-04-13,37208,37208,1.0000,3,5
2026-04-14,46749,46749,1.0000,2,3
2026-04-15,47301,47301,1.0000,4,5
2026-04-16,45994,45994,1.0000,1,1
2026-04-17,45941,45941,1.0000,2,3
2026-04-18,45482,45482,1.0000,3,4
2026-04-19,43812,43812,1.0000,0,1
2026-04-20,34363,34363,1.0000,2,3
2026-04-21,46992,46992,1.0000,2,2
2026-04-22,46595,46595,1.0000,0,1
2026-04-23,43089,43089,1.0000,2,2
2026-04-24,48416,48416,1.0000,0,4
2026-04-25,43660,43660,1.0000,0,0
2026-04-26,42517,42517,1.0000,2,1
2026-04-27,40654,40654,1.0000,7,8
2026-04-28,42347,42347,1.0000,9,10
2026-04-29,45787,45787,1.0000,0,1
2026-04-30,45036,45036,1.0000,3,2
2026-05-01,49496,49496,1.0000,0,0
2026-05-02,45408,45408,1.0000,1,1
2026-05-03,44754,44754,1.0000,0,0
2026-05-04,40110,40110,1.0000,1,0
2026-05-05,46002,46002,1.0000,1,1
2026-05-06,52306,52306,1.0000,1,1
2026-05-07,51118,51118,1.0000,0,1
2026-05-08,49941,49941,1.0000,0,0
2026-05-09,49481,49481,1.0000,0,0
2026-05-10,47731,47731,1.0000,0,1
2026-05-11,44588,44588,1.0000,1,3
2026-05-12,47773,47773,1.0000,0,0
2026-05-13,50821,50821,1.0000,0,0
2026-05-14,46035,46035,1.0000,0,0
2026-05-15,47907,47907,1.0000,0,0
2026-05-16,52189,52189,1.0000,0,0
2026-05-17,50706,50706,1.0000,0,0
2026-05-18,42178,42178,1.0000,0,1
2026-05-19,48368,48368,1.0000,0,0
2026-05-20,49951,49951,1.0000,1,0
2026-05-21,45771,45771,1.0000,0,0
2026-05-22,46035,46035,1.0000,0,0
2026-05-23,46186,46186,1.0000,0,0
2026-05-24,45381,45381,1.0000,0,0
2026-05-25,38700,38700,1.0000,0,0
2026-05-26,47528,47528,1.0000,0,0
2026-05-27,48440,48440,1.0000,0,0
2026-05-28,43955,43955,1.0000,0,0
2026-05-29,45313,45313,1.0000,0,0
2026-05-30,42900,42900,1.0000,0,0
2026-05-31,43909,43909,1.0000,257,257
2026-06-01,39687,39687,1.0000,0,1
2026-06-02,49246,49246,1.0000,1,1
2026-06-03,44549,44549,1.0000,0,0
2026-06-04,43583,43583,1.0000,2,2
2026-06-05,43001,43001,1.0000,0,0
2026-06-06,45333,45333,1.0000,1,1
2026-06-07,44239,44239,1.0000,2,2
2026-06-08,39795,39795,1.0000,1,10
2026-06-09,46334,46334,1.0000,0,0
2026-06-10,53559,53559,1.0000,3,3
2026-06-11,58493,58493,1.0000,1,3
2026-06-12,60439,60439,1.0000,1,3
2026-06-13,54892,54892,1.0000,0,0
2026-06-14,53270,53270,1.0000,0,0
2026-06-15,47523,47523,1.0000,1,1
2026-06-16,54632,54632,1.0000,0,0
2026-06-17,59509,59509,1.0000,9,9
2026-06-18,54330,54330,1.0000,1,1
2026-06-19,50438,50438,1.0000,0,0
2026-06-20,51753,51753,1.0000,0,0
2026-06-21,50325,50325,1.0000,0,0
2026-06-22,42631,42631,1.0000,0,0
2026-06-23,48864,48864,1.0000,0,0
2026-06-24,48480,48480,1.0000,0,1
2026-06-25,46924,46924,1.0000,0,0
2026-06-26,48261,48261,1.0000,0,0
2026-06-27,55946,55946,1.0000,0,0
2026-06-28,49062,49062,1.0000,0,1
2026-06-29,40073,40073,1.0000,0,0
2026-06-30,46918,46918,1.0000,0,0
2026-07-01,50335,50335,1.0000,0,0
2026-07-02,72394,72394,1.0000,0,1
2026-07-03,92762,92762,1.0000,0,0
2026-07-04,48616,48616,1.0000,0,0
2026-07-05,49151,49151,1.0000,0,0
2026-07-06,41606,41606,1.0000,0,0
2026-07-07,44519,44519,1.0000,0,0
2026-07-08,45136,45136,1.0000,1,1
2026-07-09,42454,42454,1.0000,0,0
2026-07-10,43795,43795,1.0000,0,0
2026-07-11,44315,44315,1.0000,0,0
2026-07-12,46129,46129,1.0000,0,1
2026-07-13,41468,41468,1.0000,0,0
2026-07-14,42086,42086,1.0000,0,0
2026-07-15,47733,47733,1.0000,0,0
2026-07-16,46393,46393,1.0000,0,0
2026-07-17,43173,43173,1.0000,0,0
2026-07-18,41068,41068,1.0000,0,0
2026-07-19,40944,40944,1.0000,0,0
2026-07-20,37900,37900,1.0000,0,0
2026-07-21,41201,41201,1.0000,0,0
2026-07-22,41137,41137,1.0000,0,1
2026-07-23,37558,37558,1.0000,0,1
2026-07-24,38292,38292,1.0000,1,0
2026-07-25,40158,40158,1.0000,0,0
2026-07-26,38893,38893,1.0000,0,1
2026-07-27,35543,35543,1.0000,0,1
2026-07-28,39043,39043,1.0000,0,1
2026-07-29,38912,38912,1.0000,1,1
2026-07-30,37980,37980,1.0000,0,0
2026-07-31,33336,33336,1.0000,0,2
2026-08-01,42406,42406,1.0000,0,0
2026-08-02,40776,40776,1.0000,0,0
2026-08-03,31865,31865,1.0000,0,0
2026-08-04,39825,39825,1.0000,0,0
2026-08-05,33263,33263,1.0000,0,0
2026-08-06,40983,40983,1.0000,0,1
