field_name,field_value,n_rows,pct_of_field,n_null,n_bet09,n_dates,min_dt,max_dt,n_pnl_zero,n_pnl_pos,n_pnl_neg,pct_pnl_zero,pct_pnl_pos,pct_pnl_neg,n_exact_refund,n_payout_zero,payout_over_stake,verdict_state
bet28,0.0000,118268879,94.126289,0,23,139,2026-03-21,2026-08-06,8156604,68717644,41394631,6.896661,58.102896,35.000443,8156604,68717644,0.980062,NON_STATE —— 三态混杂，该值非结算态之判别
bet28,0.9000,5320259,4.234218,0,16,139,2026-03-21,2026-08-06,354414,3154864,1810981,6.661593,59.299068,34.039339,354414,3154864,0.981582,NON_STATE —— 三态混杂，该值非结算态之判别
bet28,0.8500,1237115,0.984579,0,16,139,2026-03-21,2026-08-06,75774,765968,395373,6.125057,61.915667,31.959276,75774,765968,0.978604,NON_STATE —— 三态混杂，该值非结算态之判别
bet28,0.8000,699899,0.557027,0,16,139,2026-03-21,2026-08-06,47056,412074,240769,6.723256,58.876209,34.400535,47056,412074,0.989159,NON_STATE —— 三态混杂，该值非结算态之判别
bet28,1.0000,119027,0.094730,0,16,139,2026-03-21,2026-08-06,8567,67482,42978,7.197527,56.694700,36.107774,8567,67482,0.987525,NON_STATE —— 三态混杂，该值非结算态之判别
bet28,1.0500,3968,0.003158,0,6,16,2026-04-09,2026-06-09,376,1813,1779,9.475807,45.690524,44.833669,376,1813,0.969107,NON_STATE —— 三态混杂，该值非结算态之判别
bet29,0.0000,118473634,94.289247,0,23,139,2026-03-21,2026-08-06,8172380,68830153,41471101,6.898058,58.097444,35.004498,8172380,68830153,0.980061,NON_STATE —— 三态混杂，该值非结算态之判别
bet29,0.9000,4951186,3.940485,0,16,139,2026-03-21,2026-08-06,326584,2950788,1673814,6.596076,59.597599,33.806324,326584,2950788,0.982290,NON_STATE —— 三态混杂，该值非结算态之判别
bet29,0.8500,1237115,0.984579,0,16,139,2026-03-21,2026-08-06,75774,765968,395373,6.125057,61.915667,31.959276,75774,765968,0.978604,NON_STATE —— 三态混杂，该值非结算态之判别
bet29,0.8000,791834,0.630195,0,16,139,2026-03-21,2026-08-06,52633,468787,270414,6.646974,59.202686,34.150340,52633,468787,0.986696,NON_STATE —— 三态混杂，该值非结算态之判别
