bet09_value,commission_value,n_rows,n_both_null,n_null_asym,n_value_diff,pct_value_diff,max_abs_diff,d_min,d_max,sum_abs_diff,n_both_zero,n_b41_zero_vb_pos,n_b41_pos_vb_zero,d_sign_uniform,b41_sum,vb_sum,verdict_stratum
Banker,0,42661541,0,0,351,0.00082280,330000.00000000,-330000.00000000,0E-8,490283.00000000,4447724,351,0,B41_LE_VB_UNIFORM,278769205291.00,278769695574.00,CONDITIONAL
Player,0,40808807,0,0,286,0.00070080,1000000.00000000,-1000000.00000000,0E-8,1677540.00000000,4313100,286,0,B41_LE_VB_UNIFORM,275692785988.00,275694463528.00,CONDITIONAL
Tie,0,9177979,0,0,53,0.00057750,25000.00000000,-25000.00000000,0E-8,30866.00000000,19,53,0,B41_LE_VB_UNIFORM,6089590481.00,6089621347.00,CONDITIONAL
Banker,1,4160552,0,0,49,0.00117770,3000.00000000,-3000.00000000,0E-8,6382.00000000,422781,49,0,B41_LE_VB_UNIFORM,14820149050.00,14820155432.00,CONDITIONAL
Player,1,3412976,0,0,42,0.00123060,2500.00000000,-2500.00000000,0E-8,4548.00000000,352965,42,0,B41_LE_VB_UNIFORM,12419003325.50,12419007873.50,CONDITIONAL
BPair,0,5576633,0,0,35,0.00062760,1000.00000000,-1000.00000000,0E-8,2878.00000000,11,35,0,B41_LE_VB_UNIFORM,4413113160.00,4413116038.00,CONDITIONAL
PPair,0,5446427,0,0,33,0.00060590,1000.00000000,-1000.00000000,0E-8,3068.00000000,13,33,0,B41_LE_VB_UNIFORM,4420319561.00,4420322629.00,CONDITIONAL
Super6,0,4297983,0,0,33,0.00076780,15000.00000000,-15000.00000000,0E-8,17282.00000000,6,33,0,B41_LE_VB_UNIFORM,2711694694.00,2711711976.00,CONDITIONAL
Lucky7,0,4078585,0,0,28,0.00068650,2000.00000000,-2000.00000000,0E-8,2913.00000000,3,28,0,B41_LE_VB_UNIFORM,1843163095.00,1843166008.00,CONDITIONAL
SuperLucky7,0,2920626,0,0,26,0.00089020,5000.00000000,-5000.00000000,0E-8,6588.00000000,5,26,0,B41_LE_VB_UNIFORM,395957799.00,395964387.00,CONDITIONAL
PerfectPair,0,321776,0,0,2,0.00062160,20.00000000,-20.00000000,0E-8,30.00000000,1,2,0,B41_LE_VB_UNIFORM,813463380.00,813463410.00,CONDITIONAL
BankerNatural,0,51772,0,0,2,0.00386310,20.00000000,-20.00000000,0E-8,30.00000000,955,2,0,B41_LE_VB_UNIFORM,19875029.00,19875059.00,CONDITIONAL
Banker,-1,5,0,0,2,40.00000000,10.00000000,-10.00000000,0E-8,20.00000000,3,2,0,B41_LE_VB_UNIFORM,0.00,20.00,CONDITIONAL
