表,指标栏,零点,形态,可建阶梯,说明,族
_P12b-pre.csv,roi,0,原生（逐行）,✓,ROI：0 即不赚不赔,ROI
_P12b-pre.csv,net_margin_bet23_formal_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_P12b-pre.csv,net_margin_bet23_formal_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_P12b-pre.csv,net_margin_lv1_bet23_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_P12b-pre.csv,net_margin_lv1_bet23_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_P12b-pre.csv,net_margin_chain_additive_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_P12b-pre.csv,net_margin_chain_nested_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_P12b-pre.csv,net_margin_chain_additive_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_P12b-pre.csv,net_margin_chain_nested_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_P12b-pre.csv,profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
_P12b-pre.csv,ngr,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
_P12b-pre.csv,p50_profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
_P12b-pre.csv,residual_chain_additive,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
_P12b-pre.csv,residual_chain_nested,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
_P12b-pre.csv,residual_b,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
_P12b-pre.csv,residual_a,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
_P12b-pre.csv,residual_b_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
_P12b-pre.csv,residual_a_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
_P12b-pre.csv,hold_rate,0,原生（逐行）,✓,hold 率：0 即无抽水；⛔ 经济参照点本应为理论庄家优势，然 house_edge 全 NULL（F-22~25 阻断），暂以 0 代之并标明,hold
_P12b-pre.csv,economic_value,,原生（逐行）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
_PH0_1b_table_inventory.csv,roi,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,ROI
_PH0_1b_table_inventory.csv,net_margin_bet23_formal_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_1b_table_inventory.csv,net_margin_bet23_formal_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
