类,判据列,声明源表,方向,尾部口径,尾部行数,占比,valid_bet_尾部,valid_bet_占全表,profit_尾部,profit_占全表,stake_尾部,stake_占全表,尾部hold率,全表hold率,hold倍数
T-01,lift,R02_same_table.csv,high,≥P90,46773,0.1,84682714329.93,0.0678,1070195110.33,0.0659,93941085951.4,0.0678,0.012638,0.013004,0.972
T-01,jaccard,R02_same_table.csv,high,≥P90,46773,0.1,61431882608.57,0.0492,811204039.14,0.0499,68166934899.66,0.0492,0.013205,0.013004,1.015
T-01,same_rate,R02_same_table.csv,high,≥P90,46773,0.1,40122485549.07,0.0321,623388765.16,0.0384,44425289610.37,0.0321,0.015537,0.013004,1.195
T-01,exp_same,R02_same_table.csv,—,≥P90,46773,0.1,139734565331.15,0.1118,1757983707.44,0.1082,154812759918.95,0.1118,0.012581,0.013004,0.967
T-01,n_tables,R02_same_table.csv,low,≤P10,52444,0.1121,106126488120.13,0.0849,1382661290.4,0.0851,117299824900.9,0.0847,0.013028,0.013004,1.002
T-02,特定玩家复现率,S02_dealer_score.csv,high,≥P90,30,0.1003,23589267.6,0.0023,494180.62,0.0026,26592491.66,0.0024,0.020949,0.018881,1.11
T-02,节奏稳定度,S02_dealer_score.csv,abnormal,≥P90,30,0.1003,1424514355.11,0.1407,28242023.41,0.1477,1577792168.01,0.1403,0.019826,0.018881,1.05
T-03,late_share,R01_late_shoe.csv,—,≥P90,9244,0.1,575098054.66,0.05,8452760.11,0.0449,636595408.47,0.0499,0.014698,0.016366,0.898
T-03,shoe_pos_p50,R01_late_shoe.csv,—,≥P90,10056,0.1088,191865067.45,0.0167,4538858.03,0.0241,212715344.24,0.0167,0.023657,0.016366,1.445
T-03,stake_ramp,R01_late_shoe.csv,—,≥P90,9122,0.0987,495776273.98,0.0431,8767808.1,0.0466,547993394.87,0.0429,0.017685,0.016366,1.081
T-03,tail_share,S_player_tail.csv,—,≥P90,15961,0.1,1972882399.84,0.1666,34158536.27,0.1736,2210393946.83,0.1682,0.017314,0.016619,1.042
T-04,opposite_rate,C06_hedge_pairs.csv,high,≥P90,1096,0.5664,51634283.74,0.0173,683328.55,0.0085,58413676.08,0.0177,0.013234,0.02706,0.489
T-04,n_opposite_round,C06_hedge_pairs.csv,high,≥P90,195,0.1008,28486385.82,0.0096,628770.79,0.0078,32229267.89,0.0098,0.022073,0.02706,0.816
T-04,hedge_coverage,C06_hedge_pairs.csv,high,≥P90,856,0.4424,32824129.43,0.011,467803.4,0.0058,36377664.4,0.011,0.014252,0.02706,0.527
T-05,hedge_rate,T03_arbitrage.csv,high,≥P90,8064,0.1,1059573218.3,0.0927,22963019.89,0.1238,1238134259.31,0.0976,0.021672,0.016235,1.335
T-05,stake_cv,T03_arbitrage.csv,low,≤P10,8064,0.1,717629785.05,0.0628,8526773.87,0.046,795046788.37,0.0627,0.011882,0.016235,0.732
T-05,rebate_dep,K01_risk_feature_matrix.csv,high,≥P90,120010,0.9996,11704138003.39,1,191781050.08,1,12993677776.07,1,0.016386,0.016386,1
T-05,side_entropy,K01_risk_feature_matrix.csv,low,≤P10,12007,0.1,1058834732.39,0.0905,9387161.95,0.0489,1174164312.43,0.0904,0.008866,0.016386,0.541
T-06,n_member_eff,I_ip_agg.csv,high,≥P90,881,0.1017,167627344.97,0.1975,3475674.57,0.2159,186697323.48,0.1981,0.020735,0.018972,1.093
T-06,n_member_raw,I_ip_agg.csv,high,≥P90,873,0.1008,98305594.3,0.1158,2260941.66,0.1404,108879663.57,0.1155,0.022999,0.018972,1.212
T-06,share_p90,I_ip_agg.csv,—,≥P90,1988,0.2296,247564148.68,0.2917,6024410.56,0.3742,274497050.82,0.2913,0.024335,0.018972,1.283
T-06,ip_order_share,I_ip_player.csv,high,≥P90,69663,0.1,1610668645.54,0.0043,31929762.87,0.0055,1785736832.25,0.0043,0.019824,0.015529,1.277
T-07,索提诺稳定性,S01_player_score.csv,high,≥P90,56710,0.0784,4146134074.22,0.3426,19528299.33,0.0864,4605751036.12,0.3428,0.00471,0.01867,0.252
T-07,投注产品结构熵,S01_player_score.csv,low,≤P10,236119,0.3264,148087489.38,0.0122,10350436.17,0.0458,164071462.72,0.0122,0.069894,0.01867,3.744
T-07,win_rate_all,R03_player_dealer.csv,high,≥P90,51781,0.1001,43947206100.19,0.0758,572064169.19,0.0663,48776782584.91,0.0757,0.013017,0.01487,0.875
T-07,stake_p90_p50,K01_risk_feature_matrix.csv,high,≥P90,12012,0.1,2850595763.26,0.2436,43562744.65,0.2271,3179806503.94,0.2447,0.015282,0.016386,0.933
T-08,退水支出,S05_member_month_panel.csv,high,≥P90,278729,1,44769248858.29,1,732310132.07,1,49700607148.82,1,0.016357,0.016357,1
T-09,member_per_chain,C01_ip_chain.csv,high,≥P90,681,0.1009,54006296.43,0.1525,1499972.76,0.1664,59847148.31,0.1518,0.027774,0.025462,1.091
T-11,ip_order_share,I_ip_player.csv,high,≥P90,69663,0.1,1610668645.54,0.0043,31929762.87,0.0055,1785736832.25,0.0043,0.019824,0.015529,1.277
T-11,n_orders_ip,I_ip_player.csv,high,≥P90,69835,0.1003,66020412051.93,0.1777,1137700045.11,0.1972,73349512802.86,0.1778,0.017233,0.015529,1.11
T-11,jaccard,R02_same_table.csv,high,≥P90,46773,0.1,61431882608.57,0.0492,811204039.14,0.0499,68166934899.66,0.0492,0.013205,0.013004,1.015
T-11,member_per_chain,C01_ip_chain.csv,high,≥P90,681,0.1009,54006296.43,0.1525,1499972.76,0.1664,59847148.31,0.1518,0.027774,0.025462,1.091
T-12,stake_cv,K01_risk_feature_matrix.csv,low,≤P10,12007,0.1,654238522.92,0.0559,8080101.74,0.0421,724168925.21,0.0557,0.01235,0.016386,0.754
T-12,side_entropy,K01_risk_feature_matrix.csv,low,≤P10,12007,0.1,1058834732.39,0.0905,9387161.95,0.0489,1174164312.43,0.0904,0.008866,0.016386,0.541
T-13,night_share,K01_risk_feature_matrix.csv,high,≥P90,12009,0.1,468566507.52,0.04,8216761.12,0.0428,517608681.19,0.0398,0.017536,0.016386,1.07
T-15,生命周期阶段,S01_player_score.csv,—,≥P90,72357,0.1,8464687504.38,0.6995,145675854.91,0.6448,9399005269.59,0.6995,0.01721,0.01867,0.922
T-15,span_days,S01_player_score.csv,—,≥P90,72956,0.1008,8316343046.77,0.6872,146252641.93,0.6473,9229880962.3,0.6869,0.017586,0.01867,0.942
T-15,活跃稳定,S05_member_month_panel.csv,jump,≥P90,28093,0.1008,17195340880.27,0.3841,250845095.43,0.3425,19089377295.1,0.3841,0.014588,0.016357,0.892
T-15,流水贡献,S05_member_month_panel.csv,jump,≥P90,27873,0.1,34723596715.85,0.7756,515283390.75,0.7036,38559252132.65,0.7758,0.01484,0.016357,0.907
T-15,n_ip,S05_member_month_panel.csv,jump,≥P90,27939,0.1002,15168450664,0.3388,210132925.41,0.2869,16856581569.68,0.3392,0.013853,0.016357,0.847
