交付件,锚行,谓词行号,涉闸(层),真代码区谓词原文
Z08_roundkey_integrity.csv,655,667,bet02(Identity),WHERE bet02 = '101'
Z09_time_axis_recon.csv,713,722,bet02(Identity),WHERE bet02 = '101'
Z09_time_axis_recon.csv,713,726,dt(Window),"SUM(CASE WHEN dt = d_acct THEN 1 ELSE 0 END) AS dt等于账务日,"
Z09_time_axis_recon.csv,713,727,dt(Window),"SUM(CASE WHEN dt = DATE(t_bet) THEN 1 ELSE 0 END) AS dt等于下注日,"
Z11_sentinel_impact.csv,778,788,bet04(Quality),"OR CAST(bet04 AS VARCHAR) IN ('-1','0','') OR bet04 IS NULL"
Z11_sentinel_impact.csv,778,792,bet02(Identity),WHERE bet02 = '101'
Z14_zero_month_diagnosis.csv,836,890,age022(Population),WHERE age022 = '1'
Z14_zero_month_diagnosis.csv,836,900,dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
Z14_zero_month_diagnosis.csv,836,901,bet02(Identity),AND b.bet02 = '101'
Z14_zero_month_diagnosis.csv,836,923,rn(Identity),WHERE r.rn = 1
Z14_zero_month_diagnosis.csv,836,924,category(Population),AND r.category = '1'
Z14_zero_month_diagnosis.csv,836,925,bet38(State),AND UPPER(TRIM(r.bet38)) = 'N'
Z14_zero_month_diagnosis.csv,836,926,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
Z14_zero_month_diagnosis.csv,836,927,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
V_recon.csv,1359,1369,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
V_recon.csv,1359,1379,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
V_recon.csv,1359,1395,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
V_recon.csv,1359,1396,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
V_recon.csv,1359,1397,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
V_recon.csv,1359,1408,dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07' AND gi001 = '101'
I_ip_player.csv,1447,1452,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
I_ip_player.csv,1447,1465,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
I_ip_player.csv,1447,1475,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
I_ip_player.csv,1447,1476,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
I_ip_player.csv,1447,1477,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
I_ip_player.csv,1447,1478,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
C01_ip_chain.csv,1521,1526,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
C01_ip_chain.csv,1521,1539,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
C01_ip_chain.csv,1521,1549,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
C01_ip_chain.csv,1521,1550,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
C01_ip_chain.csv,1521,1551,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
C01_ip_chain.csv,1521,1552,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
C08_subnet_all.csv,1617,1622,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
C08_subnet_all.csv,1617,1635,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
C08_subnet_all.csv,1617,1645,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
C08_subnet_all.csv,1617,1646,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
C08_subnet_all.csv,1617,1647,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
C08_subnet_all.csv,1617,1648,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
C08_subnet_sparse.csv,1687,1692,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
C08_subnet_sparse.csv,1687,1705,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
C08_subnet_sparse.csv,1687,1715,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
C08_subnet_sparse.csv,1687,1716,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
C08_subnet_sparse.csv,1687,1717,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
C08_subnet_sparse.csv,1687,1718,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
S_second_dist.csv,1772,1777,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
S_second_dist.csv,1772,1790,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
S_second_dist.csv,1772,1800,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
S_second_dist.csv,1772,1801,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
S_second_dist.csv,1772,1802,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
S_second_dist.csv,1772,1803,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
D03S_daily_roi_diff.csv,1849,1854,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
D03S_daily_roi_diff.csv,1849,1867,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
D03S_daily_roi_diff.csv,1849,1877,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
D03S_daily_roi_diff.csv,1849,1878,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
D03S_daily_roi_diff.csv,1849,1879,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
D03S_daily_roi_diff.csv,1849,1880,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
S_player_tail.csv,1929,1940,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
S_player_tail.csv,1929,1952,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
S_player_tail.csv,1929,1962,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
S_player_tail.csv,1929,1963,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
S_player_tail.csv,1929,1964,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
S_player_tail.csv,1929,1965,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
S01_player_score.csv,2056,2061,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
S01_player_score.csv,2056,2074,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
S01_player_score.csv,2056,2084,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
S01_player_score.csv,2056,2085,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
S01_player_score.csv,2056,2086,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
S01_player_score.csv,2056,2087,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
S02_dealer_score.csv,2187,2202,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
S02_dealer_score.csv,2187,2214,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
S02_dealer_score.csv,2187,2224,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
S02_dealer_score.csv,2187,2225,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
S02_dealer_score.csv,2187,2226,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
S02_dealer_score.csv,2187,2227,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
S03_agent_score.csv,2325,2330,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
S03_agent_score.csv,2325,2343,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
S03_agent_score.csv,2325,2353,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
S03_agent_score.csv,2325,2354,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
S03_agent_score.csv,2325,2355,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
S03_agent_score.csv,2325,2356,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
S05_member_month_panel.csv,2463,2468,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
S05_member_month_panel.csv,2463,2481,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
S05_member_month_panel.csv,2463,2491,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
S05_member_month_panel.csv,2463,2492,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
S05_member_month_panel.csv,2463,2493,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
S05_member_month_panel.csv,2463,2494,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
I_ip_agg.csv,2544,2549,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
I_ip_agg.csv,2544,2562,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
I_ip_agg.csv,2544,2571,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
I_ip_agg.csv,2544,2572,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
I_ip_agg.csv,2544,2573,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
I_ip_agg.csv,2544,2574,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
X_combo.csv,2625,2630,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
X_combo.csv,2625,2643,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
X_combo.csv,2625,2652,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
X_combo.csv,2625,2653,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
X_combo.csv,2625,2654,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
X_combo.csv,2625,2655,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
P_player_month.csv,2714,2719,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
P_player_month.csv,2714,2732,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
P_player_month.csv,2714,2741,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
P_player_month.csv,2714,2742,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
P_player_month.csv,2714,2743,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
P_player_month.csv,2714,2744,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
B_online_base.csv,2778,2783,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
B_online_base.csv,2778,2796,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
B_online_base.csv,2778,2805,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
B_online_base.csv,2778,2806,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
B_online_base.csv,2778,2807,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
B_online_base.csv,2778,2808,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
V_ipmatch.csv,2866,2870,bet02(Identity)、dt(Window),WHERE dt>='2026-03-21' AND dt<'2026-08-07' AND bet02='101'
V_ipmatch.csv,2866,2875,dt(Window),WHERE dt>='2026-03-21' AND dt<'2026-08-07'
R01_late_shoe.csv,3281,3285,age022(Population),WHERE age022 = '1'
R01_late_shoe.csv,3281,3296,dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
R01_late_shoe.csv,3281,3297,bet02(Identity),AND b.bet02 = '101'
R01_late_shoe.csv,3281,3313,rn(Identity),WHERE r.rn = 1
R01_late_shoe.csv,3281,3314,category(Population),AND r.category = '1'
R01_late_shoe.csv,3281,3315,bet38(State),AND UPPER(TRIM(r.bet38)) = 'N'
R01_late_shoe.csv,3281,3316,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
