dt,n_rows,n_bet01,n_extra_versions,extra_rate_pct
2026-03-21,117347,117347,0,0.000000
2026-03-22,820241,820241,0,0.000000
2026-03-23,849393,849393,0,0.000000
2026-03-24,915653,915653,0,0.000000
2026-03-25,937788,937788,0,0.000000
2026-03-26,946247,946247,0,0.000000
2026-03-27,929850,929850,0,0.000000
2026-03-28,915456,915456,0,0.000000
2026-03-29,809322,809322,0,0.000000
2026-03-30,917495,917495,0,0.000000
2026-03-31,1021920,1021920,0,0.000000
2026-04-01,1042083,1042083,0,0.000000
2026-04-02,1035968,1035968,0,0.000000
2026-04-03,1007977,1007977,0,0.000000
2026-04-04,978381,978381,0,0.000000
2026-04-05,848116,848116,0,0.000000
2026-04-06,954868,954868,0,0.000000
2026-04-07,1015821,1015821,0,0.000000
2026-04-08,1060474,1060474,0,0.000000
2026-04-09,1058782,1058782,0,0.000000
2026-04-10,1169761,1169761,0,0.000000
2026-04-11,1072130,1072130,0,0.000000
2026-04-12,913273,913273,0,0.000000
2026-04-13,809091,809091,0,0.000000
2026-04-14,995379,995379,0,0.000000
2026-04-15,1008405,1008405,0,0.000000
2026-04-16,1014774,1014774,0,0.000000
2026-04-17,977213,977213,0,0.000000
2026-04-18,969837,969837,0,0.000000
2026-04-19,796730,796730,0,0.000000
2026-04-20,731037,731037,0,0.000000
2026-04-21,984938,984938,0,0.000000
2026-04-22,925625,925625,0,0.000000
2026-04-23,859221,859221,0,0.000000
2026-04-24,1037312,1037312,0,0.000000
2026-04-25,910457,910457,0,0.000000
2026-04-26,766327,766327,0,0.000000
2026-04-27,826219,826219,0,0.000000
2026-04-28,965434,965434,0,0.000000
2026-04-29,1000348,1000348,0,0.000000
2026-04-30,1043584,1043584,0,0.000000
2026-05-01,976795,976795,0,0.000000
2026-05-02,986412,986412,0,0.000000
2026-05-03,823433,823433,0,0.000000
2026-05-04,931550,931550,0,0.000000
2026-05-05,1064920,1064920,0,0.000000
2026-05-06,992924,992924,0,0.000000
2026-05-07,973585,973585,0,0.000000
2026-05-08,1002826,1002826,0,0.000000
2026-05-09,1003956,1003956,0,0.000000
2026-05-10,919926,919926,0,0.000000
2026-05-11,887559,887559,0,0.000000
2026-05-12,963343,963343,0,0.000000
2026-05-13,932696,932696,0,0.000000
2026-05-14,910555,910555,0,0.000000
2026-05-15,947940,947940,0,0.000000
2026-05-16,936903,936903,0,0.000000
2026-05-17,771917,771917,0,0.000000
2026-05-18,815920,815920,0,0.000000
2026-05-19,1845756,922878,922878,50.000000
2026-05-20,882119,882119,0,0.000000
2026-05-21,832684,832684,0,0.000000
2026-05-22,809679,809679,0,0.000000
2026-05-23,810727,810727,0,0.000000
2026-05-24,714080,714080,0,0.000000
2026-05-25,679618,679618,0,0.000000
2026-05-26,828918,828918,0,0.000000
2026-05-27,818215,818215,0,0.000000
2026-05-28,824356,824356,0,0.000000
2026-05-29,939130,939130,0,0.000000
2026-05-30,893698,893698,0,0.000000
2026-05-31,803935,803935,0,0.000000
2026-06-01,841970,841970,0,0.000000
2026-06-02,954551,954551,0,0.000000
2026-06-03,897190,897190,0,0.000000
