file,bytes,n_rows,date_col,n_distinct_dates,date_range,id_cols,n_members
B01_bt_panel.csv,2485092431,2150000,bet_date,139,2026-03-21 .. 2026-08-06,member_id,701511
P12c_member_daily_pnl.csv,1847900843,1595911,dt,139,2026-03-21 .. 2026-08-06,uid,
T02_daily_roi.csv,1363345547,1160259,bet_date,139,2026-03-21 .. 2026-08-06,member_id,26941
P_player_month.csv,1108462465,1030097,ym,6,2026-03-01 .. 2026-08-01,member_id,723442
R03b_player_dealer_daily_b1_to_b8.csv,1149197044,800000,bet_date,139,2026-03-21 .. 2026-08-06,uid|dealer_id,
PI04_member_5d_profile.csv,803999329,723442,first_date,139,2026-03-21 .. 2026-08-06,member_id,723442
PI04_member_5d_profile.csv,803999329,723442,last_date,139,2026-03-21 .. 2026-08-06,member_id,723442
S05_member_month_panel.csv,335304114,278729,bet_date,6,2026-03-01 .. 2026-08-01,member_id,168103
B01_bt_panel_delta.csv,68238554,50811,bet_date,3,2026-08-04 .. 2026-08-06,member_id,36340
Z14_zero_month_diagnosis.csv,16699477,14060,bet_month,6,2026-03-01 .. 2026-08-01,member_id,13923
Z14_zero_month_diagnosis.csv,16699477,14060,n_rounds_month,109,1 .. 99,member_id,13923
Z14_zero_month_diagnosis.csv,16699477,14060,n_days_month,20,1 .. 7,member_id,13923
Z14_zero_month_diagnosis.csv,16699477,14060,n_tables_month,28,1 .. 9,member_id,13923
EV02_member_disposal.csv,14479144,8707,event_date,139,2026-03-21 .. 2026-08-06,"",
TL08_treatment_events.csv,9510826,8707,action_date,139,2026-03-21 .. 2026-08-06,member_id,2948
TL10_treatment_ledger.csv,6547504,8589,action_date,138,2026-03-21 .. 2026-08-06,member_id,1497
EV01_disposal_events.csv,5326328,3753,event_date,139,2026-03-21 .. 2026-08-06,"",
P01C_split_by_dim.csv,4272342,2999,ym,6,2026-03-01 .. 2026-08-01,"",
VB_41c1_964_detail.csv,1313934,964,dt,22,2026-03-25 .. 2026-07-29,bet01|member_id|table_id,420
TL14_limit_treatment.csv,537165,568,action_date,118,2026-03-21 .. 2026-08-06,member_id,484
R01anm_shoe_anomaly.csv,558432,377,dt,128,2026-03-22 .. 2026-08-06,table_id,
TL11_treatment_episode.csv,419671,315,start_date,67,2026-03-23 .. 2026-08-03,member_id,154
TL11_treatment_episode.csv,419671,315,release_date,60,2026-03-24 .. 2026-08-07,member_id,154
TL11_treatment_episode.csv,419671,315,last_bet_date,77,2026-03-23 .. 2026-08-06,member_id,154
TL03b_pseudo_treatment.csv,177439,148,prev_date,6,2026-04-04 .. 2026-05-18,member_id,7
TL03b_pseudo_treatment.csv,177439,148,change_date,6,2026-05-28 .. 2026-07-13,member_id,7
_PH0_6b_member_daily.csv,189056,139,dt_day,139,2026-03-21 .. 2026-08-06,"",
P12a_platform_daily.csv,197172,139,dt,139,2026-03-21 .. 2026-08-06,"",
TL06_log_mem_change.csv,186193,139,dt,139,2026-03-21 .. 2026-08-06,"",
D03S_daily_roi_diff.csv,191604,138,bet_date,138,2026-03-22 .. 2026-08-06,"",
K01c_seed_dated.csv,10158,18,add_date,14,2022-03-27 .. 2026-08-09,"",
_PH0_3_lmc_category.csv,6761,3,dt_min,3,2017-07-25 .. 2020-03-19,"",
_PH0_3_lmc_category.csv,6761,3,dt_max,1,2026-08-31 .. 2026-08-31,"",
VB_41c2_concentration.csv,5518,2,min_date,2,2026-03-25 .. 2026-07-20,"",
VB_41c2_concentration.csv,5518,2,max_date,2,2026-07-20 .. 2026-07-29,"",
VB_41c2_concentration_v2.csv,5408,2,st_date,2,HIGH .. NEAR,"",
_PH0_4w2_balance_points.csv,3836,1,dt_slice,1,2026-06-15 .. 2026-06-15,"",
PH0_8r1_rg_case.csv,3226,1,dt_day,1,2020-07-22 .. 2020-07-22,"",
