field_grp,events,members,with_pre,with_post,with_both,stake_pre,stake_post,ggr_pre,ggr_post,hold_pre_pct,hold_post_pct,d_ggr
10x-mem015（分产品限额）,658,114,418,600,360,543379922,2357001316,-5915918,37332786,-1.089,1.584,43248704
mem015,339,140,323,222,206,668255220,448279000,3986258,7864490,0.597,1.754,3878232
mem017,337,140,321,220,204,665789024,447797519,3939746,7848769,0.592,1.753,3909023
mem016,116,67,102,63,49,169267257,230379255,1813875,4760801,1.072,2.067,2946925
mem022,64,64,45,56,37,34968635,225030105,-911520,4117631,-2.607,1.83,5029151
mem004,60,31,46,55,41,97275990,118773428,1988134,2619069,2.044,2.205,630935
110-mem015,48,46,29,46,27,40286522,192986048,-1227821,2147196,-3.048,1.113,3375017
111-mem015,47,45,28,45,26,24000230,165957158,-737307,2414238,-3.072,1.455,3151545
128-mem015,44,43,27,42,25,23841434,164113526,-706185,2280255,-2.962,1.389,2986440
opengame,12,12,5,11,4,1293527,4315674,-2064,-15154,-0.16,-0.351,-13090
oldred,6,6,5,4,3,4827840,1842605,225635,-102525,4.674,-5.564,-328160
oldtip,6,6,5,4,3,4827840,1842605,225635,-102525,4.674,-5.564,-328160
remark,4,4,1,4,1,1253712,46623947,-14772,1234906,-1.178,2.649,1249679
108-mem003,3,2,2,3,2,129366,19356879,15514,521557,11.993,2.694,506042
101-mem003,2,2,1,2,1,64683,19340884,7757,520094,11.993,2.689,512337
102-mem003,2,2,1,2,1,64683,19340884,7757,520094,11.993,2.689,512337
103-mem003,2,2,1,2,1,64683,19340884,7757,520094,11.993,2.689,512337
104-mem003,2,2,1,2,1,64683,19340884,7757,520094,11.993,2.689,512337
105-mem003,2,2,1,2,1,64683,19340884,7757,520094,11.993,2.689,512337
106-mem003,2,2,1,2,1,64683,19340884,7757,520094,11.993,2.689,512337
107-mem003,2,2,1,2,1,64683,19340884,7757,520094,11.993,2.689,512337
110-mem003,2,2,1,2,1,64683,19340884,7757,520094,11.993,2.689,512337
111-mem003,2,2,1,2,1,64683,19340884,7757,520094,11.993,2.689,512337
128-mem003,2,2,1,2,1,64683,19340884,7757,520094,11.993,2.689,512337
conwinprompt,1,1,1,1,1,16876062,79951739,518205,1945711,3.071,2.434,1427506
