metric,value
platform_members,723442
platform_stake,13436093473.8042
platform_valid_bet,12101545165.175
platform_ggr,225932201.6256
platform_rebate_cost,8220755.9046
platform_ngr,217711445.731
platform_net_margin_bet23,208511584.8816
platform_hold_pct,1.68153192790814
platform_ngr_pct,1.6203478053756
platform_net_margin_pct,1.55187655763282
ngr_neg_members,215793
ngr_neg_sum,-132730263.426
evidence_L5_members,719125
ngr_top1pct_share,105.178256807972
ngr_top10pct_share,149.093983977748
rebate_members,18616
rebate_members_rebate,8220755.9046
rebate_members_ggr,13573394.3022
rebate_members_ngr,5352638.4076
rebate_members_stake,1096847183.6789
rebate_members_hold_pct,1.23749183151238
rebate_members_ngr_pct,0.488002201878924
rebate_members_ngr_neg_n,5876
rebate_members_ngr_neg_rebate,3371446.9589
rebate_members_ngr_neg_ngr,-11241561.4046
rebate_leak_excess_of_win,11241561.4082
rebate_leak_members,5876
L1_saving_total,-326.013417058521
L1_saving_A,0
L1_saving_B,0
L1_cost_D,-325.992203
L1_n_A,0
L1_n_B,0
L1_n_C,3307
L1_n_D,3717
L1_n_E,11592
L1_ngr_A,0
L1_ngr_B,0
L1_ngr_D,664060.764
L1_rebate_A,0
L1_rebate_B,0
L1_rebate_D,6590.6353
A_bucket_members,34990
A_bucket_net_margin,-97809464
A_bucket_stake,3359280034
D_bucket_members,69269
D_bucket_net_margin,277948060
D_bucket_stake,9627277924
Z_bucket_members,562286
Z_bucket_net_margin,27850934
T03_members,80631
T03_hedge_pos_members,26557
T03_hedge_ge20_members,702
T03_hedge_ge20_rebate,95739.3763064907
T03_hedge_ge20_ggr,2341634.25606256
T03_hedge_ge20_stake,135112823.240155
T03_hedge_ge20_ngr,2150155.5043
K01_seed0_n,120063
K01_seed0_hold_pct,1.476
K01_seed0_ngr,183708832
K01_seed0_stake,12993738279
