metric,value
gross_ggr,234152957.5302
ngr_true,225932201.6256
rebate,8220755.9046
stake,13436093473.8042
valid_bet,12101545165.175
hold_gross_stake_pct,1.74271605051512
hold_gross_validbet_pct,1.93490132321308
ngr_rate_pct,1.68153192790814
net_margin_candidate,216732341.4868
net_margin_candidate_pct,1.6130606854541
agent_cost_formal,9199860.1388
agent_cost_lv1,9199860.1388
agent_cost_lv2,9381979.4963
agent_cost_lv3,9615816.7587
agent_cost_lv4,9858968.5662
agent_cost_lv5,9338000.1772
agent_cost_spread,659108.427399999
members_ngr_negative,215481
members_ngr_negative_sum,-130279337.8378
members_gross_negative,215027
rebate_members,18616
rebate_members_ggr_gross,21794150.2068
rebate_members_ngr,13573394.3022
rebate_members_rebate,8220755.9046
rebate_members_stake,1096847183.6789
rebate_members_hold_gross_pct,1.98698146205754
rebate_members_ngr_rate_pct,1.23749183151238
rebate_members_ngr_negative_n,5564
rebate_members_ngr_negative_rebate,2083323.3223
rebate_members_ngr_negative_ngr,-8790635.8164
rebate_members_n_rounds,4279120
other_products_stake,4900008007.84922
other_products_ggr,130751499.175083
other_products_members,727673
pi01_d_revenue_ci_lo,-81138.5080000001
pi01_d_revenue_ci_hi,9367442.16075
tl10_members,1497
tl10_members_in_P12c,248
tl14_members_in_P12c,114
