table,census_verdict,pack_credibility,pack_usage,pack_mcode,pack_entity,rows,ncol,n_own
A_anchor.csv,BROADCAST_CONSTANT,OK,SCREENING,M06,IP,18,132,14
B01_bt_panel.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M15,会员,2150000,141,23
B01_bt_panel_delta.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M15,会员,50811,141,23
B4_2b_funnel_and_mu0.csv,PER_ROW,INVALID,NOT_FOR_DECISION,M14,全窗/元数据,1,153,35
B4_5b_tip_nature.csv,PER_ROW,OK,SCREENING,M14,IP,3,143,25
B_online_base.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,Z00,桌台,836,134,16
C01_ip_chain.csv,PER_ROW,OK,SCREENING,M04,IP,6752,147,29
C06_hedge_pairs.csv,PER_ROW,WRONG_GRAIN,SCREENING,M02,IP,1935,134,16
C06d_hedge_pairs_dated.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M02,会员,1935,136,18
C08_subnet_all.csv,MIXED,INVALID,SCREENING,M04,网段,45907,142,24
C08_subnet_sparse.csv,BROADCAST_CONSTANT,INVALID,SCREENING,M04,网段,38733,142,24
D03S_daily_roi_diff.csv,PER_ROW,OK,REFERENCE,M15,日期,138,134,16
DICT_01a_bet41_tri.csv,PER_ROW,INVALID,NOT_FOR_DECISION,M05,全窗/元数据,1,141,23
DICT_01b_roundkey_card.csv,PER_ROW,INVALID,NOT_FOR_DECISION,Z00,全窗/元数据,1,141,23
DICT_01c_dimension.csv,PER_ROW,INVALID,NOT_FOR_DECISION,Z00,全窗/元数据,1,139,21
DICT_01d_bet_latency.csv,PER_ROW,OK,REFERENCE,Z00,全窗/元数据,30,141,23
DX04_bet09_profile.csv,PER_ROW,OK,SUPPORT,M14,产品,23,136,18
DX05_product_panorama.csv,MIXED,OK,SUPPORT,M14,产品,8,142,24
E02_segment_econ.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M05,全窗/元数据,59,136,18
EV01_disposal_events.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M09,日期,3753,140,22
EV02_member_disposal.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M09,会员,8707,139,21
I_ip_agg.csv,PER_ROW,OK,SCREENING,M04,IP,8660,141,23
I_ip_player.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M04,会员,696403,147,29
K01_risk_feature_matrix.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M11,会员,120063,142,24
K01b_seed_manual.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M11,会员,125,129,11
K01c_seed_dated.csv,BROADCAST_CONSTANT,WRONG_GRAIN,SCREENING,M04,IP,18,133,15
L_label_dist.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M11,全窗/元数据,3,133,15
P01A_crosstab.csv,PER_ROW,INVALID,NOT_FOR_DECISION,M05,全窗/元数据,1,140,22
P01B_diff_ratio.csv,PER_ROW,INVALID,NOT_FOR_DECISION,M05,全窗/元数据,1,138,20
P01C_split_by_dim.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M05,产品,2999,141,23
P01D_vs_validbet.csv,PER_ROW,INVALID,NOT_FOR_DECISION,M05,全窗/元数据,1,136,18
P01E_identity_test.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M05,风控专员,2,135,17
P02A_lmc_samples.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M09,全窗/元数据,1200,136,18
P02B_changestatus_patterns.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M09,全窗/元数据,49,133,15
P02C_key_check.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M09,全窗/元数据,7,135,17
P02D_events_in_window.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M09,全窗/元数据,18,131,13
P0C02_标签口径.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,全窗/元数据,3,133,15
P0C03_标记次数分布.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,全窗/元数据,25,130,12
P0C04_同日泄漏检验.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M05,全窗/元数据,125,134,16
P0C05_标记时点定位.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,Z00,全窗/元数据,125,135,17
P0C06_LabelB骨架.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M02,全窗/元数据,3833,135,17
P0C09_安慰剂检验.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M05,全窗/元数据,4807,134,16
P11_阿泽尾段投注总帐.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M03,全窗/元数据,2,148,30
P11_阿泽尾段投注模型会员名单.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M03,会员,2722,136,18
P11_雷欧尾段投注总帐.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M03,全窗/元数据,2,148,30
P12a_platform_daily.csv,PER_ROW,OK,REFERENCE,Z00,日期,139,136,18
P12b_member_events.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M09,会员,723442,135,17
P12c_member_daily_pnl.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M15,会员,1595911,133,15
P13_personal_entry.csv,PER_ROW,OK,PRIMARY,M03,会员,92412,134,16
PH0_8r1_rg_case.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M10,日期,1,135,17
PH0_8r2_rg_crosstable.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M10,桌台,5,132,14
PI01_treatment_delta_member.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M09,会员,186,148,30
PI02_treatment_delta_platform.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M09,全窗/元数据,3,140,22
PI03_reinvest_loop.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M13,全窗/元数据,3,140,22
PI04_member_5d_profile.csv,PER_ROW,OK,PRIMARY,M15,会员,723442,147,29
P_player_month.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M15,会员,1030097,136,18
QSB_01a_category_census.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M14,全窗/元数据,2,149,31
QSB_01c_cat1_contamination.csv,PER_ROW,OK,SUPPORT,M14,产品,23,137,19
QSB_02a_lowcard_fields.csv,PER_ROW,INVALID,NOT_FOR_DECISION,M14,全窗/元数据,1,145,27
QSB_02b2_lowcard_five_gates.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M14,全窗/元数据,29,146,28
QSB_02b_state_cross.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M14,全窗/元数据,29,136,18
QSB_02c_push_by_family.csv,BROADCAST_CONSTANT,INVALID,NOT_FOR_DECISION,M14,会员,8,137,19
R01_late_shoe.csv,PER_ROW,OK,PRIMARY,M03,会员,92412,142,24
R01_late_shoe_w2.csv,PER_ROW,OK,PRIMARY,M03,会员,16897,142,24
R01anm_shoe_anomaly.csv,PER_ROW,WRONG_GRAIN,NOT_FOR_DECISION,M03,桌台,377,138,20
