bet_side,is_freecomm,n_orders,n_member,n_table,stake,valid_bet,profit,ggr,rebate_cost,hold_valid_bet,hold_rate,valid_over_stake,ci95_halfwidth_crude,ess_valid_bet,ess_ratio,company_pct_unw,company_pct_w,rebate_pct_unw,rebate_pct_w,evidence_flag,weight_evidence_flag,caliber,audit_rn,run_id,snapshot_sync_time,batch_id
Banker,0,42341070,548290,30,6079187454.0629,5466268943.5382,70561100.4651,74538932.8245,3977832.3594,0.01290846,0.01160700,0.89917756,0.00815905,1028576.4,0.02429264,96.012008,,0.036814,,OK,OK,REALIZED_NOT_THEORETICAL,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00,1
Player,0,40494728,581311,30,5211657257.2494,4679724245.1261,63985443.5427,66286922.4262,2301478.8835,0.01367291,0.01227737,0.89793400,0.00068306,953171.9,0.02353817,96.030293,,0.034377,,OK,OK,REALIZED_NOT_THEORETICAL,2,A168_HF9F_20260827_0900,2026-08-27 09:00:00,1
Banker,1,4134815,60439,30,957028004.6693,837364321.5457,11509752.6627,12441267.1447,931514.4820,0.01374522,0.01202656,0.87496324,0.00114374,144494.6,0.03494585,95.943340,,0.061484,0.111244,OK,OK,REALIZED_NOT_THEORETICAL,3,A168_HF9F_20260827_0900,2026-08-27 09:00:00,1
Player,1,3390730,57518,30,697764301.1882,627969791.8762,7766928.3962,8414431.4941,647503.0979,0.01236832,0.01113116,0.89997409,0.0019642,110139.1,0.03248241,95.953738,,0.055411,0.103112,OK,OK,REALIZED_NOT_THEORETICAL,4,A168_HF9F_20260827_0900,2026-08-27 09:00:00,1
Tie,0,9110333,145116,30,134206935.6972,134206935.6972,20201309.0748,20318347.1774,117038.1026,0.15052358,0.15052358,1.00000000,0.00171156,615925.3,0.06760733,95.964770,,0.046199,0.087207,OK,OK,REALIZED_NOT_THEORETICAL,5,A168_HF9F_20260827_0900,2026-08-27 09:00:00,1
Super6,0,4266727,75744,30,67159054.7638,67159054.7638,13745171.3131,13785736.4732,40565.1601,0.20466594,0.20466594,1.00000000,0.00323568,337935.4,0.07920248,95.942203,,0.048742,0.060402,OK,OK,REALIZED_NOT_THEORETICAL,6,A168_HF9F_20260827_0900,2026-08-27 09:00:00,1
BPair,0,5534664,94288,30,64966155.0554,64966155.0554,6870422.4328,6897817.0261,27394.5933,0.10575387,0.10575387,1.00000000,0.00262807,414094.8,0.07481842,95.975775,,0.040767,0.042168,OK,OK,REALIZED_NOT_THEORETICAL,7,A168_HF9F_20260827_0900,2026-08-27 09:00:00,1
PPair,0,5405548,95971,30,63453441.3449,63453441.3449,6434964.2137,6461887.6327,26923.4190,0.10141238,0.10141238,1.00000000,0.00266168,417431.6,0.07722281,95.977005,,0.040458,0.042430,OK,OK,REALIZED_NOT_THEORETICAL,8,A168_HF9F_20260827_0900,2026-08-27 09:00:00,1
Lucky7,0,4050621,77341,30,53544214.7310,53544214.7310,9763229.5347,9796862.6119,33633.0772,0.18233958,0.18233958,1.00000000,0.00291915,345344.9,0.08525726,95.949421,,0.047929,0.062814,OK,OK,REALIZED_NOT_THEORETICAL,9,A168_HF9F_20260827_0900,2026-08-27 09:00:00,1
SuperLucky7,0,2899180,79627,30,19906962.9804,19906962.9804,3346250.3825,3355861.9473,9611.5648,0.16809447,0.16809447,1.00000000,0.00793685,312327.6,0.10772964,95.960730,,0.047046,0.048283,OK,OK,REALIZED_NOT_THEORETICAL,10,A168_HF9F_20260827_0900,2026-08-27 09:00:00,1
