round_key,table_id,shoe_key,round_seq,biz_date,n_dealer_id,dealer_id_min,n_members,n_bets,n_bet_family,stake,validbet,ggr,rebate,hold_pct,stake_per_bet,stake_per_member,bets_per_member,n_zero_validbet,is_multiparty,n_member_pairs,audit_rn,run_id,snapshot_sync_time,batch_id
114672916|18|112,112,114672916,18,2026-06-11,1,2251,57,82,8,4069.4907,4069.4907,1601.0798,0.0997,39.343494,49.6279,71.3946,1.4386,0,1,1596,3530001,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|19|112,112,114672916,19,2026-06-11,1,2251,46,64,9,3035.6747,3035.6747,-1017.5362,0.3490,-33.519276,47.4324,65.9929,1.3913,0,1,1035,3530002,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|2|112,112,114672916,2,2026-06-11,1,970,14,15,3,2263.0968,2.5716,2.5716,0.0000,100.000000,150.8731,161.6498,1.0714,14,1,91,3530003,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|20|112,112,114672916,20,2026-06-11,1,2251,50,75,8,5304.2085,5295.0691,-1312.7863,0.3523,-24.792619,70.7228,106.0842,1.5000,1,1,1225,3530004,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|21|112,112,114672916,21,2026-06-11,1,2251,64,92,8,4654.0595,4649.9052,185.7744,0.4520,3.995230,50.5876,72.7197,1.4375,1,1,2016,3530005,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|22|112,112,114672916,22,2026-06-11,1,2251,67,84,10,6482.5570,6442.5570,4615.8455,7.4863,71.646172,77.1733,96.7546,1.2537,1,1,2211,3530006,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|23|112,112,114672916,23,2026-06-11,1,2251,48,59,6,5763.2013,5737.4858,4379.1197,0.2527,76.324716,97.6814,120.0667,1.2292,2,1,1128,3530007,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|24|112,112,114672916,24,2026-06-11,1,2251,45,59,8,2332.4952,2332.4952,-1302.4576,1.0303,-55.839670,39.5338,51.8332,1.3111,0,1,990,3530008,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|25|112,112,114672916,25,2026-06-11,1,2251,38,52,8,2048.8482,2048.8482,-213.8167,0.0332,-10.435946,39.4009,53.9171,1.3684,0,1,703,3530009,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|26|112,112,114672916,26,2026-06-11,1,2251,30,45,7,1673.5673,1632.4225,727.5795,1.3344,44.570538,37.1904,55.7856,1.5000,1,1,435,3530010,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|27|112,112,114672916,27,2026-06-11,1,2251,34,43,7,2218.5653,17.8034,-19.5852,0.0000,-110.007966,51.5945,65.2519,1.2647,35,1,561,3530011,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|28|112,112,114672916,28,2026-06-11,1,2251,27,40,8,1408.0272,1408.0272,783.5211,1.4891,55.646735,35.2007,52.1492,1.4815,0,1,351,3530012,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|29|112,112,114672916,29,2026-06-11,1,2251,45,70,8,2502.8264,2477.9006,-589.9120,2.1175,-23.806927,35.7547,55.6184,1.5556,3,1,990,3530013,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|3|112,112,114672916,3,2026-06-11,1,970,19,31,7,2507.3704,2507.3704,545.0309,3.5524,21.737153,80.8829,131.9669,1.6316,0,1,171,3530014,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|30|112,112,114672916,30,2026-06-11,1,2251,35,54,7,1880.6870,1880.6870,555.8826,0.1869,29.557424,34.8275,53.7339,1.5429,0,1,595,3530015,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|31|112,112,114672916,31,2026-06-11,1,2251,42,60,7,2273.5321,2273.5321,370.4346,1.4159,16.293353,37.8922,54.1317,1.4286,0,1,861,3530016,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|32|112,112,114672916,32,2026-06-11,1,2251,39,54,9,2036.1129,201.6753,-37.1577,0.0000,-18.424499,37.7058,52.2080,1.3846,40,1,741,3530017,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|33|112,112,114672916,33,2026-06-11,1,2251,56,97,9,3928.6031,3865.1245,1587.5562,0.7779,41.073870,40.5011,70.1536,1.7321,4,1,1540,3530018,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|34|112,112,114672916,34,2026-06-11,1,2103,46,71,8,2600.0370,2438.2250,1116.9303,2.4926,45.809157,36.6202,56.5225,1.5435,2,1,1035,3530019,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
114672916|35|112,112,114672916,35,2026-06-11,1,2103,34,45,6,2733.0346,2733.0346,680.0103,0.1662,24.881145,60.7341,80.3834,1.3235,0,1,561,3530020,A168_HF9F_20260827_0900,2026-08-27 09:00:00,354
