table_id,n_orders,p50,p75,p90,p95,p99,max_progress,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
900,46032,0.2666667103767395,0.3793103098869324,0.44680848717689514,0.47826090455055237,0.5227273106575012,0.6097561,4700866.8383,4273300.2609,-57756.2773,46032,3854,0.01228630,,0.01228630,0.01182288,57756.2773,4700866.8383,OK,2178.4941,-2945.6170,4.0177,95.9823,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,-2945.6170,-3676.1466,-4099.6802,-3327.0529,1657.4008,4.017738,4.043980,4.222082,4.810678,4.727304,95.982262,95.956020,95.777918,95.189322,95.272696,4.9939,-12391.0959,-8758.0959,-47543.6754,-51176.6755,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,-54810.6603,4097352.9786,-59934.7714,-56989.1544,-5124.1110,-0.01274973,-0.01212312,-2945.6170,-56989.1544,-0.01212312,-2945.6170,-3676.1466,-4099.6802,-3327.0529,1657.4008,-56989.1544,-0.01212312,-12391.0959,-8758.0959,-47543.6754,-51176.6755,-0.01011381,-0.01088665,-0.00109004,102.1217,1108.7961,-14.9861,-14439.0693,-825.0897,1175216.7096,963.5000,,102.1217,4.4018,15.6137,52.6635,208.5149,438.3273,1316.5863,13.1659,-2.2009,28.073204,84.322362,6.540509,1,1,7862,16,0E-8,-0.01228630,,0.00050979,0.034504,0.909045,0.072623,,2026-03-23,2026-03-26,4,70,4,4,1.000000,,,0.000000,1,0.0,1.0,1.0,0.0,0.0,0.0,n_rounds>=30,30,30,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L4_CI_3P0,0.02999327,A 净亏最大十分位 · 优先复核,1,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
909,1095461,0.28333330154418945,0.4000000059604645,0.47058820724487305,0.5102040767669678,0.5609756112098694,0.7142857,172891683.6820,156091053.8964,326422.5822,1472983,163316,-0.00188802,0.00569600,-0.00442830,-0.00241057,-326422.5822,172891683.6820,OK,90344.9058,21239.4993,4.0046,95.9954,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,4.004604,4.052334,4.227946,4.577194,4.427665,95.995396,95.947666,95.772054,95.422806,95.572335,4.9858,121247.1265,104559.9472,114830.5499,131517.7292,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,305183.0829,149748846.9910,236077.6764,214838.1771,-69105.4065,0.00136547,0.00124262,21239.4993,214838.1771,0.00124262,21239.4993,22856.7421,23122.8854,31438.5415,22589.4583,214838.1771,0.00124262,121247.1265,104559.9472,114830.5499,131517.7292,0.00066418,0.00076069,-0.00039970,117.3752,955.7609,1.9987,2382.6466,99.8845,1261983.0926,1192.0876,122.8799,115.6400,5.1636,17.9427,57.0043,204.3903,408.7806,1663.6167,12.9729,-2.1082,22.782523,92.718158,6.541659,1,1,204942,16,0.25090955,0.00188802,-0.00569600,0.00057880,0.044980,0.902826,0.082326,0.01012430,2026-03-23,2026-08-06,137,3268,137,137,1.000000,1.062607,1.046898,0.836365,1,0.034482758620689655,0.9655172413793104,0.9655172413793104,0.1724137931034483,0.1724137931034483,0.1724137931034483,n_rounds>=30,30,30,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.0046075,A 净亏最大十分位 · 优先复核,2,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
911,1020574,0.28070271015167236,0.3965516984462738,0.4680851101875305,0.5,0.5581395030021667,0.7083333,160509891.1148,144240042.1795,1993016.6253,1386546,161982,-0.01241678,-0.01667204,-0.01109783,-0.01293286,-1993016.6253,160509891.1148,OK,82835.9080,75873.1684,4.0004,95.9996,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,75873.1684,64465.4368,76440.2185,67216.9074,62667.2764,4.000376,4.044539,4.220232,4.585286,4.436387,95.999624,95.955461,95.779768,95.414714,95.563613,4.9857,346663.0074,316302.6028,1563517.7099,1593878.1145,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,1917143.4570,138365097.2980,1910180.7174,1834307.5490,-6962.7396,0.01190070,0.01142800,75873.1684,1834307.5490,0.01142800,75873.1684,64465.4368,76440.2185,67216.9074,62667.2764,1834307.5490,0.01142800,346663.0074,316302.6028,1563517.7099,1593878.1145,0.00974094,0.00993009,-0.00004338,115.7624,890.4696,12.3039,14547.5666,614.1808,1171605.0446,1182.3504,118.1305,115.0475,5.1636,18.0724,56.9351,203.6256,403.506,1607.7814,12.9729,-2.1082,22.327139,88.963136,6.405464,1,1,196809,16,0.23661734,0.01241678,0.01667204,0.00057429,0.043235,0.898636,0.082244,-0.00557421,2026-03-23,2026-08-06,137,3245,137,137,1.000000,1.026797,1.020456,0.788724,1,0.06896551724137931,0.896551724137931,0.896551724137931,0.10344827586206896,0.10344827586206896,0.10344827586206896,n_rounds>=30,30,30,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00462643,A 净亏最大十分位 · 优先复核,3,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
913,993126,0.2857142984867096,0.4000000059604645,0.47058820724487305,0.5,0.5581395030021667,0.6944444,149787009.1904,135414979.4133,2335998.4195,1359037,158705,-0.01559547,-0.01490110,-0.01583686,-0.01608134,-2335998.4195,149787009.1904,OK,72777.1409,112063.2975,3.9960,96.0040,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,112063.2975,123040.9187,117427.3673,118601.7644,104349.8347,3.995991,4.038967,4.216802,4.582208,4.433369,96.004009,95.961033,95.783198,95.417792,95.566631,4.9876,575483.1827,523002.6198,1687738.0960,1740218.6589,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,2223935.1220,129910597.3432,2263221.2787,2151157.9811,39286.1567,0.01510960,0.01436145,112063.2975,2151157.9811,0.01436145,112063.2975,123040.9187,117427.3673,118601.7644,104349.8347,2151157.9811,0.01436145,575483.1827,523002.6198,1687738.0960,1740218.6589,0.01126759,0.01161795,0.00026228,110.2155,853.2496,14.7191,17432.8240,731.5999,1117813.5014,1184.3657,119.5727,107.2965,5.1636,17.0416,52.9968,200.0,389.1858,1500.0,12.9089,-2.1325,22.837423,88.019997,6.467448,1,1,193105,16,0.25796649,0.01559547,0.01490110,0.00053744,0.041762,0.904050,0.079615,0.00093576,2026-03-26,2026-08-06,134,3193,134,134,1.000000,1.114413,1.084898,0.859888,1,0.10344827586206896,0.6206896551724138,0.6206896551724138,0.034482758620689655,0.034482758620689655,0.034482758620689655,n_rounds>=30,30,30,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00467395,E 常规,4,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
907,1058314,0.2857142984867096,0.4035088121891022,0.4772726893424988,0.5111110806465149,0.5714285969734192,0.6944444,173572777.2679,155966059.3817,2488030.8569,1461010,157093,-0.01433422,-0.02404167,-0.01110238,-0.01486145,-2488030.8569,173572777.2679,OK,91512.8037,91196.0857,3.9991,96.0009,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,91196.0857,85682.5870,86783.2391,87796.8338,88945.6822,3.999099,4.044118,4.223867,4.598268,4.452368,96.000901,95.955882,95.776133,95.401732,95.547632,4.9863,440404.4278,418169.2029,1956113.6255,1978348.8504,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,2396834.7712,149623782.4767,2396518.0533,2305321.9675,-316.7179,0.01380699,0.01328159,91196.0857,2305321.9675,0.01328159,91196.0857,85682.5870,86783.2391,87796.8338,88945.6822,2305321.9675,0.01328159,440404.4278,418169.2029,1956113.6255,1978348.8504,0.01126970,0.01139781,-0.00000182,118.8033,992.8263,15.8379,18294.3445,790.3529,1276270.4211,1155.0956,121.3807,117.9693,5.1636,17.9973,57.2807,202.3724,408.2306,1663.6167,12.9089,-2.1082,22.682823,92.436785,6.601156,1,1,206440,16,0.24976956,0.01433422,0.02404167,0.00058675,0.044645,0.898563,0.082445,-0.01293928,2026-03-23,2026-08-06,136,3148,136,137,0.992701,1.028918,1.021695,0.832565,2,0.13793103448275862,0.6896551724137931,0.6896551724137931,0.20689655172413793,0.20689655172413793,0.20689655172413793,n_rounds>=30,30,30,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00469787,E 常规,5,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
903,1302565,0.28548213839530945,0.4000000059604645,0.46938779950141907,0.5000658631324768,0.5609756112098694,0.7083333,208274838.1953,187418665.4801,2835069.3956,1774204,165318,-0.01361216,-0.02007478,-0.01167162,-0.01407406,-2835069.3956,208274838.1953,OK,96202.1830,114313.4794,4.0023,95.9977,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,114313.4794,109026.5881,105492.9711,116068.7914,127485.2379,4.002320,4.044575,4.223617,4.597806,4.448380,95.997680,95.955425,95.776383,95.402194,95.551620,4.9869,572387.0680,533626.545,2166480.1446,2205240.6676,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,2720755.9162,179818191.5903,2738867.2125,2624553.7331,18111.2964,0.01315025,0.01260140,114313.4794,2624553.7331,0.01260140,114313.4794,109026.5881,105492.9711,116068.7914,127485.2379,2624553.7331,0.01260140,572387.0680,533626.545,2166480.1446,2205240.6676,0.01040203,0.01058813,0.00008696,117.3906,1133.6858,17.1492,20693.9372,869.1200,1520254.2934,1206.7007,119.8071,116.6839,5.1636,17.0709,55.1858,200.0,400.0,1663.6167,12.9089,-2.1082,23.43174,97.453586,6.876664,1,1,235409,16,0.23092885,0.01361216,0.02007478,0.00051330,0.043270,0.899862,0.081469,-0.00840316,2026-03-23,2026-08-06,137,3262,137,137,1.000000,1.026766,1.020585,0.769763,2,0.1724137931034483,0.8275862068965517,0.8275862068965517,0.3448275862068966,0.3448275862068966,0.3448275862068966,n_rounds>=30,30,30,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00457952,E 常规,6,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
902,1390979,0.2881355881690979,0.4035088121891022,0.4761905074119568,0.510779857635498,0.5714285969734192,0.7291667,213684543.3101,192000540.8313,2914547.7460,1885862,167340,-0.01363949,-0.00931404,-0.01492091,-0.01413206,-2914547.7460,213684543.3101,OK,105255.5770,124878.2074,4.0035,95.9965,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,124878.2074,131346.1583,149568.9427,134789.0816,155358.5009,4.003548,4.048111,4.232246,4.593674,4.446783,95.996452,95.951889,95.767754,95.406326,95.553217,4.9862,695940.8910,625664.431,2113351.2780,2183627.738,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,2789669.5386,184193194.7148,2809292.1690,2684413.9616,19622.6304,0.01314691,0.01256251,124878.2074,2684413.9616,0.01256251,124878.2074,131346.1583,149568.9427,134789.0816,155358.5009,2684413.9616,0.01256251,695940.8910,625664.431,2113351.2780,2183627.738,0.00989005,0.01021893,0.00009183,113.3087,1147.3679,17.4169,21274.0711,879.7307,1559741.1920,1221.4599,117.9325,112.0077,5.1636,17.0416,54.2383,200.0,400.0,1585.1968,12.9089,-2.1082,23.471999,93.019343,6.648953,1,1,245550,16,0.22854464,0.01363949,0.00931404,0.00054820,0.044344,0.898523,0.081881,0.00560687,2026-03-23,2026-08-06,137,3313,137,137,1.000000,1.052897,1.040808,0.761815,2,0.20689655172413793,0.7931034482758621,0.7931034482758621,0.3793103448275862,0.3793103448275862,0.3793103448275862,n_rounds>=30,30,30,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00455176,E 常规,7,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
910,1044795,0.28333330154418945,0.4000000059604645,0.4716981053352356,0.5106382966041565,0.5681818127632141,0.7291667,167225782.8046,150490472.0848,2982710.4354,1422185,164093,-0.01783643,-0.01532762,-0.01857682,-0.01833650,-2982710.4354,167225782.8046,OK,83625.6867,126039.4979,3.9986,96.0014,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,126039.4979,140994.0690,144261.4817,172076.2622,140446.2138,3.998585,4.041053,4.212944,4.584683,4.433262,96.001415,95.958947,95.787056,95.415317,95.566738,4.9876,723817.5245,650973.7641,2175267.2241,2248110.9846,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,2856670.9375,144375164.9015,2899084.7487,2773045.2508,42413.8112,0.01733635,0.01658264,126039.4979,2773045.2508,0.01658264,126039.4979,140994.0690,144261.4817,172076.2622,140446.2138,2773045.2508,0.01658264,723817.5245,650973.7641,2175267.2241,2248110.9846,0.01300797,0.01344357,0.00025363,117.5837,917.1048,18.1770,21771.6090,909.0858,1220626.1519,1197.7591,116.3803,117.9436,5.1636,18.3232,59.0878,204.3903,415.429,1663.6167,12.9729,-2.1082,22.672338,90.793072,6.417215,1,1,200515,16,0.22786901,0.01783643,0.01532762,0.00055569,0.043221,0.899924,0.082337,0.00324920,2026-03-23,2026-08-06,137,3281,137,137,1.000000,0.986745,0.989765,0.759563,1,0.2413793103448276,0.3793103448275862,0.3793103448275862,0.13793103448275862,0.13793103448275862,0.13793103448275862,n_rounds>=30,30,30,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00459658,E 常规,8,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
912,1014906,0.28260868787765503,0.3965516984462738,0.46938779950141907,0.5,0.5581395030021667,0.7021277,150703460.7930,135998725.3368,3032848.6138,1369275,161851,-0.02012461,-0.02544868,-0.01851773,-0.02063070,-3032848.6138,150703460.7930,OK,76269.7931,120458.5981,3.9962,96.0038,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,120458.5981,126900.0245,116051.1287,116956.7291,128519.2010,3.996186,4.037923,4.210862,4.589611,4.443582,96.003814,95.962077,95.789138,95.410389,95.556418,4.9873,608885.6814,561432.3611,2347693.1393,2395146.4596,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,2912390.0157,130468448.3876,2956578.8207,2836120.2226,44188.8050,0.01961852,0.01881921,120458.5981,2836120.2226,0.01881921,120458.5981,126900.0245,116051.1287,116956.7291,128519.2010,2836120.2226,0.01881921,608885.6814,561432.3611,2347693.1393,2395146.4596,0.01557823,0.01589311,0.00029322,110.0608,840.2711,18.7385,22137.5811,937.2215,1100025.2613,1181.3942,111.8855,109.5217,5.1636,17.6153,55.0221,200.0,400.0,1500.0651,12.9326,-2.1082,22.707529,85.156926,6.24802,1,1,195252,16,0.23184120,0.02012461,0.02544868,0.00056081,0.042294,0.902426,0.079906,-0.00693095,2026-03-23,2026-08-06,137,3236,137,137,1.000000,1.021583,1.016579,0.772804,1,0.27586206896551724,0.1724137931034483,0.1724137931034483,0.06896551724137931,0.06896551724137931,0.06896551724137931,n_rounds>=30,30,30,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00462831,E 常规,9,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
906,1183464,0.2857142984867096,0.4000000059604645,0.47058820724487305,0.5106382966041565,0.5681818127632141,0.7291667,186664555.7536,168224105.2983,3507619.0591,1598604,165347,-0.01879103,-0.02638205,-0.01650271,-0.01926617,-3507619.0591,186664555.7536,OK,88691.9117,145919.1384,4.0000,96.0000,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,145919.1384,143954.4758,165784.6798,174603.3691,143304.0311,3.999981,4.045647,4.225022,4.595172,4.451286,96.000019,95.954353,95.774978,95.404828,95.548714,4.9856,773565.6942,690918.3232,2645361.4533,2728008.8242,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,3361699.9208,161397351.1534,3418927.1475,3273008.0091,57227.2267,0.01831589,0.01753417,145919.1384,3273008.0091,0.01753417,145919.1384,143954.4758,165784.6798,174603.3691,143304.0311,3273008.0091,0.01753417,773565.6942,690918.3232,2645361.4533,2728008.8242,0.01417174,0.0146145,0.00030658,116.7672,1017.4004,21.2137,25603.0588,1067.7684,1362515.0055,1206.9124,119.7701,115.8913,5.1636,17.5886,57.1224,203.4095,406.0121,1662.8051,12.9089,-2.1082,23.083816,94.538784,6.638801,1,1,219776,16,0.23162693,0.01879103,0.02638205,0.00052722,0.043466,0.901211,0.082782,-0.00987935,2026-03-23,2026-08-06,137,3285,137,137,1.000000,1.033469,1.025717,0.772090,2,0.3103448275862069,0.3103448275862069,0.3103448275862069,0.27586206896551724,0.27586206896551724,0.27586206896551724,n_rounds>=30,30,30,PERCENT_RANK_OVER_ORDER_BY_e_stake,HF9f,OK,L1_POWERED,0.00457911,E 常规,10,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
