指标,值,口径
名单规模（命中人数）,"2,759",计数
名单洗码量,"21,441,661.53",Σvalid_bet
洗码量前 1% 集中度,61.17%,排序后前 1% 之和 ÷ 总量
洗码量前 10% 集中度,87.00%,同左，前 10%
合成 ROI（按量加权）,-1.4282%,Σprofit ÷ Σvalid_bet
等权平均 ROI,-4.6659%,mean(roi)
口径背离（等权 − 合成）,-3.24pp,两口径之差
超额 ROI（合成 − 平台基线 -1.7361%）,+0.31pp,合成 ROI − (-1.7361%)
ROI P05,-44.67%,quantile(roi)
ROI 中位数,-6.30%,quantile(roi)
ROI P90,26.92%,quantile(roi)
ROI P95,38.70%,quantile(roi)
ROI P99,66.86%,quantile(roi)
盈利玩家占比,37.66%,mean(roi > 0)
平均总订单数,157.2,mean(total_orders)
总订单数中位数,46,median(total_orders)
平均靴尾占比,71.24%,mean(late_ratio)
平均胜单率,29.43%,mean(win_rate)
平台在该名单上的毛赢（合成口径）,"306,233.28",−合成 ROI × 洗码量
若该名单仅为平台平均水平的毛赢,"372,256.92",−(-1.7361%) × 洗码量
相对平均的额外贡献,"-66,023.64",两者之差
贡献倍数（合成 ROI ÷ 平台基线）,0.82,比值
误判率,○ 待表：须外部标签（阴性对照已可测，见其上一表）,1 − 精确率
精确率,○ 待表：须外部标签,标签为真者 ÷ 名单规模
召回率,○ 待表：须真值全集,名单捕获数 ÷ 真值全集
阴性对照 ROI P95,24.31%（真名单 38.70%，区分力：有）,随机等量抽样
