table_schema,table_name,table_type,engine_name,n_columns,n_columns_commented,comment_coverage,n_rows_engine,avg_row_length,data_length,row_count_source,row_count_grade,probe_sql_exact_count,table_family,evidence_source,evidence_grade,economic_path_status,admit_to_risk_decision,deliverable_class,audit_rn,batch_id,run_id,snapshot_sync_time
ods_mariadb_2b,ods_a168_agent,BASE TABLE,StarRocks,51,51,1.0,46469,358,16643483,INFORMATION_SCHEMA.TABLES.TABLE_ROWS,ENGINE_STATISTIC_NOT_EXACT_COUNT,"SELECT 'ods_a168_agent' AS table_name, CAST(COUNT(*) AS BIGINT) AS n_rows_exact FROM `ods_mariadb_2b`.`ods_a168_agent`;",AGENT,INFORMATION_SCHEMA.TABLES + COLUMNS,OBSERVED_METADATA_ENGINE_ESTIMATE_ROWS,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,1,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_agent_bak20250610,BASE TABLE,StarRocks,51,51,1.0,43244,249,10789099,INFORMATION_SCHEMA.TABLES.TABLE_ROWS,ENGINE_STATISTIC_NOT_EXACT_COUNT,"SELECT 'ods_a168_agent_bak20250610' AS table_name, CAST(COUNT(*) AS BIGINT) AS n_rows_exact FROM `ods_mariadb_2b`.`ods_a168_agent_bak20250610`;",AGENT,INFORMATION_SCHEMA.TABLES + COLUMNS,OBSERVED_METADATA_ENGINE_ESTIMATE_ROWS,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,2,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_agent_dtl,BASE TABLE,StarRocks,22,22,1.0,733718,87,64367894,INFORMATION_SCHEMA.TABLES.TABLE_ROWS,ENGINE_STATISTIC_NOT_EXACT_COUNT,"SELECT 'ods_a168_agent_dtl' AS table_name, CAST(COUNT(*) AS BIGINT) AS n_rows_exact FROM `ods_mariadb_2b`.`ods_a168_agent_dtl`;",AGENT,INFORMATION_SCHEMA.TABLES + COLUMNS,OBSERVED_METADATA_ENGINE_ESTIMATE_ROWS,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,3,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_agent_dtl_test,BASE TABLE,StarRocks,22,22,1.0,57,898,51239,INFORMATION_SCHEMA.TABLES.TABLE_ROWS,ENGINE_STATISTIC_NOT_EXACT_COUNT,"SELECT 'ods_a168_agent_dtl_test' AS table_name, CAST(COUNT(*) AS BIGINT) AS n_rows_exact FROM `ods_mariadb_2b`.`ods_a168_agent_dtl_test`;",AGENT,INFORMATION_SCHEMA.TABLES + COLUMNS,OBSERVED_METADATA_ENGINE_ESTIMATE_ROWS,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,4,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_agent_elec,BASE TABLE,StarRocks,11,11,1.0,0,0,0,INFORMATION_SCHEMA.TABLES.TABLE_ROWS,ENGINE_STATISTIC_NOT_EXACT_COUNT,"SELECT 'ods_a168_agent_elec' AS table_name, CAST(COUNT(*) AS BIGINT) AS n_rows_exact FROM `ods_mariadb_2b`.`ods_a168_agent_elec`;",AGENT,INFORMATION_SCHEMA.TABLES + COLUMNS,OBSERVED_METADATA_ENGINE_ESTIMATE_ROWS,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,5,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_agent_partner_gamelist,BASE TABLE,StarRocks,11,11,1.0,45,632,28455,INFORMATION_SCHEMA.TABLES.TABLE_ROWS,ENGINE_STATISTIC_NOT_EXACT_COUNT,"SELECT 'ods_a168_agent_partner_gamelist' AS table_name, CAST(COUNT(*) AS BIGINT) AS n_rows_exact FROM `ods_mariadb_2b`.`ods_a168_agent_partner_gamelist`;",AGENT,INFORMATION_SCHEMA.TABLES + COLUMNS,OBSERVED_METADATA_ENGINE_ESTIMATE_ROWS,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,6,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_agent_permissionrole,BASE TABLE,StarRocks,15,15,1.0,28,3751,105032,INFORMATION_SCHEMA.TABLES.TABLE_ROWS,ENGINE_STATISTIC_NOT_EXACT_COUNT,"SELECT 'ods_a168_agent_permissionrole' AS table_name, CAST(COUNT(*) AS BIGINT) AS n_rows_exact FROM `ods_mariadb_2b`.`ods_a168_agent_permissionrole`;",AGENT,INFORMATION_SCHEMA.TABLES + COLUMNS,OBSERVED_METADATA_ENGINE_ESTIMATE_ROWS,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,7,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_agent_sub,BASE TABLE,StarRocks,22,22,1.0,13028,263,3428766,INFORMATION_SCHEMA.TABLES.TABLE_ROWS,ENGINE_STATISTIC_NOT_EXACT_COUNT,"SELECT 'ods_a168_agent_sub' AS table_name, CAST(COUNT(*) AS BIGINT) AS n_rows_exact FROM `ods_mariadb_2b`.`ods_a168_agent_sub`;",AGENT,INFORMATION_SCHEMA.TABLES + COLUMNS,OBSERVED_METADATA_ENGINE_ESTIMATE_ROWS,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,8,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_agent_test,BASE TABLE,StarRocks,49,49,1.0,30,6594,197840,INFORMATION_SCHEMA.TABLES.TABLE_ROWS,ENGINE_STATISTIC_NOT_EXACT_COUNT,"SELECT 'ods_a168_agent_test' AS table_name, CAST(COUNT(*) AS BIGINT) AS n_rows_exact FROM `ods_mariadb_2b`.`ods_a168_agent_test`;",AGENT,INFORMATION_SCHEMA.TABLES + COLUMNS,OBSERVED_METADATA_ENGINE_ESTIMATE_ROWS,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,9,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b,ods_a168_agents_LoginPass,BASE TABLE,StarRocks,28,28,1.0,17142,4344,74480632,INFORMATION_SCHEMA.TABLES.TABLE_ROWS,ENGINE_STATISTIC_NOT_EXACT_COUNT,"SELECT 'ods_a168_agents_LoginPass' AS table_name, CAST(COUNT(*) AS BIGINT) AS n_rows_exact FROM `ods_mariadb_2b`.`ods_a168_agents_LoginPass`;",AGENT,INFORMATION_SCHEMA.TABLES + COLUMNS,OBSERVED_METADATA_ENGINE_ESTIMATE_ROWS,NOT_APPLICABLE,FALSE,DICTIONARY_METADATA,10,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
