table_id,first_seen_d,last_seen_d,valid_from,valid_to,active_days_struct,n_dealers_struct,n_members_struct,grain_key,six_layer_status,ucc_class,admit_to_risk_decision,audit_rn,run_id,snapshot_sync_time
1,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,94,207217,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
112,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,46,285453,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,2,A168_HF9F_20260827_0900,2026-08-27 09:00:00
113,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,51,266553,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,3,A168_HF9F_20260827_0900,2026-08-27 09:00:00
115,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,47,249381,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,4,A168_HF9F_20260827_0900,2026-08-27 09:00:00
116,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,50,233892,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,5,A168_HF9F_20260827_0900,2026-08-27 09:00:00
2,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,69,190056,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,6,A168_HF9F_20260827_0900,2026-08-27 09:00:00
3,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,96,175261,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,7,A168_HF9F_20260827_0900,2026-08-27 09:00:00
31,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,136,151468,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,8,A168_HF9F_20260827_0900,2026-08-27 09:00:00
32,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,131,142633,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,9,A168_HF9F_20260827_0900,2026-08-27 09:00:00
33,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,134,136723,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,10,A168_HF9F_20260827_0900,2026-08-27 09:00:00
35,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,135,130810,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,11,A168_HF9F_20260827_0900,2026-08-27 09:00:00
